Inventory_ID,Base_ID,Equipment_ID,Quantity,Available,Reorder_Level,Inventory_Status,Inventory_Utilization
INV000046,B018,EQ00775,8,5,20,Low Stock,0.625
INV000047,B017,EQ04248,49,22,5,Medium Stock,0.4489795918367347
INV000048,B020,EQ01023,41,4,30,Low Stock,0.0975609756097561
INV000049,B025,EQ02505,83,16,12,Medium Stock,0.1927710843373494
INV000050,B020,EQ00449,85,85,17,Healthy,1.0
INV000051,B012,EQ00120,73,32,12,Medium Stock,0.4383561643835616
INV000052,B011,EQ04217,53,11,20,Low Stock,0.20754716981132076
INV000053,B002,EQ00625,37,14,26,Low Stock,0.3783783783783784
INV000054,B008,EQ03786,9,8,5,Healthy,0.8888888888888888
INV000055,B003,EQ01922,54,32,11,Healthy,0.5925925925925926
INV000056,B030,EQ03975,69,66,21,Healthy,0.9565217391304348
INV000057,B006,EQ01857,82,45,5,Healthy,0.5487804878048781
INV000058,B022,EQ04504,62,16,6,Medium Stock,0.25806451612903225
INV000059,B025,EQ01105,46,40,27,Healthy,0.8695652173913043
INV000060,B010,EQ03974,46,7,25,Low Stock,0.15217391304347827
INV000061,B026,EQ02136,75,54,13,Healthy,0.72
INV000062,B025,EQ04747,32,32,14,Healthy,1.0
INV000063,B008,EQ02313,20,14,7,Healthy,0.7
INV000064,B027,EQ01455,9,7,21,Low Stock,0.7777777777777778
INV000065,B002,EQ03949,53,20,17,Medium Stock,0.37735849056603776
INV000066,B003,EQ01491,44,24,26,Low Stock,0.5454545454545454
INV000067,B010,EQ01837,75,62,19,Healthy,0.8266666666666667
INV000068,B029,EQ03546,84,19,27,Low Stock,0.2261904761904762
INV000069,B013,EQ03124,6,2,27,Low Stock,0.3333333333333333
INV000070,B006,EQ03377,11,1,13,Low Stock,0.09090909090909091
INV000071,B019,EQ03662,16,10,7,Healthy,0.625
INV000072,B017,EQ04579,65,62,10,Healthy,0.9538461538461539
INV000073,B019,EQ00029,96,61,28,Healthy,0.6354166666666666
INV000074,B018,EQ03350,74,30,22,Medium Stock,0.40540540540540543
INV000075,B022,EQ01852,90,79,11,Healthy,0.8777777777777778
INV000076,B003,EQ00783,80,15,22,Low Stock,0.1875
INV000077,B005,EQ01182,16,8,6,Medium Stock,0.5
INV000078,B030,EQ01314,84,68,8,Healthy,0.8095238095238095
INV000079,B015,EQ01549,31,13,16,Low Stock,0.41935483870967744
INV000080,B029,EQ04798,24,8,18,Low Stock,0.3333333333333333
INV000081,B002,EQ03263,54,37,6,Healthy,0.6851851851851852
INV000082,B028,EQ01689,20,9,29,Low Stock,0.45
INV000083,B017,EQ03721,31,11,23,Low Stock,0.3548387096774194
INV000084,B016,EQ01203,85,54,13,Healthy,0.6352941176470588
INV000085,B008,EQ03853,44,31,27,Healthy,0.7045454545454546
INV000086,B022,EQ03046,96,4,18,Low Stock,0.041666666666666664
INV000087,B010,EQ02585,25,0,16,Low Stock,0.0
INV000088,B013,EQ02029,17,13,29,Low Stock,0.7647058823529411
INV000089,B028,EQ02534,17,8,11,Low Stock,0.47058823529411764
INV000090,B024,EQ01348,9,7,21,Low Stock,0.7777777777777778
INV000091,B012,EQ02194,9,8,6,Healthy,0.8888888888888888
INV000092,B021,EQ00428,67,53,25,Healthy,0.7910447761194029
INV000093,B024,EQ01251,16,4,6,Low Stock,0.25
INV000094,B016,EQ00977,81,78,10,Healthy,0.9629629629629629
INV000095,B024,EQ02786,54,17,8,Medium Stock,0.3148148148148148
INV000096,B023,EQ00233,45,22,18,Medium Stock,0.4888888888888889
INV000097,B014,EQ00209,100,18,15,Medium Stock,0.18
INV000098,B001,EQ00524,80,73,27,Healthy,0.9125
INV000099,B030,EQ04856,11,2,24,Low Stock,0.18181818181818182
INV000100,B013,EQ04422,75,7,6,Medium Stock,0.09333333333333334
INV000101,B029,EQ03406,98,27,26,Medium Stock,0.2755102040816326
INV000102,B021,EQ03353,75,30,19,Medium Stock,0.4
INV000103,B025,EQ03434,64,61,15,Healthy,0.953125
INV000104,B010,EQ02626,10,6,5,Healthy,0.6
INV000105,B029,EQ04742,56,12,25,Low Stock,0.21428571428571427
INV000106,B011,EQ04220,95,91,20,Healthy,0.9578947368421052
INV000107,B008,EQ04764,59,28,26,Medium Stock,0.4745762711864407
INV000108,B022,EQ01520,13,0,12,Low Stock,0.0
INV000109,B012,EQ02637,51,43,29,Healthy,0.8431372549019608
INV000110,B025,EQ03799,76,70,17,Healthy,0.9210526315789473
INV000111,B022,EQ00331,46,9,13,Low Stock,0.1956521739130435
INV000112,B014,EQ01558,12,11,10,Healthy,0.9166666666666666
INV000113,B015,EQ01167,50,41,27,Healthy,0.82
INV000114,B025,EQ04430,33,16,28,Low Stock,0.48484848484848486
INV000115,B005,EQ02285,95,69,16,Healthy,0.7263157894736842
INV000116,B003,EQ02944,69,54,29,Healthy,0.782608695652174
INV000117,B012,EQ00251,9,4,6,Low Stock,0.4444444444444444
INV000118,B014,EQ04421,48,32,21,Healthy,0.6666666666666666
INV000119,B027,EQ01896,17,14,10,Healthy,0.8235294117647058
INV000120,B030,EQ00814,71,32,8,Medium Stock,0.4507042253521127
INV000121,B030,EQ03473,35,12,17,Low Stock,0.34285714285714286
INV000122,B018,EQ02984,31,9,16,Low Stock,0.2903225806451613
INV000123,B008,EQ03974,47,13,14,Low Stock,0.2765957446808511
INV000124,B015,EQ00489,84,77,25,Healthy,0.9166666666666666
INV000125,B019,EQ03604,57,13,16,Low Stock,0.22807017543859648
INV000126,B011,EQ03093,51,3,24,Low Stock,0.058823529411764705
INV000127,B005,EQ03042,47,39,10,Healthy,0.8297872340425532
INV000128,B003,EQ04155,33,23,12,Healthy,0.696969696969697
INV000129,B004,EQ02257,88,42,20,Medium Stock,0.4772727272727273
INV000130,B010,EQ01081,61,48,8,Healthy,0.7868852459016393
INV000131,B009,EQ00293,43,30,19,Healthy,0.6976744186046512
INV000132,B022,EQ04617,28,22,15,Healthy,0.7857142857142857
INV000133,B025,EQ01894,72,66,12,Healthy,0.9166666666666666
INV000134,B003,EQ02497,29,6,13,Low Stock,0.20689655172413793
INV000135,B007,EQ04931,47,43,23,Healthy,0.9148936170212766
INV000136,B001,EQ01319,91,3,18,Low Stock,0.03296703296703297
INV000137,B014,EQ01844,93,7,5,Medium Stock,0.07526881720430108
INV000138,B003,EQ00172,32,10,26,Low Stock,0.3125
INV000139,B020,EQ02787,68,64,9,Healthy,0.9411764705882353
INV000140,B016,EQ04740,60,55,15,Healthy,0.9166666666666666
INV000141,B027,EQ02222,40,36,8,Healthy,0.9
INV000142,B010,EQ03055,30,25,7,Healthy,0.8333333333333334
INV000143,B030,EQ00490,73,37,24,Healthy,0.5068493150684932
INV000144,B004,EQ01632,28,27,25,Healthy,0.9642857142857143
INV000145,B029,EQ04028,25,10,16,Low Stock,0.4
INV000146,B029,EQ01343,99,58,19,Healthy,0.5858585858585859
INV000147,B029,EQ03752,66,13,20,Low Stock,0.19696969696969696
INV000148,B010,EQ03978,72,64,20,Healthy,0.8888888888888888
INV000149,B002,EQ04795,50,47,20,Healthy,0.94
INV000150,B001,EQ04619,22,13,6,Healthy,0.5909090909090909
INV000151,B018,EQ03551,95,63,22,Healthy,0.6631578947368421
INV000152,B019,EQ04646,10,6,30,Low Stock,0.6
INV000153,B004,EQ03472,87,21,25,Low Stock,0.2413793103448276
INV000154,B010,EQ03760,49,34,10,Healthy,0.6938775510204082
INV000155,B003,EQ01580,26,19,30,Low Stock,0.7307692307692307
INV000156,B019,EQ01571,24,18,12,Healthy,0.75
INV000157,B009,EQ04817,99,28,11,Medium Stock,0.2828282828282828
INV000158,B015,EQ00210,66,36,12,Healthy,0.5454545454545454
INV000159,B013,EQ01176,56,47,27,Healthy,0.8392857142857143
INV000160,B020,EQ01338,60,28,12,Medium Stock,0.4666666666666667
INV000161,B001,EQ01748,54,20,26,Low Stock,0.37037037037037035
INV000162,B014,EQ03025,22,10,17,Low Stock,0.45454545454545453
INV000163,B008,EQ00677,55,36,26,Healthy,0.6545454545454545
INV000164,B025,EQ00815,36,2,27,Low Stock,0.05555555555555555
INV000165,B002,EQ00906,53,26,9,Medium Stock,0.49056603773584906
INV000166,B009,EQ01894,84,63,13,Healthy,0.75
INV000167,B024,EQ04454,85,23,16,Medium Stock,0.27058823529411763
INV000168,B023,EQ00623,71,33,18,Medium Stock,0.4647887323943662
INV000169,B029,EQ01213,5,2,21,Low Stock,0.4
INV000170,B008,EQ02024,19,17,19,Low Stock,0.8947368421052632
INV000171,B013,EQ02624,56,40,12,Healthy,0.7142857142857143
INV000172,B022,EQ02633,89,46,19,Healthy,0.5168539325842697
INV000173,B021,EQ02295,63,59,14,Healthy,0.9365079365079365
INV000174,B029,EQ03025,69,21,26,Low Stock,0.30434782608695654
INV000175,B021,EQ01658,7,6,15,Low Stock,0.8571428571428571
INV000176,B008,EQ02601,90,56,27,Healthy,0.6222222222222222
INV000177,B026,EQ01204,55,53,22,Healthy,0.9636363636363636
INV000178,B030,EQ01925,63,4,16,Low Stock,0.06349206349206349
INV000179,B015,EQ02743,97,7,21,Low Stock,0.07216494845360824
INV000180,B019,EQ00682,17,15,6,Healthy,0.8823529411764706
INV000181,B008,EQ03594,77,6,18,Low Stock,0.07792207792207792
INV000182,B015,EQ00585,33,4,20,Low Stock,0.12121212121212122
INV000183,B008,EQ02495,33,7,18,Low Stock,0.21212121212121213
INV000184,B013,EQ00179,82,32,28,Medium Stock,0.3902439024390244
INV000185,B013,EQ03732,29,22,22,Low Stock,0.7586206896551724
INV000186,B022,EQ04559,30,24,24,Low Stock,0.8
INV000187,B026,EQ00337,48,7,6,Medium Stock,0.14583333333333334
INV000188,B006,EQ02714,19,0,25,Low Stock,0.0
INV000189,B019,EQ01666,59,12,21,Low Stock,0.2033898305084746
INV000190,B021,EQ02150,93,0,8,Low Stock,0.0
INV000191,B022,EQ01711,50,32,22,Healthy,0.64
INV000192,B018,EQ00983,87,11,25,Low Stock,0.12643678160919541
INV000193,B007,EQ03903,78,42,10,Healthy,0.5384615384615384
INV000194,B018,EQ03386,5,4,9,Low Stock,0.8
INV000195,B025,EQ00833,30,17,25,Low Stock,0.5666666666666667
INV000196,B011,EQ00215,79,66,30,Healthy,0.8354430379746836
INV000197,B012,EQ04275,8,8,18,Low Stock,1.0
INV000198,B025,EQ01493,66,12,18,Low Stock,0.18181818181818182
INV000199,B010,EQ03168,69,67,27,Healthy,0.9710144927536232
INV000200,B026,EQ02156,92,51,30,Healthy,0.5543478260869565
INV000201,B030,EQ02643,53,9,24,Low Stock,0.16981132075471697
INV000202,B018,EQ04069,86,27,22,Medium Stock,0.313953488372093
INV000203,B020,EQ04770,19,2,24,Low Stock,0.10526315789473684
INV000204,B001,EQ04180,47,25,24,Healthy,0.5319148936170213
INV000205,B006,EQ01871,31,18,30,Low Stock,0.5806451612903226
INV000206,B016,EQ02625,15,4,10,Low Stock,0.26666666666666666
INV000207,B016,EQ01302,21,9,20,Low Stock,0.42857142857142855
INV000208,B016,EQ04590,42,33,19,Healthy,0.7857142857142857
INV000209,B022,EQ00863,76,40,21,Healthy,0.5263157894736842
INV000210,B030,EQ01612,94,13,20,Low Stock,0.13829787234042554
INV000211,B008,EQ03771,36,28,24,Healthy,0.7777777777777778
INV000212,B020,EQ02636,34,32,24,Healthy,0.9411764705882353
INV000213,B030,EQ03449,47,13,23,Low Stock,0.2765957446808511
INV000214,B030,EQ02244,17,13,15,Low Stock,0.7647058823529411
INV000215,B007,EQ03740,43,35,12,Healthy,0.813953488372093
INV000216,B030,EQ04116,15,14,11,Healthy,0.9333333333333333
INV000217,B004,EQ00190,5,2,5,Low Stock,0.4
INV000218,B026,EQ04981,48,36,13,Healthy,0.75
INV000219,B018,EQ02173,74,72,8,Healthy,0.972972972972973
INV000220,B020,EQ02125,99,93,10,Healthy,0.9393939393939394
INV000221,B025,EQ01121,72,49,22,Healthy,0.6805555555555556
INV000222,B029,EQ04774,89,30,23,Medium Stock,0.33707865168539325
INV000223,B029,EQ02739,68,60,27,Healthy,0.8823529411764706
INV000224,B029,EQ02831,100,10,25,Low Stock,0.1
INV000225,B024,EQ02662,68,60,18,Healthy,0.8823529411764706
INV000226,B014,EQ04821,73,73,28,Healthy,1.0
INV000227,B024,EQ02856,60,37,15,Healthy,0.6166666666666667
INV000228,B009,EQ04075,90,63,19,Healthy,0.7
INV000229,B006,EQ01917,11,2,16,Low Stock,0.18181818181818182
INV000230,B018,EQ00510,71,70,13,Healthy,0.9859154929577465
INV000231,B010,EQ04112,30,23,18,Healthy,0.7666666666666667
INV000232,B015,EQ03574,13,9,8,Healthy,0.6923076923076923
INV000233,B017,EQ03870,51,48,14,Healthy,0.9411764705882353
INV000234,B001,EQ00838,89,33,20,Medium Stock,0.3707865168539326
INV000235,B019,EQ04098,52,38,5,Healthy,0.7307692307692307
INV000236,B019,EQ02542,94,6,5,Medium Stock,0.06382978723404255
INV000237,B001,EQ02093,22,10,15,Low Stock,0.45454545454545453
INV000238,B003,EQ02049,20,4,27,Low Stock,0.2
INV000239,B019,EQ01957,27,12,27,Low Stock,0.4444444444444444
INV000240,B018,EQ02531,57,56,14,Healthy,0.9824561403508771
INV000241,B026,EQ04645,87,1,26,Low Stock,0.011494252873563218
INV000242,B015,EQ03645,71,66,18,Healthy,0.9295774647887324
INV000243,B025,EQ00577,6,6,7,Low Stock,1.0
INV000244,B023,EQ00288,49,23,25,Low Stock,0.46938775510204084
INV000245,B016,EQ04742,65,11,8,Medium Stock,0.16923076923076924
INV000246,B027,EQ00981,16,7,8,Low Stock,0.4375
INV000247,B016,EQ03874,84,25,22,Medium Stock,0.2976190476190476
INV000248,B017,EQ04406,12,5,14,Low Stock,0.4166666666666667
INV000249,B003,EQ03954,61,7,26,Low Stock,0.11475409836065574
INV000250,B004,EQ02829,35,25,19,Healthy,0.7142857142857143
INV000251,B019,EQ04746,61,15,29,Low Stock,0.2459016393442623
INV000252,B022,EQ03410,13,3,10,Low Stock,0.23076923076923078
INV000253,B018,EQ03720,94,43,18,Medium Stock,0.4574468085106383
INV000254,B012,EQ01741,6,5,21,Low Stock,0.8333333333333334
INV000255,B015,EQ02890,51,32,11,Healthy,0.6274509803921569
INV000256,B028,EQ00650,52,49,17,Healthy,0.9423076923076923
INV000257,B008,EQ04169,90,41,14,Medium Stock,0.45555555555555555
INV000258,B009,EQ01555,91,26,15,Medium Stock,0.2857142857142857
INV000259,B014,EQ00467,36,33,6,Healthy,0.9166666666666666
INV000260,B006,EQ03571,24,15,14,Healthy,0.625
INV000261,B013,EQ00053,74,43,15,Healthy,0.581081081081081
INV000262,B007,EQ00469,32,13,25,Low Stock,0.40625
INV000263,B006,EQ01743,12,11,18,Low Stock,0.9166666666666666
INV000264,B019,EQ04570,37,18,17,Medium Stock,0.4864864864864865
INV000265,B027,EQ04848,44,37,28,Healthy,0.8409090909090909
INV000266,B018,EQ03342,100,1,12,Low Stock,0.01
INV000267,B001,EQ04306,11,1,5,Low Stock,0.09090909090909091
INV000268,B016,EQ03046,90,0,18,Low Stock,0.0
INV000269,B017,EQ01542,12,3,8,Low Stock,0.25
INV000270,B014,EQ02954,56,53,18,Healthy,0.9464285714285714
INV000271,B022,EQ02674,73,25,19,Medium Stock,0.3424657534246575
INV000272,B012,EQ04212,38,18,17,Medium Stock,0.47368421052631576
INV000273,B027,EQ03732,33,20,29,Low Stock,0.6060606060606061
INV000274,B007,EQ04173,17,11,24,Low Stock,0.6470588235294118
INV000275,B029,EQ01344,45,12,28,Low Stock,0.26666666666666666
INV000276,B008,EQ03828,61,60,27,Healthy,0.9836065573770492
INV000277,B011,EQ04608,72,0,12,Low Stock,0.0
INV000278,B024,EQ02050,53,1,7,Low Stock,0.018867924528301886
INV000279,B017,EQ02497,47,46,5,Healthy,0.9787234042553191
INV000280,B016,EQ02568,42,22,27,Low Stock,0.5238095238095238
INV000281,B002,EQ00284,12,5,27,Low Stock,0.4166666666666667
INV000282,B030,EQ01339,74,31,10,Medium Stock,0.4189189189189189
INV000283,B022,EQ02055,84,30,11,Medium Stock,0.35714285714285715
INV000284,B016,EQ02013,84,74,7,Healthy,0.8809523809523809
INV000285,B018,EQ04146,72,9,27,Low Stock,0.125
INV000286,B018,EQ04083,43,22,11,Healthy,0.5116279069767442
INV000287,B023,EQ02634,45,24,9,Healthy,0.5333333333333333
INV000288,B011,EQ01816,54,3,24,Low Stock,0.05555555555555555
INV000289,B028,EQ03854,58,36,25,Healthy,0.6206896551724138
INV000290,B010,EQ01609,40,30,26,Healthy,0.75
INV000291,B004,EQ00285,20,20,17,Healthy,1.0
INV000292,B015,EQ02863,10,6,19,Low Stock,0.6
INV000293,B015,EQ02046,37,34,29,Healthy,0.918918918918919
INV000294,B006,EQ02340,81,28,5,Medium Stock,0.345679012345679
INV000295,B024,EQ03646,34,22,22,Low Stock,0.6470588235294118
INV000296,B013,EQ02191,55,55,27,Healthy,1.0
INV000297,B024,EQ01682,99,47,25,Medium Stock,0.47474747474747475
INV000298,B017,EQ00809,37,29,16,Healthy,0.7837837837837838
INV000299,B007,EQ04053,21,21,27,Low Stock,1.0
INV000300,B014,EQ01226,38,24,24,Low Stock,0.631578947368421
INV000301,B020,EQ01727,23,22,17,Healthy,0.9565217391304348
INV000302,B008,EQ03222,73,4,11,Low Stock,0.0547945205479452
INV000303,B020,EQ02110,85,10,17,Low Stock,0.11764705882352941
INV000304,B002,EQ00760,16,6,18,Low Stock,0.375
INV000305,B027,EQ01312,76,59,22,Healthy,0.7763157894736842
INV000306,B015,EQ02623,89,29,22,Medium Stock,0.3258426966292135
INV000307,B025,EQ00209,36,23,17,Healthy,0.6388888888888888
INV000308,B022,EQ04112,12,7,26,Low Stock,0.5833333333333334
INV000309,B026,EQ02165,93,23,6,Medium Stock,0.24731182795698925
INV000310,B016,EQ01369,80,58,11,Healthy,0.725
INV000311,B018,EQ03278,61,57,10,Healthy,0.9344262295081968
INV000312,B021,EQ01081,13,11,11,Low Stock,0.8461538461538461
INV000313,B016,EQ02461,16,6,23,Low Stock,0.375
INV000314,B029,EQ02085,57,44,16,Healthy,0.7719298245614035
INV000315,B011,EQ00258,97,85,13,Healthy,0.8762886597938144
INV000316,B021,EQ01288,79,15,20,Low Stock,0.189873417721519
INV000317,B013,EQ01781,68,39,22,Healthy,0.5735294117647058
INV000318,B029,EQ03686,45,26,30,Low Stock,0.5777777777777777
INV000319,B016,EQ00448,97,17,7,Medium Stock,0.17525773195876287
INV000320,B030,EQ00683,67,60,13,Healthy,0.8955223880597015
INV000321,B010,EQ00665,15,8,18,Low Stock,0.5333333333333333
INV000322,B005,EQ01390,65,34,11,Healthy,0.5230769230769231
INV000323,B025,EQ00856,90,85,22,Healthy,0.9444444444444444
INV000324,B001,EQ03442,18,15,23,Low Stock,0.8333333333333334
INV000325,B013,EQ00502,73,65,24,Healthy,0.8904109589041096
INV000326,B011,EQ02045,95,35,13,Medium Stock,0.3684210526315789
INV000327,B002,EQ00950,40,22,17,Healthy,0.55
INV000328,B020,EQ02867,10,9,12,Low Stock,0.9
INV000329,B001,EQ00671,59,51,18,Healthy,0.864406779661017
INV000330,B009,EQ04720,71,40,21,Healthy,0.5633802816901409
INV000331,B028,EQ00393,37,21,7,Healthy,0.5675675675675675
INV000332,B018,EQ01365,25,16,14,Healthy,0.64
INV000333,B003,EQ01829,51,30,13,Healthy,0.5882352941176471
INV000334,B008,EQ00703,10,4,18,Low Stock,0.4
INV000335,B027,EQ01171,56,32,20,Healthy,0.5714285714285714
INV000336,B016,EQ00011,16,6,26,Low Stock,0.375
INV000337,B029,EQ04050,99,47,9,Medium Stock,0.47474747474747475
INV000338,B022,EQ01750,69,43,25,Healthy,0.6231884057971014
INV000339,B021,EQ04472,46,8,5,Medium Stock,0.17391304347826086
INV000340,B014,EQ04009,53,46,12,Healthy,0.8679245283018868
INV000341,B008,EQ01064,66,29,29,Low Stock,0.4393939393939394
INV000342,B022,EQ03004,87,33,9,Medium Stock,0.3793103448275862
INV000343,B024,EQ02132,10,3,13,Low Stock,0.3
INV000344,B029,EQ02178,56,50,29,Healthy,0.8928571428571429
INV000345,B022,EQ00826,67,9,24,Low Stock,0.13432835820895522
INV000346,B012,EQ02644,94,57,18,Healthy,0.6063829787234043
INV000347,B026,EQ00154,74,47,5,Healthy,0.6351351351351351
INV000348,B012,EQ00890,60,38,26,Healthy,0.6333333333333333
INV000349,B008,EQ02797,9,6,28,Low Stock,0.6666666666666666
INV000350,B020,EQ03826,20,5,29,Low Stock,0.25
INV000351,B030,EQ00087,57,44,24,Healthy,0.7719298245614035
INV000352,B030,EQ02728,86,16,11,Medium Stock,0.18604651162790697
INV000353,B005,EQ02667,78,78,25,Healthy,1.0
INV000354,B028,EQ00548,77,14,29,Low Stock,0.18181818181818182
INV000355,B026,EQ04209,16,2,9,Low Stock,0.125
INV000356,B010,EQ03752,83,59,29,Healthy,0.7108433734939759
INV000357,B007,EQ02141,28,22,7,Healthy,0.7857142857142857
INV000358,B025,EQ04472,82,22,25,Low Stock,0.2682926829268293
INV000359,B030,EQ04783,62,38,15,Healthy,0.6129032258064516
INV000360,B030,EQ02058,54,4,13,Low Stock,0.07407407407407407
INV000361,B022,EQ02182,62,4,10,Low Stock,0.06451612903225806
INV000362,B011,EQ02587,68,23,30,Low Stock,0.3382352941176471
INV000363,B014,EQ01247,52,36,7,Healthy,0.6923076923076923
INV000364,B016,EQ03789,48,44,9,Healthy,0.9166666666666666
INV000365,B022,EQ03090,53,40,6,Healthy,0.7547169811320755
INV000366,B002,EQ01826,85,7,15,Low Stock,0.08235294117647059
INV000367,B025,EQ00938,67,21,6,Medium Stock,0.31343283582089554
INV000368,B009,EQ01663,54,39,20,Healthy,0.7222222222222222
INV000369,B005,EQ01031,85,18,19,Low Stock,0.21176470588235294
INV000370,B003,EQ00446,70,65,19,Healthy,0.9285714285714286
INV000371,B003,EQ04226,34,32,13,Healthy,0.9411764705882353
INV000372,B004,EQ04067,88,70,26,Healthy,0.7954545454545454
INV000373,B028,EQ03982,61,6,20,Low Stock,0.09836065573770492
INV000374,B023,EQ02038,62,11,26,Low Stock,0.1774193548387097
INV000375,B021,EQ00369,22,2,9,Low Stock,0.09090909090909091
INV000376,B029,EQ03080,35,15,12,Medium Stock,0.42857142857142855
INV000377,B022,EQ02289,81,45,13,Healthy,0.5555555555555556
INV000378,B007,EQ04612,97,0,6,Low Stock,0.0
INV000379,B013,EQ04234,67,66,18,Healthy,0.9850746268656716
INV000380,B024,EQ04739,83,9,18,Low Stock,0.10843373493975904
INV000381,B022,EQ03020,51,38,8,Healthy,0.7450980392156863
INV000382,B019,EQ00086,71,65,22,Healthy,0.9154929577464789
INV000383,B001,EQ04244,77,33,12,Medium Stock,0.42857142857142855
INV000384,B006,EQ00746,32,31,5,Healthy,0.96875
INV000385,B027,EQ04580,92,3,26,Low Stock,0.03260869565217391
INV000386,B003,EQ03205,22,5,29,Low Stock,0.22727272727272727
INV000387,B012,EQ02035,100,44,10,Medium Stock,0.44
INV000388,B029,EQ03870,50,22,10,Medium Stock,0.44
INV000389,B027,EQ04105,9,2,16,Low Stock,0.2222222222222222
INV000390,B024,EQ02533,54,11,15,Low Stock,0.2037037037037037
INV000391,B002,EQ03182,66,44,7,Healthy,0.6666666666666666
INV000392,B004,EQ03498,96,34,6,Medium Stock,0.3541666666666667
INV000393,B010,EQ03291,43,31,19,Healthy,0.7209302325581395
INV000394,B023,EQ04386,16,9,15,Low Stock,0.5625
INV000395,B021,EQ04549,57,19,19,Low Stock,0.3333333333333333
INV000396,B024,EQ02531,35,19,9,Healthy,0.5428571428571428
INV000397,B003,EQ03346,11,1,20,Low Stock,0.09090909090909091
INV000398,B001,EQ04863,35,14,29,Low Stock,0.4
INV000399,B005,EQ02405,94,78,20,Healthy,0.8297872340425532
INV000400,B025,EQ02456,30,17,19,Low Stock,0.5666666666666667
INV000401,B018,EQ04098,92,26,8,Medium Stock,0.2826086956521739
INV000402,B016,EQ00138,96,2,17,Low Stock,0.020833333333333332
INV000403,B024,EQ04578,28,26,7,Healthy,0.9285714285714286
INV000404,B001,EQ03772,52,19,25,Low Stock,0.36538461538461536
INV000405,B026,EQ00174,23,5,21,Low Stock,0.21739130434782608
INV000406,B011,EQ04435,67,35,23,Healthy,0.5223880597014925
INV000407,B018,EQ02392,33,32,13,Healthy,0.9696969696969697
INV000408,B010,EQ03816,45,24,24,Low Stock,0.5333333333333333
INV000409,B008,EQ03366,56,34,16,Healthy,0.6071428571428571
INV000410,B021,EQ04806,67,25,23,Medium Stock,0.373134328358209
