Maintenance_ID,Equipment_ID,Base_ID,Maintenance_Date,Maintenance_Type,Downtime_Days,Maintenance_Cost_INR,Technician_Team,Failure,Cost_Per_Day
M000059,EQ00815,B008,2026-07-11,Inspection,5,139742.1,Team Echo,No,27948.420000000002
M000060,EQ02113,B015,2025-06-30,Preventive,8,270255.33,Team Echo,Yes,33781.91625
M000061,EQ04322,B016,2026-07-12,Emergency,4,159515.06,Team Delta,No,39878.765
M000062,EQ04368,B012,2025-04-22,Preventive,3,96950.25,Team Bravo,No,32316.75
M000063,EQ04291,B020,2025-07-15,Preventive,4,199668.82,Team Delta,No,49917.205
M000064,EQ03623,B025,2025-06-15,Emergency,9,413138.46,Team Charlie,Yes,45904.27333333334
M000065,EQ01823,B015,2025-02-17,Emergency,5,110974.39,Team Delta,No,22194.878
M000066,EQ00731,B007,2025-06-16,Preventive,4,109046.67,Team Echo,No,27261.6675
M000067,EQ02380,B015,2025-07-11,Emergency,4,197060.2,Team Charlie,No,49265.05
M000068,EQ04440,B020,2026-07-02,Preventive,6,287140.9,Team Alpha,No,47856.81666666667
M000069,EQ03507,B008,2026-03-27,Corrective,7,155538.68,Team Echo,No,22219.81142857143
M000070,EQ04066,B004,2026-10-01,Preventive,1,30035.4,Team Alpha,No,30035.4
M000071,EQ04054,B020,2025-06-25,Preventive,6,271231.54,Team Alpha,No,45205.25666666666
M000072,EQ00915,B015,2026-07-28,Preventive,14,394148.28,Team Charlie,Yes,28153.448571428573
M000073,EQ02900,B013,2026-02-26,Preventive,2,70846.51,Team Alpha,No,35423.255
M000074,EQ04151,B026,2026-11-30,Preventive,0,0.0,Team Delta,No,0.0
M000075,EQ04903,B025,2025-06-21,Preventive,4,132262.77,Team Bravo,No,33065.6925
M000076,EQ01335,B017,2026-10-18,Preventive,4,92037.92,Team Bravo,No,23009.48
M000077,EQ03268,B025,2025-04-15,Preventive,5,202045.77,Team Echo,No,40409.153999999995
M000078,EQ04033,B015,2025-06-03,Corrective,1,25812.09,Team Bravo,No,25812.09
M000079,EQ00346,B027,2026-06-14,Emergency,2,50319.97,Team Charlie,No,25159.985
M000080,EQ03796,B010,2025-04-12,Inspection,2,64982.93,Team Alpha,No,32491.465
M000081,EQ00362,B024,2025-03-26,Corrective,1,42297.47,Team Charlie,No,42297.47
M000082,EQ01738,B001,2026-06-19,Emergency,6,162309.12,Team Echo,No,27051.52
M000083,EQ00976,B009,2025-03-31,Preventive,9,155950.43,Team Charlie,Yes,17327.825555555555
M000084,EQ03233,B018,2026-07-30,Emergency,12,260089.35,Team Charlie,Yes,21674.1125
M000085,EQ00760,B017,2026-05-10,Emergency,5,158808.87,Team Charlie,No,31761.773999999998
M000086,EQ00884,B006,2026-12-03,Inspection,20,774583.84,Team Delta,Yes,38729.191999999995
M000087,EQ00262,B014,2025-09-04,Corrective,11,277781.6,Team Bravo,Yes,25252.872727272726
M000088,EQ00038,B002,2026-06-27,Inspection,3,119062.67,Team Bravo,No,39687.556666666664
M000089,EQ00701,B002,2025-03-02,Inspection,11,358266.02,Team Alpha,Yes,32569.638181818184
M000090,EQ01347,B015,2026-07-29,Emergency,3,103899.25,Team Charlie,No,34633.083333333336
M000091,EQ03849,B019,2026-10-06,Emergency,4,170411.31,Team Alpha,No,42602.8275
M000092,EQ02732,B017,2025-05-31,Emergency,2,85903.41,Team Bravo,No,42951.705
M000093,EQ00658,B011,2026-08-23,Corrective,0,0.0,Team Delta,No,0.0
M000094,EQ04963,B030,2026-11-02,Preventive,4,114204.67,Team Alpha,No,28551.1675
M000095,EQ01056,B021,2026-01-13,Inspection,14,477552.56,Team Echo,Yes,34110.897142857146
M000096,EQ03132,B028,2025-10-16,Emergency,2,71777.89,Team Echo,No,35888.945
M000097,EQ01396,B020,2026-12-18,Inspection,3,147552.63,Team Charlie,No,49184.21
M000098,EQ03055,B027,2025-03-31,Emergency,15,342344.07,Team Bravo,Yes,22822.938000000002
M000099,EQ01886,B015,2025-03-22,Corrective,2,86228.15,Team Charlie,No,43114.075
M000100,EQ01299,B001,2026-11-07,Preventive,0,0.0,Team Echo,No,0.0
M000101,EQ03036,B014,2025-10-09,Emergency,13,377232.88,Team Bravo,Yes,29017.913846153846
M000102,EQ02585,B010,2025-04-18,Corrective,3,130789.66,Team Delta,No,43596.55333333334
M000103,EQ00291,B020,2025-01-30,Inspection,18,378568.66,Team Bravo,Yes,21031.59222222222
M000104,EQ03785,B023,2025-09-26,Inspection,11,372715.12,Team Alpha,Yes,33883.192727272726
M000105,EQ03823,B010,2026-09-27,Corrective,1,36131.13,Team Bravo,No,36131.13
M000106,EQ04623,B020,2026-11-17,Emergency,1,36572.16,Team Delta,No,36572.16
M000107,EQ00486,B005,2025-05-03,Preventive,10,271109.1,Team Delta,Yes,27110.909999999996
M000108,EQ02267,B003,2025-10-14,Inspection,4,64064.14,Team Echo,No,16016.035
M000109,EQ00687,B005,2026-03-14,Preventive,19,543273.03,Team Charlie,Yes,28593.317368421052
M000110,EQ04694,B022,2026-06-30,Preventive,8,125498.82,Team Alpha,Yes,15687.3525
M000111,EQ00902,B010,2025-08-27,Preventive,7,252320.6,Team Alpha,No,36045.8
M000112,EQ00196,B009,2025-01-08,Preventive,2,55760.91,Team Charlie,No,27880.455
M000113,EQ03574,B005,2025-12-13,Inspection,2,43178.64,Team Echo,No,21589.32
M000114,EQ04308,B011,2025-08-03,Corrective,4,80088.61,Team Delta,No,20022.1525
M000115,EQ03983,B025,2026-11-11,Corrective,18,273088.57,Team Echo,Yes,15171.587222222222
M000116,EQ02229,B004,2025-01-26,Emergency,1,21310.67,Team Delta,No,21310.67
M000117,EQ00011,B016,2026-06-20,Inspection,0,0.0,Team Bravo,No,0.0
M000118,EQ04683,B003,2026-08-15,Emergency,6,240939.45,Team Delta,No,40156.575000000004
M000119,EQ02883,B014,2025-05-13,Preventive,2,54158.96,Team Bravo,No,27079.48
M000120,EQ01946,B012,2025-08-02,Emergency,20,666074.37,Team Bravo,Yes,33303.7185
M000121,EQ03255,B001,2025-12-25,Inspection,7,209426.24,Team Bravo,No,29918.034285714286
M000122,EQ03537,B025,2026-08-03,Preventive,5,75111.39,Team Delta,No,15022.278
M000123,EQ02489,B006,2026-02-20,Emergency,3,130916.52,Team Delta,No,43638.840000000004
M000124,EQ00555,B013,2026-07-12,Emergency,4,161559.66,Team Delta,No,40389.915
M000125,EQ04107,B028,2025-09-17,Preventive,3,45841.75,Team Bravo,No,15280.583333333334
M000126,EQ00344,B025,2026-04-22,Corrective,2,45717.53,Team Bravo,No,22858.765
M000127,EQ03037,B016,2025-07-24,Corrective,1,46377.59,Team Bravo,No,46377.59
M000128,EQ01061,B022,2026-08-12,Inspection,6,199553.56,Team Delta,No,33258.926666666666
M000129,EQ00563,B022,2026-05-22,Inspection,4,67227.02,Team Echo,No,16806.755
M000130,EQ04725,B014,2026-10-25,Emergency,4,143714.85,Team Echo,No,35928.7125
M000131,EQ00066,B024,2025-01-02,Emergency,20,843387.24,Team Echo,Yes,42169.362
M000132,EQ02355,B025,2025-09-22,Corrective,13,573956.23,Team Alpha,Yes,44150.479230769226
M000133,EQ01899,B022,2026-11-09,Corrective,2,80611.12,Team Echo,No,40305.56
M000134,EQ02634,B021,2025-12-11,Preventive,3,93678.31,Team Delta,No,31226.103333333333
M000135,EQ03998,B028,2026-04-07,Inspection,3,129007.21,Team Delta,No,43002.403333333335
M000136,EQ03619,B017,2025-12-25,Corrective,3,81653.53,Team Charlie,No,27217.843333333334
M000137,EQ00950,B011,2025-04-01,Inspection,0,0.0,Team Echo,No,0.0
M000138,EQ01961,B008,2026-07-15,Preventive,7,225300.32,Team Alpha,No,32185.760000000002
M000139,EQ02080,B024,2026-12-11,Inspection,3,123935.32,Team Echo,No,41311.77333333334
M000140,EQ00014,B013,2026-12-25,Inspection,18,617775.39,Team Bravo,Yes,34320.855
M000141,EQ04097,B030,2025-01-29,Inspection,10,296642.81,Team Alpha,Yes,29664.281
M000142,EQ03742,B005,2025-02-25,Emergency,2,34563.9,Team Delta,No,17281.95
M000143,EQ01493,B013,2025-12-30,Preventive,6,169409.57,Team Delta,No,28234.928333333333
M000144,EQ04269,B027,2026-06-03,Preventive,8,241139.99,Team Delta,Yes,30142.49875
M000145,EQ01451,B011,2025-08-21,Inspection,9,334251.3,Team Bravo,Yes,37139.03333333333
M000146,EQ00276,B016,2025-04-10,Inspection,4,189517.58,Team Charlie,No,47379.395
M000147,EQ02801,B010,2026-05-11,Inspection,7,171018.61,Team Bravo,No,24431.23
M000148,EQ01570,B008,2025-09-19,Preventive,18,797927.67,Team Charlie,Yes,44329.315
M000149,EQ00170,B007,2025-10-25,Corrective,17,438420.77,Team Alpha,Yes,25789.45705882353
M000150,EQ04517,B005,2026-07-29,Preventive,6,248149.13,Team Alpha,No,41358.18833333333
M000151,EQ04551,B013,2026-08-20,Preventive,15,401696.47,Team Alpha,Yes,26779.764666666666
M000152,EQ04517,B017,2025-05-31,Preventive,3,123404.18,Team Alpha,No,41134.72666666666
M000153,EQ04033,B026,2025-02-26,Emergency,0,0.0,Team Delta,No,0.0
M000154,EQ00701,B026,2025-06-03,Corrective,17,443111.89,Team Delta,Yes,26065.40529411765
M000155,EQ02809,B017,2026-04-02,Preventive,2,85363.19,Team Delta,No,42681.595
M000156,EQ01551,B023,2025-08-23,Inspection,10,282880.68,Team Bravo,Yes,28288.068
M000157,EQ03636,B025,2025-06-11,Corrective,2,55074.82,Team Echo,No,27537.41
M000158,EQ04455,B006,2025-11-26,Inspection,2,67260.13,Team Charlie,No,33630.065
M000159,EQ00683,B012,2025-10-26,Preventive,13,404622.96,Team Charlie,Yes,31124.84307692308
M000160,EQ02468,B025,2026-09-19,Emergency,1,30514.7,Team Delta,No,30514.7
M000161,EQ00496,B027,2026-03-19,Inspection,4,194348.59,Team Alpha,No,48587.1475
M000162,EQ02781,B016,2026-07-22,Emergency,9,215645.08,Team Bravo,Yes,23960.564444444444
M000163,EQ03561,B017,2026-03-17,Emergency,4,158311.68,Team Bravo,No,39577.92
M000164,EQ01528,B013,2025-05-05,Corrective,1,48940.17,Team Echo,No,48940.17
M000165,EQ03396,B027,2025-04-29,Emergency,12,553182.34,Team Charlie,Yes,46098.52833333333
M000166,EQ00343,B013,2025-10-01,Preventive,1,34645.07,Team Echo,No,34645.07
M000167,EQ03730,B018,2025-07-14,Corrective,3,94880.78,Team Bravo,No,31626.926666666666
M000168,EQ00904,B011,2026-11-28,Corrective,2,79267.87,Team Delta,No,39633.935
M000169,EQ04275,B010,2025-05-03,Emergency,4,183114.46,Team Alpha,No,45778.615
M000170,EQ02340,B022,2025-02-05,Corrective,2,79639.67,Team Charlie,No,39819.835
M000171,EQ02037,B003,2026-06-20,Preventive,2,64899.52,Team Echo,No,32449.76
M000172,EQ04622,B030,2025-07-03,Inspection,3,84678.76,Team Charlie,No,28226.25333333333
M000173,EQ00245,B022,2026-04-05,Corrective,1,30025.44,Team Delta,No,30025.44
M000174,EQ04269,B001,2026-01-10,Inspection,6,119225.2,Team Delta,No,19870.866666666665
M000175,EQ04140,B010,2026-10-31,Corrective,1,17260.5,Team Alpha,No,17260.5
M000176,EQ00469,B021,2025-04-14,Emergency,2,87193.61,Team Delta,No,43596.805
M000177,EQ03966,B011,2026-01-18,Inspection,6,157147.33,Team Alpha,No,26191.221666666665
M000178,EQ01756,B004,2025-08-22,Inspection,18,648873.69,Team Charlie,Yes,36048.53833333333
M000179,EQ03359,B010,2025-02-07,Corrective,16,598379.32,Team Echo,Yes,37398.7075
M000180,EQ02368,B013,2025-10-24,Emergency,3,109461.89,Team Echo,No,36487.29666666667
M000181,EQ03887,B004,2026-07-04,Corrective,4,64939.98,Team Bravo,No,16234.995
M000182,EQ00737,B020,2025-08-20,Corrective,4,84766.18,Team Bravo,No,21191.545
M000183,EQ04216,B025,2025-02-01,Preventive,4,87608.31,Team Delta,No,21902.0775
M000184,EQ00900,B015,2026-06-15,Preventive,3,75329.71,Team Alpha,No,25109.903333333335
M000185,EQ03124,B009,2025-08-27,Corrective,8,358662.48,Team Charlie,Yes,44832.81
M000186,EQ01750,B013,2026-11-23,Corrective,5,152086.94,Team Bravo,No,30417.388
M000187,EQ00097,B023,2025-11-16,Emergency,8,301159.06,Team Alpha,Yes,37644.8825
M000188,EQ00368,B016,2026-05-16,Preventive,12,422465.0,Team Charlie,Yes,35205.416666666664
M000189,EQ01465,B001,2026-07-21,Emergency,20,708625.52,Team Alpha,Yes,35431.276
M000190,EQ00716,B028,2025-06-26,Preventive,1,49442.38,Team Delta,No,49442.38
M000191,EQ00890,B009,2025-02-19,Emergency,0,0.0,Team Delta,No,0.0
M000192,EQ02156,B029,2026-01-22,Preventive,2,51074.2,Team Delta,No,25537.1
M000193,EQ04174,B013,2026-03-08,Emergency,13,356045.99,Team Delta,Yes,27388.153076923078
M000194,EQ01916,B002,2026-04-05,Inspection,5,114810.38,Team Alpha,No,22962.076
M000195,EQ04723,B022,2025-12-11,Corrective,4,66554.04,Team Bravo,No,16638.51
M000196,EQ02133,B018,2026-08-05,Corrective,4,99920.17,Team Bravo,No,24980.0425
M000197,EQ04204,B015,2025-02-03,Inspection,3,100104.07,Team Alpha,No,33368.02333333334
M000198,EQ00517,B023,2025-08-11,Preventive,19,694381.24,Team Bravo,Yes,36546.38105263158
M000199,EQ02835,B020,2025-11-06,Inspection,4,166405.61,Team Alpha,No,41601.4025
M000200,EQ00187,B006,2025-05-27,Emergency,9,232074.89,Team Alpha,Yes,25786.09888888889
M000201,EQ03836,B021,2025-07-10,Inspection,0,0.0,Team Echo,No,0.0
M000202,EQ04036,B021,2025-01-21,Corrective,3,79251.28,Team Bravo,No,26417.093333333334
M000203,EQ02117,B001,2025-06-27,Preventive,3,144318.62,Team Bravo,No,48106.206666666665
M000204,EQ01946,B010,2026-08-15,Emergency,10,300160.25,Team Alpha,Yes,30016.025
M000205,EQ02039,B007,2026-10-04,Inspection,8,392776.25,Team Alpha,Yes,49097.03125
M000206,EQ04894,B023,2025-03-23,Corrective,4,165641.5,Team Echo,No,41410.375
M000207,EQ00050,B006,2026-08-27,Inspection,0,0.0,Team Bravo,No,0.0
M000208,EQ02774,B030,2026-11-08,Corrective,3,83924.43,Team Delta,No,27974.809999999998
M000209,EQ03682,B005,2026-06-11,Inspection,5,85278.52,Team Charlie,No,17055.704
M000210,EQ04506,B004,2026-06-04,Inspection,4,176915.41,Team Echo,No,44228.8525
M000211,EQ00564,B029,2025-02-12,Inspection,6,275055.47,Team Charlie,No,45842.57833333333
M000212,EQ03029,B013,2025-08-30,Emergency,1,36953.66,Team Echo,No,36953.66
M000213,EQ01059,B001,2025-09-22,Emergency,16,490917.02,Team Echo,Yes,30682.31375
M000214,EQ01640,B030,2025-10-18,Inspection,2,66619.82,Team Bravo,No,33309.91
M000215,EQ02053,B022,2025-09-26,Corrective,0,0.0,Team Delta,No,0.0
M000216,EQ01369,B015,2026-07-22,Inspection,7,329089.01,Team Echo,No,47012.71571428572
M000217,EQ02041,B018,2025-09-20,Inspection,1,41232.11,Team Alpha,No,41232.11
M000218,EQ00439,B012,2025-01-19,Preventive,10,485747.32,Team Bravo,Yes,48574.732
M000219,EQ04974,B003,2026-02-26,Emergency,11,402784.94,Team Echo,Yes,36616.81272727273
M000220,EQ03392,B009,2026-05-14,Corrective,7,249631.7,Team Echo,No,35661.67142857143
M000221,EQ04801,B002,2025-10-30,Emergency,15,339999.36,Team Delta,Yes,22666.624
M000222,EQ02170,B023,2026-09-07,Inspection,5,81244.98,Team Delta,No,16248.996
M000223,EQ02342,B029,2026-10-09,Corrective,16,372209.15,Team Charlie,Yes,23263.071875
M000224,EQ04792,B019,2026-09-16,Inspection,4,150246.49,Team Charlie,No,37561.6225
M000225,EQ00635,B014,2025-04-25,Inspection,3,129387.8,Team Alpha,No,43129.26666666667
M000226,EQ01438,B024,2025-10-09,Inspection,4,171580.48,Team Echo,No,42895.12
M000227,EQ02283,B029,2026-09-16,Emergency,2,82049.74,Team Delta,No,41024.87
M000228,EQ02613,B012,2026-04-18,Corrective,4,141215.92,Team Bravo,No,35303.98
M000229,EQ01234,B028,2026-12-16,Corrective,8,386531.42,Team Delta,Yes,48316.4275
M000230,EQ04638,B013,2025-04-17,Corrective,0,0.0,Team Bravo,No,0.0
M000231,EQ04571,B028,2025-08-25,Preventive,8,356230.43,Team Alpha,Yes,44528.80375
M000232,EQ00782,B023,2025-02-17,Preventive,6,213224.8,Team Bravo,No,35537.46666666667
M000233,EQ01744,B016,2026-08-29,Corrective,4,153969.91,Team Charlie,No,38492.4775
M000234,EQ01153,B011,2026-06-23,Preventive,4,81729.22,Team Alpha,No,20432.305
M000235,EQ01133,B012,2026-04-08,Inspection,1,47314.49,Team Charlie,No,47314.49
M000236,EQ00725,B006,2025-07-03,Corrective,6,278225.0,Team Echo,No,46370.833333333336
M000237,EQ03021,B002,2025-10-09,Corrective,4,87249.42,Team Charlie,No,21812.355
M000238,EQ03380,B008,2026-12-30,Preventive,10,439161.63,Team Echo,Yes,43916.163
M000239,EQ04545,B013,2025-10-14,Corrective,2,64528.48,Team Alpha,No,32264.24
M000240,EQ03364,B012,2026-07-05,Corrective,12,221484.17,Team Delta,Yes,18457.014166666668
M000241,EQ00477,B016,2026-05-22,Corrective,5,197754.02,Team Charlie,No,39550.804
M000242,EQ03457,B026,2025-09-26,Inspection,0,0.0,Team Bravo,No,0.0
M000243,EQ00501,B018,2025-03-26,Preventive,6,130835.61,Team Charlie,No,21805.935
M000244,EQ01755,B025,2026-02-09,Emergency,3,47092.73,Team Bravo,No,15697.576666666668
M000245,EQ04001,B018,2026-11-03,Inspection,20,859413.3,Team Alpha,Yes,42970.665
M000246,EQ01571,B001,2026-06-20,Preventive,3,88308.15,Team Echo,No,29436.05
M000247,EQ00290,B007,2025-02-19,Corrective,2,57890.15,Team Bravo,No,28945.075
M000248,EQ03396,B012,2025-11-02,Inspection,5,145816.46,Team Charlie,No,29163.291999999998
M000249,EQ01232,B013,2025-04-05,Inspection,1,37509.57,Team Alpha,No,37509.57
M000250,EQ03367,B004,2025-05-19,Inspection,13,232215.43,Team Echo,Yes,17862.725384615384
M000251,EQ03523,B028,2026-09-17,Corrective,12,302020.38,Team Alpha,Yes,25168.365
M000252,EQ01668,B028,2026-12-16,Inspection,4,159986.37,Team Charlie,No,39996.5925
M000253,EQ04589,B028,2026-04-05,Corrective,7,272974.2,Team Echo,No,38996.31428571429
M000254,EQ01888,B005,2025-06-15,Inspection,11,203912.93,Team Delta,Yes,18537.53909090909
M000255,EQ04142,B017,2025-09-17,Inspection,6,245652.52,Team Echo,No,40942.08666666666
M000256,EQ01243,B030,2025-03-11,Emergency,9,139105.12,Team Alpha,Yes,15456.124444444444
M000257,EQ00978,B009,2025-04-06,Inspection,4,107390.63,Team Charlie,No,26847.6575
M000258,EQ01911,B028,2025-12-14,Emergency,16,739980.9,Team Bravo,Yes,46248.80625
M000259,EQ02843,B008,2026-02-13,Emergency,8,190330.97,Team Charlie,Yes,23791.37125
M000260,EQ03757,B009,2026-12-14,Emergency,16,281907.84,Team Bravo,Yes,17619.24
M000261,EQ02496,B011,2026-06-28,Inspection,18,444176.89,Team Alpha,Yes,24676.49388888889
M000262,EQ02108,B029,2026-07-03,Corrective,4,97057.21,Team Charlie,No,24264.3025
M000263,EQ00276,B002,2025-08-01,Emergency,3,138274.77,Team Charlie,No,46091.59
M000264,EQ04067,B011,2025-07-07,Corrective,4,166628.81,Team Charlie,No,41657.2025
M000265,EQ00929,B028,2025-11-19,Inspection,0,0.0,Team Charlie,No,0.0
M000266,EQ04639,B014,2025-05-13,Corrective,2,40632.46,Team Bravo,No,20316.23
M000267,EQ02270,B001,2026-08-15,Inspection,12,268718.23,Team Bravo,Yes,22393.185833333333
M000268,EQ03821,B005,2026-01-30,Inspection,11,514756.35,Team Bravo,Yes,46796.031818181815
M000269,EQ02414,B024,2025-09-12,Emergency,6,167507.43,Team Charlie,No,27917.905
M000270,EQ00555,B015,2025-09-04,Emergency,0,0.0,Team Bravo,No,0.0
M000271,EQ01391,B010,2026-03-13,Corrective,2,34226.6,Team Charlie,No,17113.3
M000272,EQ02704,B018,2026-06-05,Inspection,6,199626.98,Team Echo,No,33271.16333333334
M000273,EQ02368,B021,2025-01-08,Corrective,3,93530.99,Team Echo,No,31176.99666666667
M000274,EQ00058,B029,2025-12-30,Corrective,5,121626.86,Team Bravo,No,24325.372
M000275,EQ04883,B001,2026-06-17,Preventive,9,381439.96,Team Alpha,Yes,42382.21777777778
M000276,EQ01622,B030,2025-07-14,Preventive,16,468177.04,Team Charlie,Yes,29261.065
M000277,EQ01221,B018,2026-11-09,Emergency,16,678467.66,Team Bravo,Yes,42404.22875
M000278,EQ04877,B014,2026-04-01,Inspection,10,308782.31,Team Bravo,Yes,30878.231
M000279,EQ00430,B029,2025-08-07,Emergency,4,138041.64,Team Alpha,No,34510.41
M000280,EQ00717,B028,2025-06-26,Preventive,7,296626.03,Team Charlie,No,42375.147142857146
M000281,EQ04896,B008,2026-10-05,Inspection,7,195737.37,Team Echo,No,27962.481428571427
M000282,EQ04485,B006,2026-12-08,Preventive,8,176304.67,Team Delta,Yes,22038.08375
M000283,EQ02747,B019,2026-03-26,Inspection,8,133155.65,Team Alpha,Yes,16644.45625
M000284,EQ03926,B027,2026-07-15,Emergency,3,86363.91,Team Delta,No,28787.97
M000285,EQ04894,B030,2026-06-01,Corrective,2,70986.54,Team Delta,No,35493.27
M000286,EQ04535,B019,2026-07-31,Emergency,5,180198.91,Team Bravo,No,36039.782
M000287,EQ00273,B019,2025-01-04,Corrective,20,777381.38,Team Echo,Yes,38869.069
M000288,EQ03894,B010,2025-10-09,Corrective,1,43224.42,Team Echo,No,43224.42
M000289,EQ03175,B006,2026-10-10,Emergency,3,120126.23,Team Delta,No,40042.07666666667
M000290,EQ04828,B005,2025-04-30,Inspection,1,16753.04,Team Alpha,No,16753.04
M000291,EQ00800,B030,2025-12-23,Corrective,2,80314.66,Team Charlie,No,40157.33
M000292,EQ04936,B002,2026-05-01,Corrective,7,178567.26,Team Delta,No,25509.608571428573
