Fuel_ID,Date,Base_ID,Region,Vehicle_Type,Fuel_Consumed_Liters,Fuel_Cost_INR,Fuel_Cost_Per_Liter
F000033,2026-10-14,B008,East,Jeep,68.63,6760.5,98.50648404487833
F000034,2025-09-21,B026,South,Generator,82.72,8232.92,99.52756286266924
F000035,2025-04-02,B008,East,Truck,275.93,26460.63,95.89616931830537
F000036,2026-11-26,B030,East,Transport Vehicle,216.02,21324.45,98.7151652624757
F000037,2026-01-30,B005,East,Generator,143.28,13733.39,95.8500139586823
F000038,2026-10-26,B015,South,Truck,368.78,35746.63,96.93212755572428
F000039,2025-03-11,B030,East,Jeep,54.47,5298.58,97.27519735634294
F000040,2025-03-08,B016,West,Helicopter,670.93,63696.06,94.9369680890704
F000041,2025-12-24,B010,North,Generator,106.36,10446.9,98.22207596840917
F000042,2026-10-14,B013,South,Truck,425.71,40117.17,94.23591177092386
F000043,2026-07-26,B019,Central,Transport Vehicle,312.87,28313.84,90.49713938696583
F000044,2026-05-22,B019,Central,Tank,505.82,50145.99,99.13801352259696
F000045,2026-12-19,B011,Central,Transport Vehicle,262.78,25332.4,96.40155262957609
F000046,2026-07-30,B004,East,Truck,350.01,33354.42,95.29562012513928
F000047,2026-08-19,B023,North,Truck,344.45,32924.06,95.58443896066193
F000048,2026-02-03,B021,South,Transport Vehicle,305.86,30174.72,98.65533250506768
F000049,2026-11-19,B003,East,Tank,741.1,71745.52,96.80949939279449
F000050,2025-06-27,B018,East,Jeep,113.72,10935.38,96.16056982061203
F000051,2025-02-06,B023,North,Generator,110.85,10261.71,92.57293640054127
F000052,2026-10-20,B025,West,Generator,161.82,14758.29,91.20189098998888
F000053,2025-05-25,B007,Central,Tank,783.59,73648.91,93.98908868158092
F000054,2026-11-30,B028,West,Generator,168.49,16132.36,95.7466911982907
F000055,2026-09-03,B017,East,Generator,159.05,15067.03,94.73140521848475
F000056,2026-12-23,B008,East,Helicopter,538.92,53589.03,99.43782008461368
F000057,2026-05-15,B013,South,Jeep,55.15,5230.02,94.83263825929285
F000058,2025-11-01,B024,East,Tank,707.97,63717.85,90.00077686907636
F000059,2025-12-04,B021,South,Helicopter,557.92,52408.12,93.93482936621739
F000060,2025-12-07,B001,Central,Jeep,64.26,6049.47,94.14052287581698
F000061,2025-01-02,B024,East,Helicopter,467.52,43541.31,93.13250770020534
F000062,2025-02-12,B027,West,Truck,356.32,34356.94,96.42158733722498
F000063,2026-07-09,B002,North,Helicopter,586.84,55348.26,94.31575898030127
F000064,2026-12-02,B027,West,Generator,166.27,15624.68,93.97173272388284
F000065,2025-11-07,B030,East,Helicopter,411.62,39326.94,95.54185899616151
F000066,2025-06-28,B007,Central,Tank,713.4,64214.61,90.01206896551724
F000067,2026-11-01,B022,Central,Tank,847.22,79756.71,94.13931446377565
F000068,2025-11-21,B026,South,Truck,366.19,34988.24,95.54668341571315
F000069,2025-09-13,B027,West,Helicopter,412.31,40284.38,97.70410613373431
F000070,2026-08-19,B007,Central,Tank,715.74,71237.37,99.52967558051806
F000071,2025-07-15,B013,South,Jeep,47.85,4360.05,91.11912225705329
F000072,2026-06-19,B012,South,Tank,672.85,65570.4,97.45173515642415
F000073,2026-05-21,B026,South,Tank,803.78,74036.45,92.11034113812237
F000074,2026-11-02,B028,West,Tank,768.25,73231.17,95.3220566221933
F000075,2025-12-14,B029,South,Generator,100.65,9156.41,90.97277694982613
F000076,2025-04-17,B008,East,Helicopter,465.38,45032.62,96.76526709355795
F000077,2026-11-09,B021,South,Tank,752.51,74796.73,99.39632695911017
F000078,2025-11-02,B029,South,Generator,134.2,12997.67,96.85298062593145
F000079,2025-05-06,B002,North,Jeep,46.74,4465.31,95.53508771929825
F000080,2025-03-26,B015,South,Transport Vehicle,272.87,25332.87,92.83860446366401
F000081,2025-05-17,B003,East,Generator,132.58,12914.96,97.4125810831196
F000082,2026-03-19,B001,Central,Helicopter,437.59,42626.09,97.41102401791632
F000083,2026-08-15,B004,East,Helicopter,509.74,49613.5,97.33099227056931
F000084,2026-07-08,B008,East,Tank,687.56,67284.28,97.8595031706324
F000085,2025-06-04,B030,East,Truck,333.97,30334.23,90.82920621612719
F000086,2026-03-11,B010,North,Jeep,95.56,9490.89,99.31864796986186
F000087,2026-02-19,B004,East,Transport Vehicle,212.24,19741.04,93.01281568036185
F000088,2025-07-18,B022,Central,Jeep,84.36,7754.46,91.92105263157895
F000089,2025-06-23,B029,South,Tank,583.44,54004.02,92.56139448786506
F000090,2026-08-02,B001,Central,Transport Vehicle,192.7,19197.99,99.62631032693307
F000091,2026-07-16,B010,North,Generator,117.8,11203.91,95.10959252971138
F000092,2025-09-02,B001,Central,Jeep,42.57,4043.62,94.98754991778247
F000093,2026-12-05,B004,East,Helicopter,538.49,49700.01,92.29514011402254
F000094,2025-09-27,B025,West,Tank,790.94,77659.62,98.18648696487722
F000095,2025-11-18,B013,South,Jeep,44.91,4328.99,96.39256290358495
F000096,2026-11-10,B008,East,Transport Vehicle,183.1,16562.75,90.4574003276898
F000097,2025-12-23,B022,Central,Helicopter,662.09,64596.85,97.56505913093386
F000098,2026-08-08,B028,West,Generator,128.57,11848.62,92.15695729952556
F000099,2025-06-27,B015,South,Tank,617.75,56208.73,90.98944556859571
F000100,2025-01-17,B015,South,Generator,138.69,13461.82,97.06409979090057
F000101,2026-04-22,B017,East,Truck,380.37,35029.39,92.09293582564345
F000102,2026-02-15,B009,South,Transport Vehicle,341.44,32418.23,94.94561269915651
F000103,2026-12-26,B014,Central,Helicopter,534.46,48786.69,91.28221008120346
F000104,2026-12-26,B023,North,Tank,558.5,54844.02,98.1987824529991
F000105,2026-11-12,B006,West,Helicopter,441.6,41867.17,94.80790307971013
F000106,2026-12-20,B024,East,Jeep,75.83,7190.52,94.82421205327708
F000107,2025-01-01,B028,West,Helicopter,500.42,46219.41,92.36123656128852
F000108,2026-08-23,B012,South,Truck,217.83,20533.32,94.26304916678143
F000109,2025-01-11,B023,North,Truck,338.33,32242.54,95.29908669050927
F000110,2026-01-09,B021,South,Transport Vehicle,345.14,31291.31,90.66265863128007
F000111,2026-11-25,B009,South,Transport Vehicle,192.23,17745.15,92.31207407792749
F000112,2026-03-18,B023,North,Jeep,47.69,4488.39,94.11595722373664
F000113,2025-11-17,B019,Central,Jeep,112.97,10916.97,96.63600956006019
F000114,2026-11-05,B008,East,Truck,257.34,25471.73,98.98084246522112
F000115,2026-08-11,B007,Central,Jeep,118.03,11284.99,95.61120054223503
F000116,2025-05-25,B029,South,Jeep,87.22,8613.33,98.7540701673928
F000117,2026-10-28,B028,West,Truck,412.79,37437.96,90.69492962523316
F000118,2026-12-15,B023,North,Truck,405.5,39489.86,97.385598027127
F000119,2026-07-08,B027,West,Tank,877.85,83208.09,94.78622771544113
F000120,2025-05-12,B012,South,Truck,447.12,42920.36,95.99293254607264
F000121,2025-04-27,B012,South,Tank,565.58,51219.0,90.56013296085433
F000122,2025-10-11,B015,South,Helicopter,695.1,67054.64,96.4676161703352
F000123,2025-10-05,B024,East,Transport Vehicle,321.14,31455.49,97.94946129413964
F000124,2025-10-06,B016,West,Truck,346.28,33606.3,97.04949751646069
F000125,2026-08-12,B027,West,Generator,114.03,11391.93,99.90292028413576
F000126,2025-01-02,B024,East,Transport Vehicle,321.98,31978.83,99.31930554692838
F000127,2025-12-09,B014,Central,Generator,89.47,8296.67,92.73130658321226
F000128,2025-07-29,B010,North,Jeep,54.11,5128.95,94.78746996858251
F000129,2026-04-07,B013,South,Truck,427.55,40884.02,95.62395041515612
F000130,2026-10-01,B029,South,Tank,888.69,81789.44,92.03371254318154
F000131,2026-04-04,B025,West,Jeep,64.25,6010.58,93.54988326848249
F000132,2025-01-15,B022,Central,Tank,689.36,66331.98,96.22255425322037
F000133,2026-07-25,B002,North,Generator,106.83,10424.53,97.5805485350557
F000134,2026-09-01,B013,South,Generator,144.69,14133.89,97.68394498583177
F000135,2026-02-18,B026,South,Transport Vehicle,201.89,18170.9,90.00396255386597
F000136,2026-07-08,B027,West,Helicopter,528.72,50152.52,94.85648358299288
F000137,2025-09-11,B025,West,Generator,150.51,14627.09,97.18350940136868
F000138,2026-11-25,B010,North,Transport Vehicle,325.63,30853.64,94.7506065165986
F000139,2025-04-07,B015,South,Truck,447.69,43365.96,96.8660457012665
F000140,2025-11-28,B009,South,Truck,439.38,43317.89,98.58867039919888
F000141,2026-12-13,B012,South,Generator,84.5,8363.7,98.97869822485208
F000142,2025-06-24,B030,East,Helicopter,640.32,58364.97,91.1496907796102
F000143,2026-09-25,B005,East,Tank,597.26,56435.68,94.4909754545759
F000144,2025-01-25,B014,Central,Helicopter,648.2,60567.67,93.43978710274605
F000145,2025-09-26,B008,East,Helicopter,427.44,38972.82,91.17728804042673
F000146,2026-03-04,B019,Central,Jeep,86.68,7932.09,91.51003691739731
F000147,2025-08-08,B028,West,Jeep,67.88,6164.02,90.80760164997055
F000148,2025-08-31,B014,Central,Truck,359.17,33900.54,94.38577832224294
F000149,2025-07-16,B028,West,Truck,358.25,32338.66,90.26841591067691
F000150,2025-06-14,B028,West,Helicopter,533.37,50506.15,94.69252113917169
F000151,2026-02-19,B026,South,Transport Vehicle,196.84,19398.78,98.55100589311115
F000152,2025-12-05,B009,South,Helicopter,480.47,47413.76,98.68204050200845
F000153,2025-01-03,B002,North,Transport Vehicle,210.5,20434.06,97.073919239905
F000154,2025-06-19,B029,South,Truck,333.13,30172.74,90.57346981658813
F000155,2025-08-24,B028,West,Helicopter,475.15,44369.98,93.38099547511314
F000156,2026-03-12,B017,East,Transport Vehicle,338.43,32547.47,96.17194102177703
F000157,2025-01-06,B027,West,Generator,128.85,11692.87,90.74792394256889
F000158,2026-10-15,B007,Central,Truck,258.68,23717.41,91.68629194371424
F000159,2026-04-11,B030,East,Generator,108.45,10213.05,94.1728907330567
F000160,2025-11-17,B015,South,Tank,706.94,67939.68,96.10388434662063
F000161,2026-03-27,B007,Central,Truck,287.92,26876.35,93.34658933036954
F000162,2025-11-12,B023,North,Jeep,42.6,4182.18,98.17323943661972
F000163,2025-04-11,B003,East,Helicopter,421.12,40568.12,96.33387158054711
F000164,2026-03-01,B026,South,Transport Vehicle,330.05,32782.51,99.32589001666415
F000165,2026-02-19,B020,East,Transport Vehicle,255.77,24932.33,97.479493294757
F000166,2025-08-07,B028,West,Generator,139.75,13937.41,99.73101967799641
F000167,2026-06-20,B021,South,Generator,128.79,12682.2,98.47193105054741
F000168,2025-12-30,B017,East,Transport Vehicle,202.65,18744.82,92.49849494201825
F000169,2026-02-10,B007,Central,Transport Vehicle,215.34,20333.91,94.42699916411256
F000170,2026-04-08,B024,East,Helicopter,585.42,56249.01,96.08317105667727
F000171,2026-03-20,B022,Central,Jeep,91.57,8339.97,91.07753631101889
F000172,2025-01-25,B029,South,Truck,366.14,33966.33,92.76869503468619
F000173,2025-09-21,B012,South,Generator,134.12,12278.1,91.5456307784074
F000174,2026-06-27,B010,North,Helicopter,463.54,44789.64,96.62518876472365
F000175,2026-02-11,B024,East,Tank,700.12,67869.98,96.940495914986
F000176,2026-07-26,B030,East,Transport Vehicle,286.52,25855.54,90.23991344408768
F000177,2025-02-05,B016,West,Helicopter,482.07,44010.31,91.29443856701309
F000178,2026-07-12,B030,East,Generator,150.93,13935.79,92.33280328629166
F000179,2026-10-26,B007,Central,Transport Vehicle,338.04,32784.89,96.9852384333215
F000180,2026-08-24,B020,East,Truck,220.56,20065.5,90.97524483133841
F000181,2025-02-01,B027,West,Jeep,42.31,3823.21,90.36185298983692
F000182,2025-08-05,B028,West,Jeep,65.98,6140.11,93.0601697484086
F000183,2025-07-26,B018,East,Generator,99.94,9270.71,92.76275765459275
F000184,2025-07-29,B027,West,Jeep,118.54,10950.21,92.37565378775096
F000185,2026-01-05,B014,Central,Helicopter,426.86,41922.2,98.21065454715831
F000186,2025-09-17,B030,East,Tank,835.98,75687.95,90.53799133950572
F000187,2025-01-13,B023,North,Helicopter,552.22,49830.62,90.23689833761907
F000188,2025-05-04,B025,West,Generator,173.11,16607.97,95.93882502455087
F000189,2026-11-17,B001,Central,Truck,256.69,23851.3,92.91869570298803
F000190,2025-03-11,B014,Central,Truck,426.45,42124.19,98.77873138703248
F000191,2026-06-14,B028,West,Generator,172.84,16304.8,94.33464475815782
F000192,2026-12-06,B013,South,Tank,614.16,60478.3,98.47319916634103
F000193,2026-12-11,B011,Central,Jeep,49.99,4794.82,95.91558311662331
F000194,2026-04-10,B024,East,Helicopter,439.43,43794.82,99.662790433061
F000195,2026-04-28,B022,Central,Truck,258.03,25546.09,99.00434058055266
F000196,2025-12-04,B010,North,Tank,850.19,84453.08,99.33436055469953
F000197,2025-05-07,B023,North,Transport Vehicle,246.8,22570.8,91.45380875202592
F000198,2025-06-17,B030,East,Helicopter,465.16,43010.59,92.46407687677358
F000199,2026-06-06,B030,East,Jeep,72.31,7123.96,98.51970681786752
F000200,2025-05-08,B003,East,Helicopter,627.12,58657.15,93.53417208827656
F000201,2026-11-14,B026,South,Transport Vehicle,210.68,19097.2,90.64552876400228
F000202,2025-09-15,B016,West,Helicopter,481.38,46388.06,96.36474303045411
F000203,2026-07-08,B016,West,Jeep,69.62,6318.87,90.76228095374891
F000204,2026-08-08,B012,South,Jeep,98.18,9547.42,97.24404155632512
F000205,2025-01-21,B024,East,Tank,710.51,66781.72,93.99124572490183
F000206,2026-02-08,B026,South,Helicopter,677.26,65459.18,96.65295455216608
F000207,2026-02-11,B020,East,Tank,899.17,83244.15,92.57887829887562
F000208,2025-10-17,B010,North,Jeep,92.42,8318.2,90.00432806751786
F000209,2025-09-01,B023,North,Jeep,70.5,6450.86,91.50156028368794
F000210,2026-06-15,B029,South,Truck,343.23,32470.33,94.60224922063922
F000211,2025-01-13,B015,South,Transport Vehicle,213.64,19476.6,91.16551207639019
F000212,2026-05-09,B018,East,Tank,889.35,85720.61,96.38568617529657
F000213,2026-10-12,B004,East,Truck,273.95,25456.26,92.92301514874977
F000214,2025-12-03,B027,West,Jeep,115.09,10971.25,95.32756972803892
F000215,2025-09-09,B009,South,Generator,178.74,17263.06,96.58196262727985
F000216,2026-11-22,B016,West,Jeep,110.05,10277.22,93.38682417083143
F000217,2026-09-03,B026,South,Tank,535.85,49402.41,92.19447606606326
F000218,2025-07-17,B011,Central,Generator,92.83,9229.89,99.42787891845308
F000219,2025-09-29,B028,West,Jeep,88.97,8502.56,95.56659548162301
F000220,2025-07-09,B018,East,Truck,414.78,41261.73,99.47859106032115
F000221,2026-06-15,B014,Central,Generator,102.2,10155.71,99.37093933463795
F000222,2026-07-15,B004,East,Helicopter,625.01,60465.49,96.74323610822226
F000223,2025-07-18,B017,East,Truck,347.1,33746.3,97.2235666954768
F000224,2025-11-14,B028,West,Tank,831.21,80121.97,96.39197074144921
F000225,2025-11-24,B018,East,Truck,229.45,21623.7,94.2414469383308
F000226,2025-07-11,B026,South,Tank,527.92,50428.18,95.52238975602364
F000227,2025-10-17,B003,East,Truck,394.37,37321.37,94.63541851560717
F000228,2025-09-02,B009,South,Tank,697.79,65022.29,93.18317832012497
F000229,2025-07-03,B024,East,Jeep,85.68,8058.9,94.05812324929971
F000230,2025-06-15,B005,East,Truck,260.19,25673.22,98.67104808024905
F000231,2026-01-22,B019,Central,Jeep,104.42,9679.61,92.69881248802912
F000232,2026-03-09,B011,Central,Jeep,54.62,5101.59,93.40150128158184
F000233,2026-12-18,B002,North,Jeep,81.39,7409.53,91.03735102592455
F000234,2026-07-01,B018,East,Jeep,46.15,4340.29,94.0474539544962
F000235,2025-11-08,B029,South,Transport Vehicle,333.35,32130.7,96.3872806359682
F000236,2025-06-30,B008,East,Tank,877.61,85031.27,96.88958649058237
F000237,2025-04-01,B013,South,Helicopter,480.4,43599.79,90.75726477935055
F000238,2025-12-29,B013,South,Transport Vehicle,202.94,18313.96,90.24322459840347
F000239,2025-11-04,B027,West,Generator,115.51,10637.91,92.0951432776383
F000240,2025-05-17,B013,South,Tank,572.2,52741.15,92.17257951765117
F000241,2025-05-09,B030,East,Generator,131.93,13124.03,99.47722276965057
F000242,2025-06-16,B001,Central,Helicopter,587.39,54919.25,93.49708030439741
F000243,2026-04-22,B009,South,Helicopter,590.08,57167.41,96.88077887744035
F000244,2026-09-18,B009,South,Jeep,47.46,4573.18,96.35861778339655
F000245,2026-09-27,B008,East,Jeep,64.0,6375.55,99.61796875
F000246,2026-03-19,B019,Central,Helicopter,554.07,53452.17,96.47187178515348
F000247,2025-05-06,B008,East,Jeep,88.01,8667.68,98.4851721395296
F000248,2026-07-04,B008,East,Generator,138.12,12682.74,91.82406602953952
F000249,2026-08-04,B028,West,Generator,147.37,13499.44,91.60236140327068
F000250,2025-07-08,B019,Central,Transport Vehicle,257.89,24197.47,93.82864787312421
F000251,2025-01-25,B001,Central,Transport Vehicle,255.44,23705.8,92.80378953961791
F000252,2025-08-09,B003,East,Transport Vehicle,201.8,18854.77,93.43295341922695
F000253,2025-05-29,B025,West,Truck,332.31,31792.55,95.67136107851103
F000254,2025-08-19,B028,West,Generator,122.24,11188.45,91.52855039267017
F000255,2025-02-28,B018,East,Truck,327.14,29927.85,91.48330989790304
F000256,2025-12-20,B027,West,Tank,699.13,65424.31,93.57960608184457
F000257,2025-12-28,B008,East,Transport Vehicle,236.74,23107.56,97.6073329390893
F000258,2025-11-01,B001,Central,Tank,724.62,66869.1,92.28160967127599
F000259,2025-10-03,B005,East,Helicopter,496.87,48714.77,98.04329100167045
F000260,2026-08-08,B014,Central,Generator,176.1,16211.09,92.05616127200454
F000261,2026-12-02,B015,South,Truck,305.39,28069.5,91.9136186515603
F000262,2025-07-13,B018,East,Jeep,63.0,5690.77,90.32968253968255
F000263,2026-10-31,B024,East,Tank,594.58,55802.79,93.85245046923879
F000264,2026-11-24,B029,South,Truck,407.65,37695.82,92.47104133447812
F000265,2026-08-19,B018,East,Generator,171.75,16745.55,97.49956331877729
F000266,2026-12-13,B028,West,Tank,728.19,66513.6,91.34099616858238
F000267,2026-05-08,B026,South,Transport Vehicle,181.03,16581.66,91.59619952494062
F000268,2026-04-11,B025,West,Jeep,118.39,10889.16,91.97702508657825
F000269,2026-06-21,B011,Central,Transport Vehicle,220.46,20015.3,90.78880522543771
F000270,2025-02-28,B002,North,Generator,101.39,9129.83,90.04665154354473
F000271,2026-05-04,B017,East,Helicopter,636.29,62542.32,98.29216237878956
F000272,2026-01-14,B030,East,Tank,626.02,59727.87,95.40888470016932
F000273,2025-04-15,B010,North,Generator,113.5,11333.74,99.85674008810572
F000274,2026-08-27,B023,North,Truck,324.07,30716.9,94.7847687228068
F000275,2025-08-30,B030,East,Jeep,108.98,10631.71,97.5565241328684
F000276,2026-07-16,B007,Central,Jeep,98.03,9084.26,92.66816280730389
F000277,2026-08-29,B005,East,Jeep,46.97,4287.17,91.2746433893975
F000278,2025-06-01,B015,South,Generator,166.52,15385.54,92.39454720153735
F000279,2025-01-08,B003,East,Jeep,53.8,5028.69,93.47007434944237
F000280,2026-01-31,B010,North,Tank,779.46,74475.67,95.54777666589689
F000281,2026-09-08,B024,East,Jeep,42.52,4040.98,95.03715898400752
F000282,2025-04-12,B030,East,Truck,357.67,32651.76,91.29018368887522
F000283,2025-02-16,B002,North,Helicopter,697.27,64919.05,93.10460797108725
F000284,2026-11-15,B017,East,Generator,130.85,13082.84,99.98349254871991
F000285,2025-09-14,B003,East,Jeep,60.56,5774.44,95.35072655217965
F000286,2025-02-08,B019,Central,Truck,412.71,40144.43,97.27031087204091
F000287,2026-01-20,B017,East,Generator,102.37,10123.94,98.8955748754518
F000288,2026-09-25,B014,Central,Generator,141.19,13756.08,97.42956300021248
F000289,2026-04-17,B010,North,Transport Vehicle,216.25,21053.29,97.35625433526012
F000290,2025-07-10,B002,North,Tank,515.58,49206.14,95.4384188680709
F000291,2026-09-12,B011,Central,Tank,722.75,70767.59,97.91434105845728
F000292,2026-01-06,B012,South,Truck,395.28,37283.2,94.32098765432099
F000293,2026-10-19,B012,South,Truck,253.45,23084.19,91.07985796014994
F000294,2026-10-13,B002,North,Helicopter,614.01,61239.03,99.73620950798846
F000295,2025-12-12,B029,South,Tank,748.18,74350.05,99.37454890534364
F000296,2026-05-03,B010,North,Tank,776.54,71179.42,91.66227110000773
F000297,2026-05-22,B012,South,Helicopter,499.36,49475.4,99.07761935277155
F000298,2026-10-29,B028,West,Truck,256.26,24707.8,96.41692031530476
F000299,2025-01-04,B008,East,Truck,415.44,40178.1,96.71216060080877
F000300,2025-02-05,B005,East,Truck,408.87,38652.85,94.5357937730819
F000301,2025-06-22,B016,West,Transport Vehicle,325.9,32178.84,98.73838600797791
F000302,2026-07-21,B020,East,Transport Vehicle,225.06,21086.22,93.69154892028793
F000303,2025-09-20,B012,South,Helicopter,493.18,46174.4,93.62585668518594
F000304,2026-11-15,B025,West,Generator,128.45,12244.82,95.32752043596732
F000305,2025-09-13,B008,East,Generator,95.75,8939.9,93.36710182767624
F000306,2026-04-25,B006,West,Helicopter,464.67,46427.18,99.91430477543203
F000307,2025-06-06,B015,South,Jeep,98.43,9591.59,97.4457990450066
F000308,2026-04-25,B013,South,Generator,175.17,15929.07,90.93492036307588
F000309,2026-05-25,B030,East,Generator,121.84,11732.25,96.29226854891661
F000310,2026-10-20,B009,South,Helicopter,608.19,59124.72,97.21422581758989
F000311,2026-11-17,B009,South,Helicopter,481.7,47350.27,98.29825617604318
F000312,2025-08-01,B009,South,Truck,313.7,28839.06,91.93197322282437
F000313,2025-01-09,B015,South,Transport Vehicle,318.66,28716.65,90.11689575095713
F000314,2025-08-21,B019,Central,Tank,794.09,77175.8,97.18772431336498
F000315,2026-01-16,B016,West,Generator,177.43,16855.42,94.99757650904581
F000316,2025-03-25,B028,West,Tank,563.86,53089.77,94.1541694746923
F000317,2025-08-08,B016,West,Truck,375.19,34093.92,90.87107865348223
F000318,2025-04-06,B020,East,Transport Vehicle,229.2,20632.53,90.01976439790576
F000319,2026-08-06,B005,East,Helicopter,650.2,59249.31,91.12474623192863
F000320,2025-03-01,B027,West,Truck,370.97,36139.88,97.41995309593766
F000321,2026-06-09,B019,Central,Helicopter,406.54,39235.25,96.51018349977862
F000322,2026-02-04,B001,Central,Generator,101.76,9500.04,93.35731132075472
F000323,2026-12-31,B030,East,Generator,174.33,16807.64,96.41278035908907
F000324,2026-06-01,B025,West,Tank,542.64,52649.25,97.02427023440956
F000325,2025-09-07,B004,East,Helicopter,651.4,64210.53,98.57311943506295
F000326,2026-01-11,B030,East,Transport Vehicle,330.33,31411.98,95.09272545636182
F000327,2026-02-25,B022,Central,Tank,586.62,57634.16,98.24786062527701
F000328,2025-07-27,B013,South,Transport Vehicle,205.27,18644.79,90.8305646222049
F000329,2026-10-29,B027,West,Jeep,63.16,6071.97,96.13632045598482
F000330,2025-10-13,B009,South,Helicopter,555.49,52444.29,94.41086248177285
F000331,2026-12-03,B029,South,Helicopter,425.0,41409.68,97.43454117647059
F000332,2025-02-10,B012,South,Jeep,40.37,3665.94,90.80852117909339
F000333,2025-05-07,B029,South,Helicopter,431.66,42021.8,97.34930269193347
F000334,2025-12-31,B024,East,Generator,87.76,8507.18,96.93687329079307
F000335,2025-11-03,B007,Central,Generator,157.79,15060.78,95.44825400849231
F000336,2026-08-26,B024,East,Transport Vehicle,186.01,16896.63,90.83721305306167
F000337,2025-03-31,B030,East,Truck,396.87,36077.4,90.90483029707461
F000338,2026-03-11,B028,West,Helicopter,640.93,59307.61,92.53367762470161
F000339,2025-04-04,B004,East,Generator,159.66,15941.45,99.84623575097082
F000340,2025-05-03,B021,South,Truck,254.06,25114.89,98.85416830669921
F000341,2026-06-04,B020,East,Truck,446.71,41364.24,92.59752412079425
F000342,2026-08-13,B002,North,Tank,738.81,69613.37,94.22364342659141
F000343,2026-10-30,B013,South,Helicopter,402.9,39811.38,98.8120625465376
F000344,2025-08-25,B002,North,Truck,444.45,41200.44,92.69983125210936
F000345,2025-12-21,B005,East,Tank,883.62,84431.32,95.55161721101832
F000346,2025-09-03,B010,North,Jeep,43.94,4246.46,96.64223941738736
F000347,2026-02-17,B007,Central,Generator,157.14,14521.19,92.40925289550721
F000348,2026-01-06,B011,Central,Transport Vehicle,252.76,24308.48,96.17217914226934
F000349,2026-02-13,B024,East,Generator,156.54,14799.27,94.53986201609813
F000350,2026-10-29,B021,South,Transport Vehicle,308.11,28196.62,91.51478368115282
F000351,2026-02-11,B024,East,Helicopter,675.75,61062.22,90.36214576396597
F000352,2025-06-10,B004,East,Helicopter,680.89,67059.77,98.48840488184582
F000353,2025-04-14,B022,Central,Jeep,118.23,11050.93,93.46976232766642
F000354,2025-11-18,B003,East,Transport Vehicle,192.85,17479.88,90.63977184340162
F000355,2025-06-15,B013,South,Helicopter,678.46,65568.76,96.64351619844942
F000356,2025-05-07,B026,South,Jeep,91.8,9002.86,98.07037037037038
F000357,2026-01-07,B004,East,Truck,244.81,23780.21,97.13741268739021
F000358,2025-05-23,B006,West,Transport Vehicle,216.15,19995.63,92.50811936155448
F000359,2026-12-09,B029,South,Generator,142.6,14141.6,99.16970546984572
F000360,2025-10-21,B021,South,Transport Vehicle,257.99,23890.16,92.60110857009961
