Equipment_ID,Supplier_ID,Equipment_Name,Category,Manufacturer,Purchase_Year,Expected_Life,Status,Equipment_Age
EQ00068,SUP0200,Communication System,Communication System,Tata Advanced Systems,2018,22,Out of Service,8
EQ00069,SUP0156,Armored Vehicle,Armored Vehicle,DRDO,2025,20,Operational,1
EQ00070,SUP0052,Truck,Truck,HAL,2023,25,Maintenance,3
EQ00071,SUP0299,Communication System,Communication System,Bharat Dynamics,2008,22,Operational,18
EQ00072,SUP0238,Radar,Radar,L&T Defence,2007,10,Operational,19
EQ00073,SUP0195,Truck,Truck,Bharat Dynamics,2024,10,Operational,2
EQ00074,SUP0076,Tank,Tank,L&T Defence,2010,25,Maintenance,16
EQ00075,SUP0203,Radar,Radar,Tata Advanced Systems,2006,24,Maintenance,20
EQ00076,SUP0015,Radar,Radar,BEL,2021,26,Operational,5
EQ00077,SUP0218,Truck,Truck,Mahindra Defence,2012,27,Operational,14
EQ00078,SUP0092,Radar,Radar,Bharat Dynamics,2007,23,Operational,19
EQ00079,SUP0202,Generator,Generator,Tata Advanced Systems,2011,13,Operational,15
EQ00080,SUP0218,Radar,Radar,Mahindra Defence,2008,13,Operational,18
EQ00081,SUP0023,Missile Launcher,Missile Launcher,DRDO,2013,30,Operational,13
EQ00082,SUP0203,Tank,Tank,Bharat Dynamics,2021,30,Operational,5
EQ00083,SUP0181,Armored Vehicle,Armored Vehicle,Mahindra Defence,2008,18,Maintenance,18
EQ00084,SUP0156,Missile Launcher,Missile Launcher,DRDO,2010,21,Operational,16
EQ00085,SUP0101,Missile Launcher,Missile Launcher,Bharat Dynamics,2020,25,Maintenance,6
EQ00086,SUP0242,Communication System,Communication System,Mahindra Defence,2020,29,Operational,6
EQ00087,SUP0057,Armored Vehicle,Armored Vehicle,L&T Defence,2013,17,Operational,13
EQ00088,SUP0136,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2009,20,Operational,17
EQ00089,SUP0058,Tank,Tank,Tata Advanced Systems,2023,15,Operational,3
EQ00090,SUP0205,Generator,Generator,Tata Advanced Systems,2008,24,Maintenance,18
EQ00091,SUP0034,Missile Launcher,Missile Launcher,Ashok Leyland Defence,2019,20,Operational,7
EQ00092,SUP0069,Generator,Generator,BEL,2019,16,Operational,7
EQ00093,SUP0194,Armored Vehicle,Armored Vehicle,Mahindra Defence,2013,20,Operational,13
EQ00094,SUP0223,Truck,Truck,Ashok Leyland Defence,2023,15,Operational,3
EQ00095,SUP0133,Generator,Generator,BEL,2006,18,Operational,20
EQ00096,SUP0062,Tank,Tank,Mahindra Defence,2022,19,Operational,4
EQ00097,SUP0147,Communication System,Communication System,HAL,2021,13,Operational,5
EQ00098,SUP0181,Drone,Drone,Mahindra Defence,2013,13,Operational,13
EQ00099,SUP0094,Tank,Tank,Mahindra Defence,2010,25,Operational,16
EQ00100,SUP0048,Missile Launcher,Missile Launcher,Tata Advanced Systems,2024,24,Out of Service,2
EQ00101,SUP0151,Drone,Drone,Bharat Dynamics,2022,21,Operational,4
EQ00102,SUP0257,Truck,Truck,DRDO,2007,13,Maintenance,19
EQ00103,SUP0281,Truck,Truck,DRDO,2014,10,Operational,12
EQ00104,SUP0206,Communication System,Communication System,Tata Advanced Systems,2015,28,Operational,11
EQ00105,SUP0252,Missile Launcher,Missile Launcher,HAL,2019,21,Operational,7
EQ00106,SUP0199,Armored Vehicle,Armored Vehicle,BEL,2020,27,Operational,6
EQ00107,SUP0104,Radar,Radar,DRDO,2023,21,Operational,3
EQ00108,SUP0139,Communication System,Communication System,Ashok Leyland Defence,2009,12,Operational,17
EQ00109,SUP0252,Missile Launcher,Missile Launcher,Tata Advanced Systems,2007,15,Maintenance,19
EQ00110,SUP0129,Generator,Generator,Mahindra Defence,2017,10,Operational,9
EQ00111,SUP0095,Communication System,Communication System,Ashok Leyland Defence,2017,22,Operational,9
EQ00112,SUP0069,Truck,Truck,DRDO,2007,24,Operational,19
EQ00113,SUP0275,Missile Launcher,Missile Launcher,BEL,2024,22,Operational,2
EQ00114,SUP0205,Armored Vehicle,Armored Vehicle,HAL,2022,23,Operational,4
EQ00115,SUP0168,Radar,Radar,Bharat Dynamics,2011,19,Operational,15
EQ00116,SUP0232,Missile Launcher,Missile Launcher,L&T Defence,2007,21,Operational,19
EQ00117,SUP0284,Truck,Truck,HAL,2012,17,Operational,14
EQ00118,SUP0272,Radar,Radar,HAL,2021,17,Operational,5
EQ00119,SUP0102,Truck,Truck,BEL,2020,11,Operational,6
EQ00120,SUP0006,Truck,Truck,BEL,2012,10,Operational,14
EQ00121,SUP0027,Generator,Generator,Bharat Dynamics,2015,28,Operational,11
EQ00122,SUP0181,Truck,Truck,Mahindra Defence,2025,25,Maintenance,1
EQ00123,SUP0289,Armored Vehicle,Armored Vehicle,Mahindra Defence,2008,24,Out of Service,18
EQ00124,SUP0112,Missile Launcher,Missile Launcher,BEL,2016,19,Operational,10
EQ00125,SUP0103,Truck,Truck,L&T Defence,2006,12,Maintenance,20
EQ00126,SUP0194,Communication System,Communication System,BEL,2016,26,Operational,10
EQ00127,SUP0021,Armored Vehicle,Armored Vehicle,BEL,2006,13,Operational,20
EQ00128,SUP0159,Missile Launcher,Missile Launcher,BEL,2024,18,Operational,2
EQ00129,SUP0280,Missile Launcher,Missile Launcher,Bharat Dynamics,2010,24,Out of Service,16
EQ00130,SUP0112,Communication System,Communication System,BEL,2007,25,Maintenance,19
EQ00131,SUP0217,Communication System,Communication System,Ashok Leyland Defence,2021,28,Operational,5
EQ00132,SUP0299,Truck,Truck,DRDO,2013,15,Operational,13
EQ00133,SUP0207,Missile Launcher,Missile Launcher,Bharat Dynamics,2008,15,Operational,18
EQ00134,SUP0266,Communication System,Communication System,Bharat Dynamics,2025,11,Maintenance,1
EQ00135,SUP0181,Communication System,Communication System,Ashok Leyland Defence,2007,26,Maintenance,19
EQ00136,SUP0152,Communication System,Communication System,Tata Advanced Systems,2009,30,Maintenance,17
EQ00137,SUP0143,Radar,Radar,Mahindra Defence,2017,28,Operational,9
EQ00138,SUP0034,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2019,22,Operational,7
EQ00139,SUP0283,Armored Vehicle,Armored Vehicle,DRDO,2014,22,Operational,12
EQ00140,SUP0164,Radar,Radar,L&T Defence,2024,17,Operational,2
EQ00141,SUP0091,Truck,Truck,BEL,2019,16,Operational,7
EQ00142,SUP0068,Tank,Tank,Ashok Leyland Defence,2012,10,Operational,14
EQ00143,SUP0228,Missile Launcher,Missile Launcher,Tata Advanced Systems,2021,26,Operational,5
EQ00144,SUP0089,Drone,Drone,Bharat Dynamics,2021,18,Operational,5
EQ00145,SUP0063,Radar,Radar,Tata Advanced Systems,2022,26,Operational,4
EQ00146,SUP0078,Generator,Generator,Ashok Leyland Defence,2017,29,Out of Service,9
EQ00147,SUP0003,Truck,Truck,BEL,2010,30,Operational,16
EQ00148,SUP0171,Tank,Tank,Ashok Leyland Defence,2010,30,Maintenance,16
EQ00149,SUP0075,Missile Launcher,Missile Launcher,Bharat Dynamics,2005,21,Operational,21
EQ00150,SUP0032,Truck,Truck,DRDO,2016,25,Operational,10
EQ00151,SUP0014,Drone,Drone,BEL,2021,17,Operational,5
EQ00152,SUP0110,Drone,Drone,DRDO,2008,16,Operational,18
EQ00153,SUP0118,Communication System,Communication System,Mahindra Defence,2012,16,Operational,14
EQ00154,SUP0029,Communication System,Communication System,HAL,2019,16,Operational,7
EQ00155,SUP0208,Drone,Drone,Bharat Dynamics,2012,10,Operational,14
EQ00156,SUP0251,Communication System,Communication System,Bharat Dynamics,2005,26,Operational,21
EQ00157,SUP0161,Radar,Radar,HAL,2024,26,Operational,2
EQ00158,SUP0046,Tank,Tank,Ashok Leyland Defence,2005,17,Operational,21
EQ00159,SUP0145,Radar,Radar,BEL,2024,22,Maintenance,2
EQ00160,SUP0175,Generator,Generator,HAL,2006,21,Maintenance,20
EQ00161,SUP0230,Truck,Truck,Bharat Dynamics,2020,19,Maintenance,6
EQ00162,SUP0046,Generator,Generator,DRDO,2013,12,Operational,13
EQ00163,SUP0149,Truck,Truck,Mahindra Defence,2005,14,Maintenance,21
EQ00164,SUP0298,Truck,Truck,BEL,2008,24,Maintenance,18
EQ00165,SUP0223,Armored Vehicle,Armored Vehicle,BEL,2023,20,Operational,3
EQ00166,SUP0204,Truck,Truck,DRDO,2007,17,Maintenance,19
EQ00167,SUP0131,Radar,Radar,DRDO,2016,10,Operational,10
EQ00168,SUP0078,Radar,Radar,Mahindra Defence,2016,14,Maintenance,10
EQ00169,SUP0122,Truck,Truck,DRDO,2021,26,Operational,5
EQ00170,SUP0180,Generator,Generator,BEL,2021,20,Operational,5
EQ00171,SUP0079,Armored Vehicle,Armored Vehicle,Mahindra Defence,2016,25,Operational,10
EQ00172,SUP0282,Truck,Truck,Bharat Dynamics,2005,15,Operational,21
EQ00173,SUP0271,Drone,Drone,HAL,2013,26,Operational,13
EQ00174,SUP0017,Tank,Tank,Mahindra Defence,2025,16,Operational,1
EQ00175,SUP0204,Missile Launcher,Missile Launcher,Mahindra Defence,2017,28,Operational,9
EQ00176,SUP0260,Truck,Truck,Tata Advanced Systems,2016,27,Operational,10
EQ00177,SUP0225,Missile Launcher,Missile Launcher,Bharat Dynamics,2025,28,Operational,1
EQ00178,SUP0288,Communication System,Communication System,L&T Defence,2017,29,Operational,9
EQ00179,SUP0258,Missile Launcher,Missile Launcher,L&T Defence,2015,26,Operational,11
EQ00180,SUP0267,Tank,Tank,BEL,2022,23,Operational,4
EQ00181,SUP0147,Tank,Tank,DRDO,2011,23,Operational,15
EQ00182,SUP0151,Tank,Tank,HAL,2024,12,Operational,2
EQ00183,SUP0057,Generator,Generator,HAL,2019,26,Maintenance,7
EQ00184,SUP0129,Communication System,Communication System,L&T Defence,2022,26,Operational,4
EQ00185,SUP0245,Tank,Tank,Tata Advanced Systems,2017,30,Operational,9
EQ00186,SUP0219,Drone,Drone,Ashok Leyland Defence,2024,15,Out of Service,2
EQ00187,SUP0268,Radar,Radar,Tata Advanced Systems,2019,21,Operational,7
EQ00188,SUP0240,Generator,Generator,BEL,2020,12,Maintenance,6
EQ00189,SUP0240,Armored Vehicle,Armored Vehicle,HAL,2015,19,Operational,11
EQ00190,SUP0211,Tank,Tank,DRDO,2019,24,Out of Service,7
EQ00191,SUP0193,Armored Vehicle,Armored Vehicle,Ashok Leyland Defence,2009,11,Operational,17
EQ00192,SUP0069,Armored Vehicle,Armored Vehicle,Tata Advanced Systems,2016,22,Operational,10
EQ00193,SUP0134,Generator,Generator,Tata Advanced Systems,2011,20,Operational,15
EQ00194,SUP0127,Drone,Drone,DRDO,2007,22,Out of Service,19
EQ00195,SUP0032,Drone,Drone,BEL,2013,25,Maintenance,13
EQ00196,SUP0114,Missile Launcher,Missile Launcher,HAL,2012,15,Operational,14
EQ00197,SUP0208,Communication System,Communication System,Mahindra Defence,2017,25,Operational,9
EQ00198,SUP0158,Tank,Tank,L&T Defence,2015,15,Out of Service,11
EQ00199,SUP0242,Truck,Truck,Bharat Dynamics,2024,13,Operational,2
EQ00200,SUP0164,Drone,Drone,HAL,2018,15,Operational,8
EQ00201,SUP0256,Truck,Truck,Bharat Dynamics,2011,23,Operational,15
EQ00202,SUP0082,Drone,Drone,BEL,2013,26,Out of Service,13
EQ00203,SUP0228,Generator,Generator,DRDO,2005,30,Operational,21
EQ00204,SUP0293,Missile Launcher,Missile Launcher,BEL,2008,16,Maintenance,18
EQ00205,SUP0138,Truck,Truck,Ashok Leyland Defence,2018,30,Operational,8
EQ00206,SUP0294,Missile Launcher,Missile Launcher,HAL,2006,21,Operational,20
EQ00207,SUP0027,Generator,Generator,L&T Defence,2006,27,Out of Service,20
EQ00208,SUP0152,Radar,Radar,HAL,2010,10,Operational,16
EQ00209,SUP0047,Armored Vehicle,Armored Vehicle,L&T Defence,2010,17,Operational,16
EQ00210,SUP0270,Missile Launcher,Missile Launcher,DRDO,2007,22,Operational,19
EQ00211,SUP0045,Truck,Truck,BEL,2016,23,Operational,10
EQ00212,SUP0066,Truck,Truck,HAL,2005,13,Operational,21
EQ00213,SUP0023,Missile Launcher,Missile Launcher,Tata Advanced Systems,2016,29,Operational,10
EQ00214,SUP0209,Armored Vehicle,Armored Vehicle,L&T Defence,2005,29,Operational,21
EQ00215,SUP0248,Missile Launcher,Missile Launcher,Ashok Leyland Defence,2022,26,Operational,4
EQ00216,SUP0171,Generator,Generator,HAL,2007,27,Operational,19
EQ00217,SUP0215,Truck,Truck,BEL,2024,13,Operational,2
EQ00218,SUP0275,Generator,Generator,Bharat Dynamics,2010,10,Operational,16
EQ00219,SUP0206,Drone,Drone,Tata Advanced Systems,2022,19,Operational,4
EQ00220,SUP0237,Missile Launcher,Missile Launcher,Bharat Dynamics,2017,11,Operational,9
EQ00221,SUP0259,Missile Launcher,Missile Launcher,BEL,2022,22,Operational,4
EQ00222,SUP0017,Truck,Truck,Mahindra Defence,2006,23,Maintenance,20
EQ00223,SUP0246,Communication System,Communication System,L&T Defence,2012,13,Operational,14
EQ00224,SUP0075,Missile Launcher,Missile Launcher,HAL,2023,28,Operational,3
EQ00225,SUP0265,Drone,Drone,BEL,2014,25,Operational,12
EQ00226,SUP0002,Communication System,Communication System,L&T Defence,2012,21,Operational,14
EQ00227,SUP0211,Missile Launcher,Missile Launcher,HAL,2015,25,Operational,11
EQ00228,SUP0267,Armored Vehicle,Armored Vehicle,HAL,2021,25,Maintenance,5
EQ00229,SUP0238,Armored Vehicle,Armored Vehicle,Ashok Leyland Defence,2014,10,Operational,12
EQ00230,SUP0148,Communication System,Communication System,DRDO,2008,21,Operational,18
EQ00231,SUP0016,Radar,Radar,Ashok Leyland Defence,2010,16,Operational,16
EQ00232,SUP0220,Armored Vehicle,Armored Vehicle,HAL,2011,30,Operational,15
EQ00233,SUP0056,Generator,Generator,Mahindra Defence,2025,27,Operational,1
EQ00234,SUP0039,Missile Launcher,Missile Launcher,Mahindra Defence,2019,17,Operational,7
EQ00235,SUP0207,Generator,Generator,DRDO,2017,28,Out of Service,9
EQ00236,SUP0180,Missile Launcher,Missile Launcher,Tata Advanced Systems,2005,18,Operational,21
EQ00237,SUP0056,Radar,Radar,BEL,2015,20,Operational,11
EQ00238,SUP0219,Truck,Truck,Mahindra Defence,2017,27,Operational,9
EQ00239,SUP0037,Radar,Radar,BEL,2009,24,Maintenance,17
EQ00240,SUP0184,Communication System,Communication System,DRDO,2014,11,Operational,12
EQ00241,SUP0042,Drone,Drone,Mahindra Defence,2010,14,Out of Service,16
EQ00242,SUP0119,Drone,Drone,Ashok Leyland Defence,2013,30,Operational,13
EQ00243,SUP0123,Radar,Radar,Bharat Dynamics,2012,22,Operational,14
EQ00244,SUP0290,Generator,Generator,Bharat Dynamics,2020,13,Operational,6
EQ00245,SUP0147,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2012,24,Operational,14
EQ00246,SUP0263,Communication System,Communication System,Mahindra Defence,2007,25,Operational,19
EQ00247,SUP0224,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2017,15,Operational,9
EQ00248,SUP0222,Missile Launcher,Missile Launcher,L&T Defence,2024,13,Operational,2
EQ00249,SUP0263,Missile Launcher,Missile Launcher,Ashok Leyland Defence,2009,21,Operational,17
EQ00250,SUP0269,Missile Launcher,Missile Launcher,HAL,2017,30,Out of Service,9
EQ00251,SUP0273,Drone,Drone,BEL,2024,16,Operational,2
EQ00252,SUP0196,Generator,Generator,HAL,2008,29,Operational,18
EQ00253,SUP0251,Tank,Tank,L&T Defence,2020,19,Operational,6
EQ00254,SUP0281,Generator,Generator,Mahindra Defence,2009,11,Operational,17
EQ00255,SUP0091,Generator,Generator,Tata Advanced Systems,2013,27,Operational,13
EQ00256,SUP0118,Truck,Truck,L&T Defence,2021,10,Operational,5
EQ00257,SUP0041,Generator,Generator,DRDO,2024,22,Operational,2
EQ00258,SUP0300,Communication System,Communication System,BEL,2010,16,Out of Service,16
EQ00259,SUP0130,Missile Launcher,Missile Launcher,Ashok Leyland Defence,2011,27,Operational,15
EQ00260,SUP0247,Drone,Drone,Bharat Dynamics,2010,13,Operational,16
EQ00261,SUP0220,Armored Vehicle,Armored Vehicle,Ashok Leyland Defence,2007,13,Operational,19
EQ00262,SUP0109,Missile Launcher,Missile Launcher,DRDO,2006,18,Maintenance,20
EQ00263,SUP0051,Drone,Drone,Ashok Leyland Defence,2006,23,Maintenance,20
EQ00264,SUP0008,Radar,Radar,L&T Defence,2022,16,Operational,4
EQ00265,SUP0105,Armored Vehicle,Armored Vehicle,DRDO,2024,18,Operational,2
EQ00266,SUP0029,Communication System,Communication System,BEL,2011,17,Out of Service,15
EQ00267,SUP0291,Tank,Tank,Ashok Leyland Defence,2024,30,Operational,2
EQ00268,SUP0070,Armored Vehicle,Armored Vehicle,Mahindra Defence,2020,14,Maintenance,6
EQ00269,SUP0045,Drone,Drone,L&T Defence,2014,25,Maintenance,12
EQ00270,SUP0234,Tank,Tank,Mahindra Defence,2019,27,Operational,7
EQ00271,SUP0209,Truck,Truck,Ashok Leyland Defence,2021,28,Operational,5
EQ00272,SUP0121,Drone,Drone,Mahindra Defence,2024,22,Operational,2
EQ00273,SUP0130,Drone,Drone,BEL,2005,26,Out of Service,21
EQ00274,SUP0111,Drone,Drone,Bharat Dynamics,2010,21,Operational,16
EQ00275,SUP0095,Radar,Radar,Tata Advanced Systems,2012,23,Operational,14
EQ00276,SUP0044,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2011,23,Operational,15
EQ00277,SUP0069,Tank,Tank,Tata Advanced Systems,2019,26,Operational,7
EQ00278,SUP0263,Missile Launcher,Missile Launcher,Ashok Leyland Defence,2015,11,Operational,11
EQ00279,SUP0009,Generator,Generator,Mahindra Defence,2017,13,Maintenance,9
EQ00280,SUP0087,Radar,Radar,Mahindra Defence,2015,14,Operational,11
EQ00281,SUP0058,Armored Vehicle,Armored Vehicle,BEL,2018,22,Maintenance,8
EQ00282,SUP0027,Missile Launcher,Missile Launcher,L&T Defence,2009,30,Out of Service,17
EQ00283,SUP0263,Communication System,Communication System,Ashok Leyland Defence,2012,30,Operational,14
EQ00284,SUP0248,Armored Vehicle,Armored Vehicle,DRDO,2013,11,Operational,13
EQ00285,SUP0041,Missile Launcher,Missile Launcher,DRDO,2014,21,Operational,12
EQ00286,SUP0143,Radar,Radar,HAL,2015,10,Operational,11
EQ00287,SUP0154,Tank,Tank,Mahindra Defence,2012,18,Operational,14
EQ00288,SUP0282,Communication System,Communication System,DRDO,2014,19,Operational,12
EQ00289,SUP0075,Truck,Truck,HAL,2018,22,Operational,8
EQ00290,SUP0270,Generator,Generator,L&T Defence,2010,27,Operational,16
EQ00291,SUP0139,Radar,Radar,BEL,2016,20,Operational,10
EQ00292,SUP0251,Missile Launcher,Missile Launcher,Tata Advanced Systems,2011,14,Out of Service,15
EQ00293,SUP0014,Missile Launcher,Missile Launcher,L&T Defence,2011,17,Operational,15
EQ00294,SUP0070,Armored Vehicle,Armored Vehicle,HAL,2015,20,Operational,11
EQ00295,SUP0193,Radar,Radar,Tata Advanced Systems,2015,22,Operational,11
EQ00296,SUP0206,Tank,Tank,DRDO,2025,11,Operational,1
EQ00297,SUP0158,Generator,Generator,DRDO,2010,17,Operational,16
EQ00298,SUP0103,Armored Vehicle,Armored Vehicle,DRDO,2024,25,Operational,2
EQ00299,SUP0009,Truck,Truck,L&T Defence,2020,11,Operational,6
EQ00300,SUP0148,Armored Vehicle,Armored Vehicle,HAL,2025,23,Operational,1
EQ00301,SUP0037,Radar,Radar,L&T Defence,2017,24,Operational,9
EQ00302,SUP0120,Missile Launcher,Missile Launcher,Tata Advanced Systems,2008,19,Operational,18
EQ00303,SUP0175,Truck,Truck,Mahindra Defence,2016,12,Operational,10
EQ00304,SUP0193,Communication System,Communication System,BEL,2010,21,Maintenance,16
EQ00305,SUP0173,Radar,Radar,Ashok Leyland Defence,2017,13,Operational,9
EQ00306,SUP0281,Generator,Generator,Mahindra Defence,2022,30,Operational,4
EQ00307,SUP0276,Drone,Drone,HAL,2014,21,Operational,12
EQ00308,SUP0134,Drone,Drone,Tata Advanced Systems,2020,27,Operational,6
EQ00309,SUP0241,Generator,Generator,Ashok Leyland Defence,2020,21,Operational,6
EQ00310,SUP0123,Drone,Drone,DRDO,2009,13,Operational,17
EQ00311,SUP0273,Truck,Truck,HAL,2013,25,Operational,13
EQ00312,SUP0146,Truck,Truck,DRDO,2011,17,Operational,15
EQ00313,SUP0167,Truck,Truck,Mahindra Defence,2012,29,Operational,14
EQ00314,SUP0275,Drone,Drone,Tata Advanced Systems,2023,27,Operational,3
EQ00315,SUP0225,Communication System,Communication System,DRDO,2019,30,Operational,7
EQ00316,SUP0299,Truck,Truck,DRDO,2011,29,Operational,15
EQ00317,SUP0023,Truck,Truck,L&T Defence,2006,14,Maintenance,20
EQ00318,SUP0012,Drone,Drone,Tata Advanced Systems,2022,19,Operational,4
EQ00319,SUP0147,Tank,Tank,Mahindra Defence,2022,14,Maintenance,4
EQ00320,SUP0044,Drone,Drone,Mahindra Defence,2008,21,Maintenance,18
EQ00321,SUP0205,Generator,Generator,Ashok Leyland Defence,2009,29,Operational,17
EQ00322,SUP0037,Tank,Tank,L&T Defence,2013,23,Operational,13
EQ00323,SUP0192,Radar,Radar,Mahindra Defence,2005,24,Maintenance,21
EQ00324,SUP0254,Communication System,Communication System,L&T Defence,2024,10,Operational,2
EQ00325,SUP0119,Armored Vehicle,Armored Vehicle,Tata Advanced Systems,2024,22,Maintenance,2
EQ00326,SUP0177,Truck,Truck,Ashok Leyland Defence,2019,19,Operational,7
EQ00327,SUP0286,Radar,Radar,Mahindra Defence,2014,25,Operational,12
EQ00328,SUP0083,Communication System,Communication System,Mahindra Defence,2020,30,Operational,6
EQ00329,SUP0289,Armored Vehicle,Armored Vehicle,Ashok Leyland Defence,2005,19,Maintenance,21
EQ00330,SUP0110,Radar,Radar,DRDO,2018,28,Operational,8
EQ00331,SUP0226,Armored Vehicle,Armored Vehicle,L&T Defence,2022,26,Operational,4
EQ00332,SUP0244,Radar,Radar,DRDO,2013,19,Operational,13
