Mission_ID,Mission_Date,Base_ID,Region,Mission_Type,Priority,Weather,Duration_Hours,Personnel_Deployed,Budget_INR,Mission_Status,Budget_Per_Person
MIS000072,2026-06-18,B022,Central,Equipment Transport,Medium,Snow,17,248,4714783.38,Completed,19011.22330645161
MIS000073,2026-10-24,B015,South,Equipment Transport,Medium,Clear,8,306,3056051.71,Completed,9987.097091503269
MIS000074,2025-07-14,B022,Central,Equipment Transport,Critical,Clear,55,152,268863.04,Completed,1768.8357894736841
MIS000075,2026-12-05,B024,East,Medical Support,High,Snow,43,313,1571554.8,Completed,5020.941853035144
MIS000076,2025-01-17,B013,South,Reconnaissance,High,Fog,38,79,2176448.77,Completed,27549.984430379747
MIS000077,2025-08-30,B005,East,Medical Support,Medium,Snow,4,314,1012797.41,Completed,3225.4694585987263
MIS000078,2026-11-16,B011,Central,Medical Support,Low,Clear,53,242,2852209.28,Completed,11785.988760330578
MIS000079,2025-08-18,B030,East,Medical Support,High,Storm,56,52,714787.15,Delayed,13745.906730769231
MIS000080,2025-03-06,B004,East,Equipment Transport,Medium,Fog,40,300,1163079.61,Completed,3876.9320333333335
MIS000081,2025-04-13,B003,East,Supply Delivery,High,Clear,6,233,3067621.53,Completed,13165.757639484978
MIS000082,2025-06-30,B024,East,Supply Delivery,Medium,Storm,50,107,549337.3,Delayed,5133.993457943926
MIS000083,2025-05-26,B004,East,Reconnaissance,Low,Fog,13,84,1441686.27,Completed,17162.931785714285
MIS000084,2025-02-14,B018,East,Reconnaissance,Low,Rain,29,305,3122923.38,Completed,10239.093049180328
MIS000085,2026-09-16,B014,Central,Training Exercise,High,Storm,55,213,3040612.01,Delayed,14275.173755868544
MIS000086,2025-02-05,B001,Central,Border Patrol,Low,Rain,29,126,3393800.55,Completed,26934.925
MIS000087,2025-09-06,B002,North,Supply Delivery,Medium,Snow,66,54,2816837.28,Completed,52163.65333333333
MIS000088,2025-02-09,B008,East,Surveillance,Low,Storm,24,351,4528035.82,Completed,12900.386951566952
MIS000089,2025-02-19,B005,East,Supply Delivery,Medium,Snow,35,235,395062.77,Completed,1681.118170212766
MIS000090,2026-06-22,B027,West,Disaster Relief,Medium,Fog,16,128,4873441.51,Completed,38073.761796875
MIS000091,2025-05-18,B026,South,Disaster Relief,High,Fog,33,110,1872896.21,Completed,17026.329181818182
MIS000092,2026-12-09,B014,Central,Supply Delivery,High,Fog,9,348,4540484.26,Completed,13047.36856321839
MIS000093,2025-06-17,B005,East,Surveillance,Medium,Snow,58,135,3110719.87,Delayed,23042.36940740741
MIS000094,2025-02-10,B028,West,Equipment Transport,High,Clear,18,218,4937110.5,Completed,22647.295871559632
MIS000095,2026-10-21,B015,South,Reconnaissance,High,Clear,4,338,4924138.35,Completed,14568.456656804732
MIS000096,2025-06-24,B017,East,Surveillance,Medium,Fog,37,369,1344285.89,Completed,3643.0511924119237
MIS000097,2025-04-04,B023,North,Surveillance,Medium,Rain,30,116,2791275.45,Delayed,24062.719396551725
MIS000098,2025-02-02,B008,East,Disaster Relief,Medium,Storm,53,232,4487351.95,Completed,19342.03426724138
MIS000099,2025-03-04,B005,East,Surveillance,Medium,Clear,34,145,4204763.5,Completed,28998.368965517242
MIS000100,2026-03-27,B021,South,Border Patrol,High,Storm,15,323,2806022.89,Cancelled,8687.377368421054
MIS000101,2026-07-27,B004,East,Supply Delivery,Critical,Storm,16,93,2691307.06,Completed,28938.78559139785
MIS000102,2025-01-05,B003,East,Supply Delivery,Medium,Clear,60,356,1666818.06,Completed,4682.073202247191
MIS000103,2025-03-15,B016,West,Border Patrol,High,Storm,30,290,2880404.56,Completed,9932.42951724138
MIS000104,2025-07-15,B018,East,Equipment Transport,Low,Clear,23,147,4132644.03,Completed,28113.22469387755
MIS000105,2025-08-19,B024,East,Supply Delivery,High,Storm,11,38,2570445.39,Delayed,67643.2997368421
MIS000106,2026-02-04,B013,South,Border Patrol,High,Snow,9,105,1371932.75,Completed,13066.02619047619
MIS000107,2025-07-11,B018,East,Reconnaissance,High,Rain,39,271,693586.42,Completed,2559.359483394834
MIS000108,2025-04-08,B018,East,Equipment Transport,Medium,Rain,72,231,4083587.7,Delayed,17677.86883116883
MIS000109,2025-04-04,B023,North,Medical Support,High,Rain,66,282,725570.01,Completed,2572.9432978723403
MIS000110,2026-05-12,B014,Central,Surveillance,High,Snow,28,218,2736926.48,Delayed,12554.70862385321
MIS000111,2026-12-06,B015,South,Supply Delivery,Low,Snow,66,368,2288039.97,Cancelled,6217.499918478262
MIS000112,2026-06-04,B016,West,Surveillance,Medium,Rain,53,365,4828653.97,Completed,13229.18895890411
MIS000113,2026-08-06,B019,Central,Training Exercise,High,Storm,60,390,2428302.38,Completed,6226.416358974358
MIS000114,2025-06-26,B014,Central,Disaster Relief,Medium,Storm,52,212,1901836.58,Completed,8970.927264150943
MIS000115,2025-09-19,B020,East,Border Patrol,Medium,Snow,46,241,164554.99,Completed,682.8007883817427
MIS000116,2026-12-23,B005,East,Supply Delivery,Medium,Snow,44,95,2979807.06,Delayed,31366.39010526316
MIS000117,2025-05-14,B004,East,Training Exercise,Critical,Clear,33,381,4728089.85,Cancelled,12409.684645669291
MIS000118,2025-09-05,B023,North,Reconnaissance,Low,Rain,52,103,2314140.66,Completed,22467.385048543692
MIS000119,2026-05-29,B019,Central,Training Exercise,Medium,Snow,33,287,3690877.06,Completed,12860.19881533101
MIS000120,2025-02-09,B009,South,Disaster Relief,High,Storm,5,264,3809405.88,Completed,14429.567727272726
MIS000121,2025-12-08,B014,Central,Reconnaissance,Medium,Fog,42,235,4780362.72,Completed,20341.969021276596
MIS000122,2025-01-17,B020,East,Disaster Relief,Medium,Rain,61,384,759329.83,Delayed,1977.4214322916666
MIS000123,2026-10-21,B020,East,Reconnaissance,Medium,Fog,52,87,338669.15,Completed,3892.748850574713
MIS000124,2026-02-16,B017,East,Reconnaissance,Critical,Rain,63,114,4453994.85,Completed,39070.130263157895
MIS000125,2026-06-02,B023,North,Border Patrol,Medium,Snow,48,237,3493783.18,Completed,14741.7011814346
MIS000126,2026-03-24,B005,East,Equipment Transport,High,Storm,36,187,4905578.73,Completed,26233.041336898397
MIS000127,2025-04-06,B009,South,Disaster Relief,Medium,Clear,28,134,2837210.12,Completed,21173.20985074627
MIS000128,2025-09-04,B017,East,Surveillance,High,Clear,16,205,4540162.52,Completed,22147.134243902437
MIS000129,2026-06-21,B005,East,Supply Delivery,Medium,Clear,11,302,3207740.62,Completed,10621.657682119205
MIS000130,2025-05-02,B028,West,Training Exercise,Medium,Clear,62,234,1956388.24,Completed,8360.633504273505
MIS000131,2025-01-03,B025,West,Training Exercise,Medium,Snow,9,364,2228547.27,Cancelled,6122.38260989011
MIS000132,2025-04-11,B024,East,Disaster Relief,High,Rain,60,64,1974363.35,Completed,30849.42734375
MIS000133,2025-04-07,B030,East,Equipment Transport,High,Storm,59,134,577471.12,Cancelled,4309.485970149253
MIS000134,2026-11-01,B024,East,Surveillance,Medium,Clear,45,50,643075.64,Completed,12861.5128
MIS000135,2025-08-12,B023,North,Disaster Relief,Low,Fog,8,202,3701207.7,Completed,18322.810396039604
MIS000136,2026-03-06,B028,West,Medical Support,High,Fog,36,85,1477625.52,Completed,17383.829647058825
MIS000137,2025-12-29,B017,East,Border Patrol,Low,Storm,26,133,3411519.87,Completed,25650.525338345866
MIS000138,2026-06-06,B016,West,Surveillance,Medium,Fog,39,295,3206120.97,Completed,10868.206677966102
MIS000139,2025-06-30,B010,North,Reconnaissance,Low,Fog,19,301,189517.9,Completed,629.6275747508305
MIS000140,2026-07-01,B030,East,Disaster Relief,High,Fog,18,174,2977515.33,Completed,17112.157068965516
MIS000141,2025-09-23,B022,Central,Training Exercise,Medium,Clear,41,72,4004881.07,Completed,55623.34819444444
MIS000142,2026-10-27,B007,Central,Border Patrol,High,Clear,57,133,101138.71,Delayed,760.4414285714287
MIS000143,2026-10-01,B027,West,Supply Delivery,High,Fog,50,75,4283104.96,Completed,57108.066133333334
MIS000144,2025-04-10,B006,West,Equipment Transport,Medium,Fog,29,331,3054914.09,Completed,9229.347703927491
MIS000145,2025-12-19,B021,South,Supply Delivery,High,Fog,12,232,894474.3,Completed,3855.492672413793
MIS000146,2025-05-14,B023,North,Training Exercise,Critical,Fog,57,336,3505256.09,Completed,10432.309791666667
MIS000147,2026-12-25,B010,North,Equipment Transport,Medium,Rain,44,394,3791502.82,Delayed,9623.103604060912
MIS000148,2026-03-12,B013,South,Border Patrol,Medium,Rain,65,346,975662.69,Completed,2819.8343641618494
MIS000149,2026-09-07,B028,West,Disaster Relief,Low,Storm,33,202,3104538.41,Completed,15369.002029702971
MIS000150,2025-12-11,B011,Central,Training Exercise,Critical,Rain,47,59,4285374.4,Completed,72633.46440677966
MIS000151,2025-07-25,B024,East,Training Exercise,Low,Clear,41,330,653465.31,Completed,1980.1979090909092
MIS000152,2025-06-26,B008,East,Border Patrol,High,Fog,48,298,1279891.02,Completed,4294.936308724832
MIS000153,2026-08-24,B002,North,Disaster Relief,Low,Clear,9,93,1921172.34,Completed,20657.767096774194
MIS000154,2026-03-07,B003,East,Equipment Transport,Critical,Rain,61,96,3787378.62,Delayed,39451.860625
MIS000155,2025-07-21,B022,Central,Equipment Transport,Critical,Snow,31,389,463592.95,Completed,1191.7556555269923
MIS000156,2025-03-28,B011,Central,Surveillance,Critical,Rain,20,149,3424261.78,Completed,22981.622684563758
MIS000157,2025-07-13,B021,South,Supply Delivery,High,Fog,55,301,282071.86,Completed,937.1158139534883
MIS000158,2025-01-10,B015,South,Supply Delivery,High,Storm,15,164,978235.3,Completed,5964.849390243903
MIS000159,2026-05-27,B011,Central,Supply Delivery,High,Clear,63,205,2686131.88,Completed,13103.082341463414
MIS000160,2026-01-20,B013,South,Border Patrol,Medium,Rain,62,306,1663881.16,Completed,5437.520130718954
MIS000161,2026-06-23,B019,Central,Surveillance,High,Clear,23,276,2079334.26,Completed,7533.819782608695
MIS000162,2026-01-11,B020,East,Supply Delivery,Critical,Fog,21,103,2600821.92,Delayed,25250.698252427184
MIS000163,2025-08-30,B016,West,Surveillance,Medium,Fog,52,61,1234739.28,Completed,20241.627540983605
MIS000164,2026-05-12,B016,West,Supply Delivery,High,Snow,13,224,2878810.42,Delayed,12851.832232142857
MIS000165,2025-08-26,B022,Central,Surveillance,Medium,Storm,56,380,340785.79,Completed,896.8047105263157
MIS000166,2026-04-13,B016,West,Training Exercise,Critical,Clear,59,281,1885173.81,Completed,6708.80359430605
MIS000167,2026-02-08,B007,Central,Supply Delivery,High,Fog,51,385,3963479.88,Completed,10294.752935064935
MIS000168,2026-12-04,B014,Central,Surveillance,Medium,Rain,45,272,3587842.78,Completed,13190.598455882353
MIS000169,2026-09-16,B025,West,Equipment Transport,Low,Storm,60,155,200111.82,Delayed,1291.044
MIS000170,2026-07-26,B010,North,Supply Delivery,Medium,Snow,33,270,3554924.7,Completed,13166.387777777778
MIS000171,2025-07-22,B006,West,Surveillance,Medium,Storm,61,342,988369.32,Completed,2889.9687719298245
MIS000172,2025-01-01,B013,South,Medical Support,High,Rain,41,93,3592689.43,Completed,38631.06913978495
MIS000173,2026-04-30,B011,Central,Reconnaissance,High,Storm,27,298,990354.68,Delayed,3323.3378523489932
MIS000174,2026-07-21,B001,Central,Equipment Transport,Critical,Storm,47,386,4759535.37,Delayed,12330.402512953367
MIS000175,2026-12-14,B003,East,Medical Support,Critical,Snow,51,140,3624559.81,Delayed,25889.71292857143
MIS000176,2025-02-24,B010,North,Disaster Relief,Medium,Rain,32,325,3639391.71,Completed,11198.128338461538
MIS000177,2025-12-05,B024,East,Supply Delivery,Low,Storm,69,262,3998930.7,Completed,15263.09427480916
MIS000178,2026-09-06,B020,East,Reconnaissance,Critical,Clear,22,257,3575385.56,Completed,13912.006070038911
MIS000179,2025-12-16,B001,Central,Reconnaissance,Low,Clear,32,350,1910200.82,Completed,5457.716628571428
MIS000180,2025-12-09,B022,Central,Training Exercise,Medium,Storm,48,223,1990728.44,Completed,8927.0333632287
MIS000181,2026-08-28,B026,South,Disaster Relief,High,Clear,65,93,2544609.43,Cancelled,27361.39172043011
MIS000182,2025-05-18,B023,North,Border Patrol,Critical,Storm,28,87,2276855.06,Completed,26170.747816091956
MIS000183,2026-09-17,B005,East,Reconnaissance,Medium,Rain,68,45,3090987.05,Delayed,68688.6011111111
MIS000184,2025-04-03,B019,Central,Medical Support,Medium,Clear,31,274,4650723.94,Completed,16973.445036496352
MIS000185,2025-08-17,B020,East,Disaster Relief,Low,Snow,4,271,3947552.9,Completed,14566.61586715867
MIS000186,2026-11-27,B021,South,Training Exercise,Medium,Rain,28,162,2854089.39,Delayed,17617.835740740742
MIS000187,2025-07-24,B016,West,Medical Support,Critical,Rain,33,231,1526367.52,Completed,6607.651601731602
MIS000188,2026-01-07,B007,Central,Supply Delivery,High,Rain,49,338,4035585.61,Delayed,11939.602396449704
MIS000189,2025-05-15,B010,North,Equipment Transport,High,Storm,57,108,4038396.95,Delayed,37392.564351851855
MIS000190,2025-04-24,B023,North,Reconnaissance,Low,Storm,23,83,2723357.78,Completed,32811.539518072284
MIS000191,2025-01-17,B017,East,Equipment Transport,Medium,Clear,46,352,4743703.66,Completed,13476.430852272728
MIS000192,2026-08-22,B021,South,Surveillance,Medium,Rain,71,329,513156.68,Completed,1559.7467477203647
MIS000193,2025-10-05,B004,East,Reconnaissance,High,Snow,31,373,1844598.81,Completed,4945.305120643432
MIS000194,2025-11-11,B005,East,Equipment Transport,Low,Clear,29,326,3453332.49,Completed,10593.04444785276
MIS000195,2025-05-08,B005,East,Surveillance,Medium,Clear,5,269,3887205.63,Delayed,14450.578550185874
MIS000196,2026-02-12,B001,Central,Disaster Relief,Low,Storm,22,83,830677.89,Completed,10008.16734939759
MIS000197,2025-03-19,B023,North,Reconnaissance,Medium,Fog,21,217,696791.52,Completed,3211.0208294930876
MIS000198,2025-05-20,B019,Central,Reconnaissance,Critical,Snow,38,168,2286183.75,Completed,13608.236607142857
MIS000199,2026-02-20,B008,East,Medical Support,Critical,Storm,12,189,2144640.37,Delayed,11347.303544973545
MIS000200,2026-03-06,B001,Central,Border Patrol,Critical,Clear,25,144,1686806.9,Delayed,11713.936805555555
MIS000201,2026-07-12,B022,Central,Supply Delivery,Medium,Storm,65,207,1666059.11,Completed,8048.594734299518
MIS000202,2025-10-20,B028,West,Medical Support,Low,Clear,62,288,1840017.08,Completed,6388.948194444445
MIS000203,2025-08-19,B022,Central,Supply Delivery,Low,Clear,41,278,3475842.28,Completed,12503.02978417266
MIS000204,2025-10-14,B001,Central,Reconnaissance,Low,Fog,59,45,2492827.99,Completed,55396.17755555556
MIS000205,2026-09-23,B005,East,Supply Delivery,Medium,Fog,4,175,3616832.82,Completed,20667.616114285713
MIS000206,2025-01-01,B010,North,Surveillance,Medium,Fog,13,347,1513925.43,Completed,4362.897492795389
MIS000207,2026-06-12,B014,Central,Surveillance,High,Clear,54,258,3798128.41,Completed,14721.427945736436
MIS000208,2026-02-09,B025,West,Reconnaissance,Critical,Snow,52,394,4070432.54,Completed,10331.047055837564
MIS000209,2026-01-26,B027,West,Training Exercise,Critical,Clear,6,125,1625806.31,Completed,13006.450480000001
MIS000210,2025-03-21,B023,North,Medical Support,Medium,Storm,69,390,4487989.3,Completed,11507.664871794872
MIS000211,2025-08-08,B020,East,Disaster Relief,Medium,Fog,13,63,3577861.61,Completed,56791.45412698413
MIS000212,2026-07-20,B002,North,Border Patrol,High,Rain,31,118,3344615.55,Completed,28344.199576271185
MIS000213,2026-05-21,B020,East,Reconnaissance,High,Snow,12,170,3361858.08,Completed,19775.635764705883
MIS000214,2025-04-07,B027,West,Supply Delivery,Medium,Snow,39,269,4660395.57,Completed,17324.89059479554
MIS000215,2025-04-09,B010,North,Disaster Relief,High,Rain,67,48,597286.24,Completed,12443.463333333333
MIS000216,2025-12-24,B008,East,Reconnaissance,Medium,Clear,70,384,2447093.39,Completed,6372.639036458334
MIS000217,2026-10-26,B016,West,Disaster Relief,Medium,Snow,71,136,2484466.46,Completed,18268.135735294116
MIS000218,2025-06-04,B012,South,Training Exercise,Medium,Storm,72,126,1567418.18,Delayed,12439.826825396825
MIS000219,2025-06-25,B018,East,Disaster Relief,Medium,Fog,23,160,816810.56,Completed,5105.066000000001
MIS000220,2025-08-20,B003,East,Disaster Relief,High,Snow,18,240,4853070.65,Delayed,20221.127708333333
MIS000221,2026-11-10,B011,Central,Reconnaissance,High,Clear,71,101,1781993.25,Delayed,17643.497524752474
MIS000222,2025-04-26,B010,North,Medical Support,High,Storm,65,265,1894994.3,Delayed,7150.921886792453
MIS000223,2026-10-31,B027,West,Medical Support,High,Rain,35,67,3985462.47,Completed,59484.51447761194
MIS000224,2026-11-19,B005,East,Supply Delivery,Medium,Clear,15,149,4992773.47,Completed,33508.54677852349
MIS000225,2025-12-16,B015,South,Supply Delivery,High,Fog,60,256,4848943.88,Completed,18941.18703125
MIS000226,2026-05-09,B029,South,Reconnaissance,Medium,Fog,36,396,691245.77,Cancelled,1745.5701262626262
MIS000227,2026-12-04,B011,Central,Training Exercise,High,Rain,58,271,737009.28,Completed,2719.591439114391
MIS000228,2026-01-16,B021,South,Supply Delivery,Medium,Clear,63,99,3686787.02,Completed,37240.27292929293
MIS000229,2025-04-15,B005,East,Medical Support,Critical,Fog,41,139,4223298.23,Completed,30383.440503597125
MIS000230,2026-09-13,B008,East,Supply Delivery,Medium,Snow,49,288,2693276.44,Completed,9351.654305555556
MIS000231,2026-10-24,B030,East,Supply Delivery,Medium,Storm,22,220,2850190.97,Completed,12955.4135
MIS000232,2025-02-08,B025,West,Reconnaissance,Critical,Snow,49,54,1360765.81,Delayed,25199.366851851853
MIS000233,2025-07-29,B024,East,Reconnaissance,Medium,Clear,34,232,4406357.61,Completed,18992.920732758623
MIS000234,2025-10-25,B001,Central,Equipment Transport,Low,Fog,17,209,4993123.68,Completed,23890.543923444973
MIS000235,2025-03-27,B007,Central,Border Patrol,High,Rain,32,208,2618066.18,Cancelled,12586.856634615386
MIS000236,2026-06-05,B008,East,Border Patrol,Medium,Clear,62,400,3885816.04,Completed,9714.5401
MIS000237,2026-01-29,B012,South,Equipment Transport,Medium,Clear,38,399,4352753.15,Cancelled,10909.155764411029
MIS000238,2026-07-01,B029,South,Surveillance,Critical,Storm,10,225,581308.19,Completed,2583.591955555555
MIS000239,2025-06-20,B026,South,Disaster Relief,High,Snow,53,259,2402402.31,Completed,9275.684594594595
MIS000240,2026-04-25,B002,North,Equipment Transport,Medium,Fog,12,31,1373525.91,Completed,44307.287419354834
MIS000241,2026-08-05,B025,West,Disaster Relief,High,Storm,26,91,835670.47,Delayed,9183.191978021978
MIS000242,2025-10-20,B005,East,Medical Support,Medium,Fog,51,382,3777596.93,Delayed,9888.99719895288
MIS000243,2026-08-27,B022,Central,Reconnaissance,High,Snow,35,342,3045000.46,Delayed,8903.510116959063
MIS000244,2026-10-06,B002,North,Disaster Relief,Medium,Storm,60,298,3862500.09,Delayed,12961.409697986577
MIS000245,2025-12-22,B014,Central,Reconnaissance,Medium,Snow,40,276,1516331.72,Completed,5493.955507246376
MIS000246,2026-07-19,B020,East,Training Exercise,Medium,Fog,34,132,2556210.07,Completed,19365.227803030302
MIS000247,2025-07-20,B018,East,Border Patrol,Medium,Clear,45,269,3004151.9,Completed,11167.850929368029
MIS000248,2025-08-26,B028,West,Equipment Transport,High,Clear,66,281,3162509.5,Completed,11254.482206405693
MIS000249,2026-09-25,B022,Central,Supply Delivery,Medium,Rain,5,214,3314699.85,Delayed,15489.25163551402
MIS000250,2025-09-18,B010,North,Supply Delivery,Critical,Snow,47,110,4416251.58,Completed,40147.74163636364
MIS000251,2025-05-06,B003,East,Supply Delivery,High,Clear,59,169,4120240.85,Completed,24380.123372781065
MIS000252,2026-02-17,B003,East,Reconnaissance,Medium,Clear,34,395,941541.18,Delayed,2383.6485569620254
