Maintenance_ID,Equipment_ID,Base_ID,Maintenance_Date,Maintenance_Type,Downtime_Days,Maintenance_Cost_INR,Technician_Team,Failure
M000055,EQ00337,B015,2025-07-05,Inspection,4,191419.3,Team Charlie,No
M000056,EQ00960,B002,2026-10-31,Preventive,0,0.0,Team Bravo,No
M000057,EQ02071,B026,2025-11-24,Preventive,8,352414.22,Team Delta,Yes
M000058,EQ02377,B016,2026-04-16,Corrective,0,0.0,Team Alpha,No
M000059,EQ00815,B008,2026-07-11,Inspection,5,139742.1,Team Echo,No
M000060,EQ02113,B015,2025-06-30,Preventive,8,270255.33,Team Echo,Yes
M000061,EQ04322,B016,2026-07-12,Emergency,4,159515.06,Team Delta,No
M000062,EQ04368,B012,2025-04-22,Preventive,3,96950.25,Team Bravo,No
M000063,EQ04291,B020,2025-07-15,Preventive,4,199668.82,Team Delta,No
M000064,EQ03623,B025,2025-06-15,Emergency,9,413138.46,Team Charlie,Yes
M000065,EQ01823,B015,2025-02-17,Emergency,5,110974.39,Team Delta,No
M000066,EQ00731,B007,2025-06-16,Preventive,4,109046.67,Team Echo,No
M000067,EQ02380,B015,2025-07-11,Emergency,4,197060.2,Team Charlie,No
M000068,EQ04440,B020,2026-07-02,Preventive,6,287140.9,Team Alpha,No
M000069,EQ03507,B008,2026-03-27,Corrective,7,155538.68,Team Echo,No
M000070,EQ04066,B004,2026-10-01,Preventive,1,30035.4,Team Alpha,No
M000071,EQ04054,B020,2025-06-25,Preventive,6,271231.54,Team Alpha,No
M000072,EQ00915,B015,2026-07-28,Preventive,14,394148.28,Team Charlie,Yes
M000073,EQ02900,B013,2026-02-26,Preventive,2,70846.51,Team Alpha,No
M000074,EQ04151,B026,2026-11-30,Preventive,0,0.0,Team Delta,No
M000075,EQ04903,B025,2025-06-21,Preventive,4,132262.77,Team Bravo,No
M000076,EQ01335,B017,2026-10-18,Preventive,4,92037.92,Team Bravo,No
M000077,EQ03268,B025,2025-04-15,Preventive,5,202045.77,Team Echo,No
M000078,EQ04033,B015,2025-06-03,Corrective,1,25812.09,Team Bravo,No
M000079,EQ00346,B027,2026-06-14,Emergency,2,50319.97,Team Charlie,No
M000080,EQ03796,B010,2025-04-12,Inspection,2,64982.93,Team Alpha,No
M000081,EQ00362,B024,2025-03-26,Corrective,1,42297.47,Team Charlie,No
M000082,EQ01738,B001,2026-06-19,Emergency,6,162309.12,Team Echo,No
M000083,EQ00976,B009,2025-03-31,Preventive,9,155950.43,Team Charlie,Yes
M000084,EQ03233,B018,2026-07-30,Emergency,12,260089.35,Team Charlie,Yes
M000085,EQ00760,B017,2026-05-10,Emergency,5,158808.87,Team Charlie,No
M000086,EQ00884,B006,2026-12-03,Inspection,20,774583.84,Team Delta,Yes
M000087,EQ00262,B014,2025-09-04,Corrective,11,277781.6,Team Bravo,Yes
M000088,EQ00038,B002,2026-06-27,Inspection,3,119062.67,Team Bravo,No
M000089,EQ00701,B002,2025-03-02,Inspection,11,358266.02,Team Alpha,Yes
M000090,EQ01347,B015,2026-07-29,Emergency,3,103899.25,Team Charlie,No
M000091,EQ03849,B019,2026-10-06,Emergency,4,170411.31,Team Alpha,No
M000092,EQ02732,B017,2025-05-31,Emergency,2,85903.41,Team Bravo,No
M000093,EQ00658,B011,2026-08-23,Corrective,0,0.0,Team Delta,No
M000094,EQ04963,B030,2026-11-02,Preventive,4,114204.67,Team Alpha,No
M000095,EQ01056,B021,2026-01-13,Inspection,14,477552.56,Team Echo,Yes
M000096,EQ03132,B028,2025-10-16,Emergency,2,71777.89,Team Echo,No
M000097,EQ01396,B020,2026-12-18,Inspection,3,147552.63,Team Charlie,No
M000098,EQ03055,B027,2025-03-31,Emergency,15,342344.07,Team Bravo,Yes
M000099,EQ01886,B015,2025-03-22,Corrective,2,86228.15,Team Charlie,No
M000100,EQ01299,B001,2026-11-07,Preventive,0,0.0,Team Echo,No
M000101,EQ03036,B014,2025-10-09,Emergency,13,377232.88,Team Bravo,Yes
M000102,EQ02585,B010,2025-04-18,Corrective,3,130789.66,Team Delta,No
M000103,EQ00291,B020,2025-01-30,Inspection,18,378568.66,Team Bravo,Yes
M000104,EQ03785,B023,2025-09-26,Inspection,11,372715.12,Team Alpha,Yes
M000105,EQ03823,B010,2026-09-27,Corrective,1,36131.13,Team Bravo,No
M000106,EQ04623,B020,2026-11-17,Emergency,1,36572.16,Team Delta,No
M000107,EQ00486,B005,2025-05-03,Preventive,10,271109.1,Team Delta,Yes
M000108,EQ02267,B003,2025-10-14,Inspection,4,64064.14,Team Echo,No
M000109,EQ00687,B005,2026-03-14,Preventive,19,543273.03,Team Charlie,Yes
M000110,EQ04694,B022,2026-06-30,Preventive,8,125498.82,Team Alpha,Yes
M000111,EQ00902,B010,2025-08-27,Preventive,7,252320.6,Team Alpha,No
M000112,EQ00196,B009,2025-01-08,Preventive,2,55760.91,Team Charlie,No
M000113,EQ03574,B005,2025-12-13,Inspection,2,43178.64,Team Echo,No
M000114,EQ04308,B011,2025-08-03,Corrective,4,80088.61,Team Delta,No
M000115,EQ03983,B025,2026-11-11,Corrective,18,273088.57,Team Echo,Yes
M000116,EQ02229,B004,2025-01-26,Emergency,1,21310.67,Team Delta,No
M000117,EQ00011,B016,2026-06-20,Inspection,0,0.0,Team Bravo,No
M000118,EQ04683,B003,2026-08-15,Emergency,6,240939.45,Team Delta,No
M000119,EQ02883,B014,2025-05-13,Preventive,2,54158.96,Team Bravo,No
M000120,EQ01946,B012,2025-08-02,Emergency,20,666074.37,Team Bravo,Yes
M000121,EQ03255,B001,2025-12-25,Inspection,7,209426.24,Team Bravo,No
M000122,EQ03537,B025,2026-08-03,Preventive,5,75111.39,Team Delta,No
M000123,EQ02489,B006,2026-02-20,Emergency,3,130916.52,Team Delta,No
M000124,EQ00555,B013,2026-07-12,Emergency,4,161559.66,Team Delta,No
M000125,EQ04107,B028,2025-09-17,Preventive,3,45841.75,Team Bravo,No
M000126,EQ00344,B025,2026-04-22,Corrective,2,45717.53,Team Bravo,No
M000127,EQ03037,B016,2025-07-24,Corrective,1,46377.59,Team Bravo,No
M000128,EQ01061,B022,2026-08-12,Inspection,6,199553.56,Team Delta,No
M000129,EQ00563,B022,2026-05-22,Inspection,4,67227.02,Team Echo,No
M000130,EQ04725,B014,2026-10-25,Emergency,4,143714.85,Team Echo,No
M000131,EQ00066,B024,2025-01-02,Emergency,20,843387.24,Team Echo,Yes
M000132,EQ02355,B025,2025-09-22,Corrective,13,573956.23,Team Alpha,Yes
M000133,EQ01899,B022,2026-11-09,Corrective,2,80611.12,Team Echo,No
M000134,EQ02634,B021,2025-12-11,Preventive,3,93678.31,Team Delta,No
M000135,EQ03998,B028,2026-04-07,Inspection,3,129007.21,Team Delta,No
M000136,EQ03619,B017,2025-12-25,Corrective,3,81653.53,Team Charlie,No
M000137,EQ00950,B011,2025-04-01,Inspection,0,0.0,Team Echo,No
M000138,EQ01961,B008,2026-07-15,Preventive,7,225300.32,Team Alpha,No
M000139,EQ02080,B024,2026-12-11,Inspection,3,123935.32,Team Echo,No
M000140,EQ00014,B013,2026-12-25,Inspection,18,617775.39,Team Bravo,Yes
M000141,EQ04097,B030,2025-01-29,Inspection,10,296642.81,Team Alpha,Yes
M000142,EQ03742,B005,2025-02-25,Emergency,2,34563.9,Team Delta,No
M000143,EQ01493,B013,2025-12-30,Preventive,6,169409.57,Team Delta,No
M000144,EQ04269,B027,2026-06-03,Preventive,8,241139.99,Team Delta,Yes
M000145,EQ01451,B011,2025-08-21,Inspection,9,334251.3,Team Bravo,Yes
M000146,EQ00276,B016,2025-04-10,Inspection,4,189517.58,Team Charlie,No
M000147,EQ02801,B010,2026-05-11,Inspection,7,171018.61,Team Bravo,No
M000148,EQ01570,B008,2025-09-19,Preventive,18,797927.67,Team Charlie,Yes
M000149,EQ00170,B007,2025-10-25,Corrective,17,438420.77,Team Alpha,Yes
M000150,EQ04517,B005,2026-07-29,Preventive,6,248149.13,Team Alpha,No
M000151,EQ04551,B013,2026-08-20,Preventive,15,401696.47,Team Alpha,Yes
M000152,EQ04517,B017,2025-05-31,Preventive,3,123404.18,Team Alpha,No
M000153,EQ04033,B026,2025-02-26,Emergency,0,0.0,Team Delta,No
M000154,EQ00701,B026,2025-06-03,Corrective,17,443111.89,Team Delta,Yes
M000155,EQ02809,B017,2026-04-02,Preventive,2,85363.19,Team Delta,No
M000156,EQ01551,B023,2025-08-23,Inspection,10,282880.68,Team Bravo,Yes
M000157,EQ03636,B025,2025-06-11,Corrective,2,55074.82,Team Echo,No
M000158,EQ04455,B006,2025-11-26,Inspection,2,67260.13,Team Charlie,No
M000159,EQ00683,B012,2025-10-26,Preventive,13,404622.96,Team Charlie,Yes
M000160,EQ02468,B025,2026-09-19,Emergency,1,30514.7,Team Delta,No
M000161,EQ00496,B027,2026-03-19,Inspection,4,194348.59,Team Alpha,No
M000162,EQ02781,B016,2026-07-22,Emergency,9,215645.08,Team Bravo,Yes
M000163,EQ03561,B017,2026-03-17,Emergency,4,158311.68,Team Bravo,No
M000164,EQ01528,B013,2025-05-05,Corrective,1,48940.17,Team Echo,No
M000165,EQ03396,B027,2025-04-29,Emergency,12,553182.34,Team Charlie,Yes
M000166,EQ00343,B013,2025-10-01,Preventive,1,34645.07,Team Echo,No
M000167,EQ03730,B018,2025-07-14,Corrective,3,94880.78,Team Bravo,No
M000168,EQ00904,B011,2026-11-28,Corrective,2,79267.87,Team Delta,No
M000169,EQ04275,B010,2025-05-03,Emergency,4,183114.46,Team Alpha,No
M000170,EQ02340,B022,2025-02-05,Corrective,2,79639.67,Team Charlie,No
M000171,EQ02037,B003,2026-06-20,Preventive,2,64899.52,Team Echo,No
M000172,EQ04622,B030,2025-07-03,Inspection,3,84678.76,Team Charlie,No
M000173,EQ00245,B022,2026-04-05,Corrective,1,30025.44,Team Delta,No
M000174,EQ04269,B001,2026-01-10,Inspection,6,119225.2,Team Delta,No
M000175,EQ04140,B010,2026-10-31,Corrective,1,17260.5,Team Alpha,No
M000176,EQ00469,B021,2025-04-14,Emergency,2,87193.61,Team Delta,No
M000177,EQ03966,B011,2026-01-18,Inspection,6,157147.33,Team Alpha,No
M000178,EQ01756,B004,2025-08-22,Inspection,18,648873.69,Team Charlie,Yes
M000179,EQ03359,B010,2025-02-07,Corrective,16,598379.32,Team Echo,Yes
M000180,EQ02368,B013,2025-10-24,Emergency,3,109461.89,Team Echo,No
M000181,EQ03887,B004,2026-07-04,Corrective,4,64939.98,Team Bravo,No
M000182,EQ00737,B020,2025-08-20,Corrective,4,84766.18,Team Bravo,No
M000183,EQ04216,B025,2025-02-01,Preventive,4,87608.31,Team Delta,No
M000184,EQ00900,B015,2026-06-15,Preventive,3,75329.71,Team Alpha,No
M000185,EQ03124,B009,2025-08-27,Corrective,8,358662.48,Team Charlie,Yes
M000186,EQ01750,B013,2026-11-23,Corrective,5,152086.94,Team Bravo,No
M000187,EQ00097,B023,2025-11-16,Emergency,8,301159.06,Team Alpha,Yes
M000188,EQ00368,B016,2026-05-16,Preventive,12,422465.0,Team Charlie,Yes
M000189,EQ01465,B001,2026-07-21,Emergency,20,708625.52,Team Alpha,Yes
M000190,EQ00716,B028,2025-06-26,Preventive,1,49442.38,Team Delta,No
M000191,EQ00890,B009,2025-02-19,Emergency,0,0.0,Team Delta,No
M000192,EQ02156,B029,2026-01-22,Preventive,2,51074.2,Team Delta,No
M000193,EQ04174,B013,2026-03-08,Emergency,13,356045.99,Team Delta,Yes
M000194,EQ01916,B002,2026-04-05,Inspection,5,114810.38,Team Alpha,No
M000195,EQ04723,B022,2025-12-11,Corrective,4,66554.04,Team Bravo,No
M000196,EQ02133,B018,2026-08-05,Corrective,4,99920.17,Team Bravo,No
M000197,EQ04204,B015,2025-02-03,Inspection,3,100104.07,Team Alpha,No
M000198,EQ00517,B023,2025-08-11,Preventive,19,694381.24,Team Bravo,Yes
M000199,EQ02835,B020,2025-11-06,Inspection,4,166405.61,Team Alpha,No
M000200,EQ00187,B006,2025-05-27,Emergency,9,232074.89,Team Alpha,Yes
M000201,EQ03836,B021,2025-07-10,Inspection,0,0.0,Team Echo,No
M000202,EQ04036,B021,2025-01-21,Corrective,3,79251.28,Team Bravo,No
M000203,EQ02117,B001,2025-06-27,Preventive,3,144318.62,Team Bravo,No
M000204,EQ01946,B010,2026-08-15,Emergency,10,300160.25,Team Alpha,Yes
M000205,EQ02039,B007,2026-10-04,Inspection,8,392776.25,Team Alpha,Yes
M000206,EQ04894,B023,2025-03-23,Corrective,4,165641.5,Team Echo,No
M000207,EQ00050,B006,2026-08-27,Inspection,0,0.0,Team Bravo,No
M000208,EQ02774,B030,2026-11-08,Corrective,3,83924.43,Team Delta,No
M000209,EQ03682,B005,2026-06-11,Inspection,5,85278.52,Team Charlie,No
M000210,EQ04506,B004,2026-06-04,Inspection,4,176915.41,Team Echo,No
M000211,EQ00564,B029,2025-02-12,Inspection,6,275055.47,Team Charlie,No
M000212,EQ03029,B013,2025-08-30,Emergency,1,36953.66,Team Echo,No
M000213,EQ01059,B001,2025-09-22,Emergency,16,490917.02,Team Echo,Yes
M000214,EQ01640,B030,2025-10-18,Inspection,2,66619.82,Team Bravo,No
M000215,EQ02053,B022,2025-09-26,Corrective,0,0.0,Team Delta,No
M000216,EQ01369,B015,2026-07-22,Inspection,7,329089.01,Team Echo,No
M000217,EQ02041,B018,2025-09-20,Inspection,1,41232.11,Team Alpha,No
M000218,EQ00439,B012,2025-01-19,Preventive,10,485747.32,Team Bravo,Yes
M000219,EQ04974,B003,2026-02-26,Emergency,11,402784.94,Team Echo,Yes
M000220,EQ03392,B009,2026-05-14,Corrective,7,249631.7,Team Echo,No
M000221,EQ04801,B002,2025-10-30,Emergency,15,339999.36,Team Delta,Yes
M000222,EQ02170,B023,2026-09-07,Inspection,5,81244.98,Team Delta,No
M000223,EQ02342,B029,2026-10-09,Corrective,16,372209.15,Team Charlie,Yes
M000224,EQ04792,B019,2026-09-16,Inspection,4,150246.49,Team Charlie,No
M000225,EQ00635,B014,2025-04-25,Inspection,3,129387.8,Team Alpha,No
M000226,EQ01438,B024,2025-10-09,Inspection,4,171580.48,Team Echo,No
M000227,EQ02283,B029,2026-09-16,Emergency,2,82049.74,Team Delta,No
M000228,EQ02613,B012,2026-04-18,Corrective,4,141215.92,Team Bravo,No
M000229,EQ01234,B028,2026-12-16,Corrective,8,386531.42,Team Delta,Yes
M000230,EQ04638,B013,2025-04-17,Corrective,0,0.0,Team Bravo,No
M000231,EQ04571,B028,2025-08-25,Preventive,8,356230.43,Team Alpha,Yes
M000232,EQ00782,B023,2025-02-17,Preventive,6,213224.8,Team Bravo,No
M000233,EQ01744,B016,2026-08-29,Corrective,4,153969.91,Team Charlie,No
M000234,EQ01153,B011,2026-06-23,Preventive,4,81729.22,Team Alpha,No
M000235,EQ01133,B012,2026-04-08,Inspection,1,47314.49,Team Charlie,No
M000236,EQ00725,B006,2025-07-03,Corrective,6,278225.0,Team Echo,No
M000237,EQ03021,B002,2025-10-09,Corrective,4,87249.42,Team Charlie,No
M000238,EQ03380,B008,2026-12-30,Preventive,10,439161.63,Team Echo,Yes
M000239,EQ04545,B013,2025-10-14,Corrective,2,64528.48,Team Alpha,No
M000240,EQ03364,B012,2026-07-05,Corrective,12,221484.17,Team Delta,Yes
M000241,EQ00477,B016,2026-05-22,Corrective,5,197754.02,Team Charlie,No
M000242,EQ03457,B026,2025-09-26,Inspection,0,0.0,Team Bravo,No
M000243,EQ00501,B018,2025-03-26,Preventive,6,130835.61,Team Charlie,No
M000244,EQ01755,B025,2026-02-09,Emergency,3,47092.73,Team Bravo,No
M000245,EQ04001,B018,2026-11-03,Inspection,20,859413.3,Team Alpha,Yes
M000246,EQ01571,B001,2026-06-20,Preventive,3,88308.15,Team Echo,No
M000247,EQ00290,B007,2025-02-19,Corrective,2,57890.15,Team Bravo,No
M000248,EQ03396,B012,2025-11-02,Inspection,5,145816.46,Team Charlie,No
M000249,EQ01232,B013,2025-04-05,Inspection,1,37509.57,Team Alpha,No
M000250,EQ03367,B004,2025-05-19,Inspection,13,232215.43,Team Echo,Yes
M000251,EQ03523,B028,2026-09-17,Corrective,12,302020.38,Team Alpha,Yes
M000252,EQ01668,B028,2026-12-16,Inspection,4,159986.37,Team Charlie,No
M000253,EQ04589,B028,2026-04-05,Corrective,7,272974.2,Team Echo,No
M000254,EQ01888,B005,2025-06-15,Inspection,11,203912.93,Team Delta,Yes
M000255,EQ04142,B017,2025-09-17,Inspection,6,245652.52,Team Echo,No
M000256,EQ01243,B030,2025-03-11,Emergency,9,139105.12,Team Alpha,Yes
M000257,EQ00978,B009,2025-04-06,Inspection,4,107390.63,Team Charlie,No
M000258,EQ01911,B028,2025-12-14,Emergency,16,739980.9,Team Bravo,Yes
M000259,EQ02843,B008,2026-02-13,Emergency,8,190330.97,Team Charlie,Yes
M000260,EQ03757,B009,2026-12-14,Emergency,16,281907.84,Team Bravo,Yes
M000261,EQ02496,B011,2026-06-28,Inspection,18,444176.89,Team Alpha,Yes
M000262,EQ02108,B029,2026-07-03,Corrective,4,97057.21,Team Charlie,No
M000263,EQ00276,B002,2025-08-01,Emergency,3,138274.77,Team Charlie,No
M000264,EQ04067,B011,2025-07-07,Corrective,4,166628.81,Team Charlie,No
M000265,EQ00929,B028,2025-11-19,Inspection,0,0.0,Team Charlie,No
M000266,EQ04639,B014,2025-05-13,Corrective,2,40632.46,Team Bravo,No
M000267,EQ02270,B001,2026-08-15,Inspection,12,268718.23,Team Bravo,Yes
M000268,EQ03821,B005,2026-01-30,Inspection,11,514756.35,Team Bravo,Yes
M000269,EQ02414,B024,2025-09-12,Emergency,6,167507.43,Team Charlie,No
M000270,EQ00555,B015,2025-09-04,Emergency,0,0.0,Team Bravo,No
M000271,EQ01391,B010,2026-03-13,Corrective,2,34226.6,Team Charlie,No
M000272,EQ02704,B018,2026-06-05,Inspection,6,199626.98,Team Echo,No
M000273,EQ02368,B021,2025-01-08,Corrective,3,93530.99,Team Echo,No
M000274,EQ00058,B029,2025-12-30,Corrective,5,121626.86,Team Bravo,No
M000275,EQ04883,B001,2026-06-17,Preventive,9,381439.96,Team Alpha,Yes
M000276,EQ01622,B030,2025-07-14,Preventive,16,468177.04,Team Charlie,Yes
M000277,EQ01221,B018,2026-11-09,Emergency,16,678467.66,Team Bravo,Yes
M000278,EQ04877,B014,2026-04-01,Inspection,10,308782.31,Team Bravo,Yes
M000279,EQ00430,B029,2025-08-07,Emergency,4,138041.64,Team Alpha,No
M000280,EQ00717,B028,2025-06-26,Preventive,7,296626.03,Team Charlie,No
M000281,EQ04896,B008,2026-10-05,Inspection,7,195737.37,Team Echo,No
M000282,EQ04485,B006,2026-12-08,Preventive,8,176304.67,Team Delta,Yes
M000283,EQ02747,B019,2026-03-26,Inspection,8,133155.65,Team Alpha,Yes
M000284,EQ03926,B027,2026-07-15,Emergency,3,86363.91,Team Delta,No
M000285,EQ04894,B030,2026-06-01,Corrective,2,70986.54,Team Delta,No
M000286,EQ04535,B019,2026-07-31,Emergency,5,180198.91,Team Bravo,No
M000287,EQ00273,B019,2025-01-04,Corrective,20,777381.38,Team Echo,Yes
M000288,EQ03894,B010,2025-10-09,Corrective,1,43224.42,Team Echo,No
M000289,EQ03175,B006,2026-10-10,Emergency,3,120126.23,Team Delta,No
M000290,EQ04828,B005,2025-04-30,Inspection,1,16753.04,Team Alpha,No
M000291,EQ00800,B030,2025-12-23,Corrective,2,80314.66,Team Charlie,No
M000292,EQ04936,B002,2026-05-01,Corrective,7,178567.26,Team Delta,No
M000293,EQ01691,B017,2026-12-29,Emergency,3,59006.25,Team Delta,No
M000294,EQ03061,B012,2025-04-26,Corrective,11,445121.77,Team Charlie,Yes
M000295,EQ04484,B022,2025-03-19,Emergency,15,391525.95,Team Echo,Yes
M000296,EQ03431,B002,2026-10-10,Emergency,1,38004.41,Team Echo,No
M000297,EQ01457,B024,2025-10-11,Corrective,19,701083.0,Team Echo,Yes
M000298,EQ03982,B011,2026-12-06,Inspection,12,427726.25,Team Delta,Yes
M000299,EQ04985,B008,2025-06-20,Emergency,2,92472.96,Team Charlie,No
M000300,EQ03604,B015,2025-09-02,Corrective,3,47645.76,Team Delta,No
M000301,EQ00316,B029,2025-02-13,Inspection,2,60874.47,Team Echo,No
M000302,EQ00608,B028,2025-06-15,Emergency,19,554126.84,Team Delta,Yes
M000303,EQ01675,B006,2026-11-06,Corrective,1,17932.77,Team Charlie,No
M000304,EQ01316,B008,2026-10-19,Emergency,2,38488.47,Team Delta,No
M000305,EQ01974,B008,2025-04-06,Corrective,4,138891.13,Team Bravo,No
M000306,EQ01733,B022,2025-04-11,Inspection,9,308827.6,Team Alpha,Yes
M000307,EQ04293,B027,2025-01-19,Corrective,0,0.0,Team Bravo,No
M000308,EQ00477,B022,2025-06-09,Emergency,10,249002.75,Team Charlie,Yes
M000309,EQ04409,B005,2025-09-22,Inspection,10,498224.53,Team Charlie,Yes
M000310,EQ01545,B024,2025-07-13,Preventive,3,75451.19,Team Charlie,No
M000311,EQ04427,B030,2025-11-01,Inspection,3,141139.54,Team Echo,No
M000312,EQ00462,B023,2026-07-20,Emergency,12,293408.51,Team Bravo,Yes
M000313,EQ04103,B015,2025-08-09,Preventive,5,175157.9,Team Echo,No
M000314,EQ02019,B012,2026-10-17,Preventive,5,201598.06,Team Echo,No
M000315,EQ02036,B026,2026-11-25,Preventive,6,203429.56,Team Charlie,No
M000316,EQ03752,B011,2025-03-23,Preventive,1,41146.27,Team Bravo,No
M000317,EQ02410,B004,2025-03-27,Corrective,4,164061.69,Team Delta,No
M000318,EQ02839,B004,2026-12-15,Inspection,5,200677.71,Team Bravo,No
M000319,EQ04536,B004,2025-01-16,Preventive,3,64930.94,Team Echo,No
M000320,EQ00870,B024,2025-01-31,Corrective,7,191411.02,Team Delta,No
M000321,EQ02865,B020,2026-06-26,Preventive,2,44446.76,Team Alpha,No
M000322,EQ04456,B005,2026-08-22,Corrective,0,0.0,Team Echo,No
M000323,EQ01353,B022,2025-07-22,Corrective,20,972289.56,Team Charlie,Yes
M000324,EQ00907,B002,2025-11-22,Emergency,4,149607.93,Team Echo,No
M000325,EQ00123,B007,2025-12-01,Emergency,4,188794.34,Team Alpha,No
M000326,EQ03912,B024,2025-12-29,Preventive,3,117760.4,Team Delta,No
M000327,EQ04656,B010,2026-01-28,Inspection,5,96797.74,Team Alpha,No
M000328,EQ03415,B028,2026-01-20,Preventive,5,206546.13,Team Echo,No
M000329,EQ01783,B022,2025-03-08,Inspection,1,47991.26,Team Bravo,No
M000330,EQ02386,B001,2026-08-23,Preventive,1,15302.35,Team Delta,No
M000331,EQ03982,B027,2026-09-13,Corrective,5,230196.98,Team Alpha,No
M000332,EQ04458,B008,2026-10-13,Preventive,2,92607.31,Team Delta,No
M000333,EQ04370,B030,2026-04-14,Inspection,0,0.0,Team Delta,No
M000334,EQ04320,B018,2025-06-27,Emergency,2,62493.63,Team Alpha,No
M000335,EQ03466,B001,2026-06-17,Preventive,2,62373.07,Team Bravo,No
M000336,EQ01429,B029,2025-12-24,Inspection,0,0.0,Team Charlie,No
