Fuel_ID,Date,Base_ID,Region,Vehicle_Type,Fuel_Consumed_Liters,Fuel_Cost_INR
F000155,2025-08-24,B028,West,Helicopter,475.15,44369.98
F000156,2026-03-12,B017,East,Transport Vehicle,338.43,32547.47
F000157,2025-01-06,B027,West,Generator,128.85,11692.87
F000158,2026-10-15,B007,Central,Truck,258.68,23717.41
F000159,2026-04-11,B030,East,Generator,108.45,10213.05
F000160,2025-11-17,B015,South,Tank,706.94,67939.68
F000161,2026-03-27,B007,Central,Truck,287.92,26876.35
F000162,2025-11-12,B023,North,Jeep,42.6,4182.18
F000163,2025-04-11,B003,East,Helicopter,421.12,40568.12
F000164,2026-03-01,B026,South,Transport Vehicle,330.05,32782.51
F000165,2026-02-19,B020,East,Transport Vehicle,255.77,24932.33
F000166,2025-08-07,B028,West,Generator,139.75,13937.41
F000167,2026-06-20,B021,South,Generator,128.79,12682.2
F000168,2025-12-30,B017,East,Transport Vehicle,202.65,18744.82
F000169,2026-02-10,B007,Central,Transport Vehicle,215.34,20333.91
F000170,2026-04-08,B024,East,Helicopter,585.42,56249.01
F000171,2026-03-20,B022,Central,Jeep,91.57,8339.97
F000172,2025-01-25,B029,South,Truck,366.14,33966.33
F000173,2025-09-21,B012,South,Generator,134.12,12278.1
F000174,2026-06-27,B010,North,Helicopter,463.54,44789.64
F000175,2026-02-11,B024,East,Tank,700.12,67869.98
F000176,2026-07-26,B030,East,Transport Vehicle,286.52,25855.54
F000177,2025-02-05,B016,West,Helicopter,482.07,44010.31
F000178,2026-07-12,B030,East,Generator,150.93,13935.79
F000179,2026-10-26,B007,Central,Transport Vehicle,338.04,32784.89
F000180,2026-08-24,B020,East,Truck,220.56,20065.5
F000181,2025-02-01,B027,West,Jeep,42.31,3823.21
F000182,2025-08-05,B028,West,Jeep,65.98,6140.11
F000183,2025-07-26,B018,East,Generator,99.94,9270.71
F000184,2025-07-29,B027,West,Jeep,118.54,10950.21
F000185,2026-01-05,B014,Central,Helicopter,426.86,41922.2
F000186,2025-09-17,B030,East,Tank,835.98,75687.95
F000187,2025-01-13,B023,North,Helicopter,552.22,49830.62
F000188,2025-05-04,B025,West,Generator,173.11,16607.97
F000189,2026-11-17,B001,Central,Truck,256.69,23851.3
F000190,2025-03-11,B014,Central,Truck,426.45,42124.19
F000191,2026-06-14,B028,West,Generator,172.84,16304.8
F000192,2026-12-06,B013,South,Tank,614.16,60478.3
F000193,2026-12-11,B011,Central,Jeep,49.99,4794.82
F000194,2026-04-10,B024,East,Helicopter,439.43,43794.82
F000195,2026-04-28,B022,Central,Truck,258.03,25546.09
F000196,2025-12-04,B010,North,Tank,850.19,84453.08
F000197,2025-05-07,B023,North,Transport Vehicle,246.8,22570.8
F000198,2025-06-17,B030,East,Helicopter,465.16,43010.59
F000199,2026-06-06,B030,East,Jeep,72.31,7123.96
F000200,2025-05-08,B003,East,Helicopter,627.12,58657.15
F000201,2026-11-14,B026,South,Transport Vehicle,210.68,19097.2
F000202,2025-09-15,B016,West,Helicopter,481.38,46388.06
F000203,2026-07-08,B016,West,Jeep,69.62,6318.87
F000204,2026-08-08,B012,South,Jeep,98.18,9547.42
F000205,2025-01-21,B024,East,Tank,710.51,66781.72
F000206,2026-02-08,B026,South,Helicopter,677.26,65459.18
F000207,2026-02-11,B020,East,Tank,899.17,83244.15
F000208,2025-10-17,B010,North,Jeep,92.42,8318.2
F000209,2025-09-01,B023,North,Jeep,70.5,6450.86
F000210,2026-06-15,B029,South,Truck,343.23,32470.33
F000211,2025-01-13,B015,South,Transport Vehicle,213.64,19476.6
F000212,2026-05-09,B018,East,Tank,889.35,85720.61
F000213,2026-10-12,B004,East,Truck,273.95,25456.26
F000214,2025-12-03,B027,West,Jeep,115.09,10971.25
F000215,2025-09-09,B009,South,Generator,178.74,17263.06
F000216,2026-11-22,B016,West,Jeep,110.05,10277.22
F000217,2026-09-03,B026,South,Tank,535.85,49402.41
F000218,2025-07-17,B011,Central,Generator,92.83,9229.89
F000219,2025-09-29,B028,West,Jeep,88.97,8502.56
F000220,2025-07-09,B018,East,Truck,414.78,41261.73
F000221,2026-06-15,B014,Central,Generator,102.2,10155.71
F000222,2026-07-15,B004,East,Helicopter,625.01,60465.49
F000223,2025-07-18,B017,East,Truck,347.1,33746.3
F000224,2025-11-14,B028,West,Tank,831.21,80121.97
F000225,2025-11-24,B018,East,Truck,229.45,21623.7
F000226,2025-07-11,B026,South,Tank,527.92,50428.18
F000227,2025-10-17,B003,East,Truck,394.37,37321.37
F000228,2025-09-02,B009,South,Tank,697.79,65022.29
F000229,2025-07-03,B024,East,Jeep,85.68,8058.9
F000230,2025-06-15,B005,East,Truck,260.19,25673.22
F000231,2026-01-22,B019,Central,Jeep,104.42,9679.61
F000232,2026-03-09,B011,Central,Jeep,54.62,5101.59
F000233,2026-12-18,B002,North,Jeep,81.39,7409.53
F000234,2026-07-01,B018,East,Jeep,46.15,4340.29
F000235,2025-11-08,B029,South,Transport Vehicle,333.35,32130.7
F000236,2025-06-30,B008,East,Tank,877.61,85031.27
F000237,2025-04-01,B013,South,Helicopter,480.4,43599.79
F000238,2025-12-29,B013,South,Transport Vehicle,202.94,18313.96
F000239,2025-11-04,B027,West,Generator,115.51,10637.91
F000240,2025-05-17,B013,South,Tank,572.2,52741.15
F000241,2025-05-09,B030,East,Generator,131.93,13124.03
F000242,2025-06-16,B001,Central,Helicopter,587.39,54919.25
F000243,2026-04-22,B009,South,Helicopter,590.08,57167.41
F000244,2026-09-18,B009,South,Jeep,47.46,4573.18
F000245,2026-09-27,B008,East,Jeep,64.0,6375.55
F000246,2026-03-19,B019,Central,Helicopter,554.07,53452.17
F000247,2025-05-06,B008,East,Jeep,88.01,8667.68
F000248,2026-07-04,B008,East,Generator,138.12,12682.74
F000249,2026-08-04,B028,West,Generator,147.37,13499.44
F000250,2025-07-08,B019,Central,Transport Vehicle,257.89,24197.47
F000251,2025-01-25,B001,Central,Transport Vehicle,255.44,23705.8
F000252,2025-08-09,B003,East,Transport Vehicle,201.8,18854.77
F000253,2025-05-29,B025,West,Truck,332.31,31792.55
F000254,2025-08-19,B028,West,Generator,122.24,11188.45
F000255,2025-02-28,B018,East,Truck,327.14,29927.85
F000256,2025-12-20,B027,West,Tank,699.13,65424.31
F000257,2025-12-28,B008,East,Transport Vehicle,236.74,23107.56
F000258,2025-11-01,B001,Central,Tank,724.62,66869.1
F000259,2025-10-03,B005,East,Helicopter,496.87,48714.77
F000260,2026-08-08,B014,Central,Generator,176.1,16211.09
F000261,2026-12-02,B015,South,Truck,305.39,28069.5
F000262,2025-07-13,B018,East,Jeep,63.0,5690.77
F000263,2026-10-31,B024,East,Tank,594.58,55802.79
F000264,2026-11-24,B029,South,Truck,407.65,37695.82
F000265,2026-08-19,B018,East,Generator,171.75,16745.55
F000266,2026-12-13,B028,West,Tank,728.19,66513.6
F000267,2026-05-08,B026,South,Transport Vehicle,181.03,16581.66
F000268,2026-04-11,B025,West,Jeep,118.39,10889.16
F000269,2026-06-21,B011,Central,Transport Vehicle,220.46,20015.3
F000270,2025-02-28,B002,North,Generator,101.39,9129.83
F000271,2026-05-04,B017,East,Helicopter,636.29,62542.32
F000272,2026-01-14,B030,East,Tank,626.02,59727.87
F000273,2025-04-15,B010,North,Generator,113.5,11333.74
F000274,2026-08-27,B023,North,Truck,324.07,30716.9
F000275,2025-08-30,B030,East,Jeep,108.98,10631.71
F000276,2026-07-16,B007,Central,Jeep,98.03,9084.26
F000277,2026-08-29,B005,East,Jeep,46.97,4287.17
F000278,2025-06-01,B015,South,Generator,166.52,15385.54
F000279,2025-01-08,B003,East,Jeep,53.8,5028.69
F000280,2026-01-31,B010,North,Tank,779.46,74475.67
F000281,2026-09-08,B024,East,Jeep,42.52,4040.98
F000282,2025-04-12,B030,East,Truck,357.67,32651.76
F000283,2025-02-16,B002,North,Helicopter,697.27,64919.05
F000284,2026-11-15,B017,East,Generator,130.85,13082.84
F000285,2025-09-14,B003,East,Jeep,60.56,5774.44
F000286,2025-02-08,B019,Central,Truck,412.71,40144.43
F000287,2026-01-20,B017,East,Generator,102.37,10123.94
F000288,2026-09-25,B014,Central,Generator,141.19,13756.08
F000289,2026-04-17,B010,North,Transport Vehicle,216.25,21053.29
F000290,2025-07-10,B002,North,Tank,515.58,49206.14
F000291,2026-09-12,B011,Central,Tank,722.75,70767.59
F000292,2026-01-06,B012,South,Truck,395.28,37283.2
F000293,2026-10-19,B012,South,Truck,253.45,23084.19
F000294,2026-10-13,B002,North,Helicopter,614.01,61239.03
F000295,2025-12-12,B029,South,Tank,748.18,74350.05
F000296,2026-05-03,B010,North,Tank,776.54,71179.42
F000297,2026-05-22,B012,South,Helicopter,499.36,49475.4
F000298,2026-10-29,B028,West,Truck,256.26,24707.8
F000299,2025-01-04,B008,East,Truck,415.44,40178.1
F000300,2025-02-05,B005,East,Truck,408.87,38652.85
F000301,2025-06-22,B016,West,Transport Vehicle,325.9,32178.84
F000302,2026-07-21,B020,East,Transport Vehicle,225.06,21086.22
F000303,2025-09-20,B012,South,Helicopter,493.18,46174.4
F000304,2026-11-15,B025,West,Generator,128.45,12244.82
F000305,2025-09-13,B008,East,Generator,95.75,8939.9
F000306,2026-04-25,B006,West,Helicopter,464.67,46427.18
F000307,2025-06-06,B015,South,Jeep,98.43,9591.59
F000308,2026-04-25,B013,South,Generator,175.17,15929.07
F000309,2026-05-25,B030,East,Generator,121.84,11732.25
F000310,2026-10-20,B009,South,Helicopter,608.19,59124.72
F000311,2026-11-17,B009,South,Helicopter,481.7,47350.27
F000312,2025-08-01,B009,South,Truck,313.7,28839.06
F000313,2025-01-09,B015,South,Transport Vehicle,318.66,28716.65
F000314,2025-08-21,B019,Central,Tank,794.09,77175.8
F000315,2026-01-16,B016,West,Generator,177.43,16855.42
F000316,2025-03-25,B028,West,Tank,563.86,53089.77
F000317,2025-08-08,B016,West,Truck,375.19,34093.92
F000318,2025-04-06,B020,East,Transport Vehicle,229.2,20632.53
F000319,2026-08-06,B005,East,Helicopter,650.2,59249.31
F000320,2025-03-01,B027,West,Truck,370.97,36139.88
F000321,2026-06-09,B019,Central,Helicopter,406.54,39235.25
F000322,2026-02-04,B001,Central,Generator,101.76,9500.04
F000323,2026-12-31,B030,East,Generator,174.33,16807.64
F000324,2026-06-01,B025,West,Tank,542.64,52649.25
F000325,2025-09-07,B004,East,Helicopter,651.4,64210.53
F000326,2026-01-11,B030,East,Transport Vehicle,330.33,31411.98
F000327,2026-02-25,B022,Central,Tank,586.62,57634.16
F000328,2025-07-27,B013,South,Transport Vehicle,205.27,18644.79
F000329,2026-10-29,B027,West,Jeep,63.16,6071.97
F000330,2025-10-13,B009,South,Helicopter,555.49,52444.29
F000331,2026-12-03,B029,South,Helicopter,425.0,41409.68
F000332,2025-02-10,B012,South,Jeep,40.37,3665.94
F000333,2025-05-07,B029,South,Helicopter,431.66,42021.8
F000334,2025-12-31,B024,East,Generator,87.76,8507.18
F000335,2025-11-03,B007,Central,Generator,157.79,15060.78
F000336,2026-08-26,B024,East,Transport Vehicle,186.01,16896.63
F000337,2025-03-31,B030,East,Truck,396.87,36077.4
F000338,2026-03-11,B028,West,Helicopter,640.93,59307.61
F000339,2025-04-04,B004,East,Generator,159.66,15941.45
F000340,2025-05-03,B021,South,Truck,254.06,25114.89
F000341,2026-06-04,B020,East,Truck,446.71,41364.24
F000342,2026-08-13,B002,North,Tank,738.81,69613.37
F000343,2026-10-30,B013,South,Helicopter,402.9,39811.38
F000344,2025-08-25,B002,North,Truck,444.45,41200.44
F000345,2025-12-21,B005,East,Tank,883.62,84431.32
F000346,2025-09-03,B010,North,Jeep,43.94,4246.46
F000347,2026-02-17,B007,Central,Generator,157.14,14521.19
F000348,2026-01-06,B011,Central,Transport Vehicle,252.76,24308.48
F000349,2026-02-13,B024,East,Generator,156.54,14799.27
F000350,2026-10-29,B021,South,Transport Vehicle,308.11,28196.62
F000351,2026-02-11,B024,East,Helicopter,675.75,61062.22
F000352,2025-06-10,B004,East,Helicopter,680.89,67059.77
F000353,2025-04-14,B022,Central,Jeep,118.23,11050.93
F000354,2025-11-18,B003,East,Transport Vehicle,192.85,17479.88
F000355,2025-06-15,B013,South,Helicopter,678.46,65568.76
F000356,2025-05-07,B026,South,Jeep,91.8,9002.86
F000357,2026-01-07,B004,East,Truck,244.81,23780.21
F000358,2025-05-23,B006,West,Transport Vehicle,216.15,19995.63
F000359,2026-12-09,B029,South,Generator,142.6,14141.6
F000360,2025-10-21,B021,South,Transport Vehicle,257.99,23890.16
F000361,2026-01-20,B012,South,Truck,438.85,42828.04
F000362,2026-04-20,B005,East,Generator,172.92,16527.88
F000363,2026-11-23,B007,Central,Truck,293.0,27203.3
F000364,2025-04-16,B027,West,Jeep,46.73,4620.78
F000365,2025-12-26,B018,East,Truck,372.5,36074.26
F000366,2026-10-21,B026,South,Jeep,86.2,8028.17
F000367,2026-07-23,B022,Central,Helicopter,419.01,40179.47
F000368,2025-09-24,B013,South,Truck,415.22,39715.41
F000369,2026-07-18,B006,West,Tank,502.05,47024.69
F000370,2026-05-16,B030,East,Tank,845.56,78329.3
F000371,2025-10-04,B009,South,Transport Vehicle,203.31,19965.88
F000372,2026-05-01,B024,East,Generator,128.73,12174.09
F000373,2026-10-29,B011,Central,Jeep,44.45,4407.91
F000374,2026-11-18,B016,West,Generator,134.19,12727.25
F000375,2025-12-22,B001,Central,Generator,127.8,11630.6
F000376,2026-02-20,B019,Central,Generator,93.87,9101.56
F000377,2025-07-06,B029,South,Helicopter,429.22,38922.24
F000378,2026-12-25,B012,South,Helicopter,639.38,61792.45
F000379,2026-06-29,B015,South,Transport Vehicle,277.24,25941.15
F000380,2026-01-28,B025,West,Helicopter,516.88,47564.15
F000381,2026-02-14,B002,North,Transport Vehicle,237.24,22912.32
F000382,2025-07-08,B007,Central,Tank,655.26,61045.2
F000383,2025-06-14,B030,East,Transport Vehicle,234.81,23099.45
F000384,2025-10-27,B003,East,Generator,157.97,14346.08
F000385,2025-09-06,B012,South,Jeep,56.57,5093.6
F000386,2025-09-26,B011,Central,Truck,338.61,31335.78
F000387,2025-12-17,B002,North,Jeep,71.0,6746.42
F000388,2026-01-08,B023,North,Generator,179.83,17114.92
F000389,2025-06-19,B027,West,Jeep,81.39,8124.98
F000390,2026-12-10,B012,South,Generator,177.07,16839.5
F000391,2026-10-17,B014,Central,Tank,852.73,81473.3
F000392,2025-08-02,B018,East,Transport Vehicle,262.81,24667.0
F000393,2026-11-12,B009,South,Helicopter,481.34,45162.35
F000394,2025-09-29,B015,South,Transport Vehicle,240.78,23438.67
F000395,2026-12-15,B024,East,Jeep,55.41,5072.81
F000396,2026-09-20,B019,Central,Generator,168.69,16354.78
F000397,2025-01-22,B018,East,Generator,108.76,10003.83
F000398,2025-01-09,B021,South,Helicopter,548.11,53385.8
F000399,2026-12-03,B025,West,Jeep,59.15,5768.83
F000400,2026-07-18,B004,East,Generator,171.43,16001.21
F000401,2026-10-03,B006,West,Helicopter,571.0,52281.81
F000402,2025-01-01,B004,East,Helicopter,419.88,38677.06
F000403,2026-12-29,B018,East,Transport Vehicle,270.45,25274.39
F000404,2025-04-04,B027,West,Truck,292.9,26686.06
F000405,2026-07-10,B005,East,Helicopter,668.09,65007.31
F000406,2025-03-23,B006,West,Tank,808.05,80577.87
F000407,2025-05-24,B029,South,Transport Vehicle,183.4,18041.67
F000408,2026-09-02,B015,South,Helicopter,485.88,45890.01
F000409,2026-09-05,B015,South,Truck,333.71,33072.6
F000410,2026-01-26,B019,Central,Truck,240.02,23835.94
F000411,2025-07-20,B013,South,Transport Vehicle,258.66,25432.41
F000412,2025-07-09,B026,South,Jeep,78.35,7466.63
F000413,2026-09-13,B001,Central,Jeep,97.34,9222.35
F000414,2026-07-21,B019,Central,Truck,220.09,20997.49
F000415,2026-10-20,B026,South,Tank,823.66,74520.7
F000416,2025-01-05,B014,Central,Generator,102.15,9553.71
F000417,2025-11-20,B005,East,Jeep,43.86,4246.13
F000418,2026-12-24,B020,East,Truck,445.88,43098.61
F000419,2026-01-29,B023,North,Transport Vehicle,276.88,25053.0
F000420,2026-08-18,B010,North,Transport Vehicle,283.4,27140.57
F000421,2026-10-05,B015,South,Transport Vehicle,284.85,27926.12
F000422,2025-08-18,B011,Central,Generator,160.39,14701.75
F000423,2026-06-03,B025,West,Transport Vehicle,279.58,25493.44
F000424,2026-01-31,B025,West,Tank,876.17,83609.78
F000425,2026-09-12,B010,North,Helicopter,578.88,52899.16
F000426,2026-04-30,B011,Central,Tank,681.11,61469.34
F000427,2026-11-21,B009,South,Jeep,42.52,4064.91
F000428,2026-03-27,B013,South,Transport Vehicle,239.27,23532.84
F000429,2026-03-18,B002,North,Generator,88.12,8370.52
F000430,2026-05-27,B006,West,Transport Vehicle,307.94,30429.62
F000431,2025-08-26,B025,West,Jeep,81.78,7706.47
F000432,2025-07-01,B009,South,Transport Vehicle,209.23,19257.53
F000433,2026-02-13,B016,West,Jeep,96.03,9145.45
F000434,2025-10-14,B029,South,Truck,427.64,39790.14
F000435,2025-12-08,B004,East,Helicopter,646.34,58356.97
F000436,2025-06-02,B018,East,Truck,286.27,28144.35
F000437,2026-10-28,B019,Central,Transport Vehicle,331.12,31296.18
F000438,2026-08-28,B006,West,Jeep,90.1,8898.88
F000439,2026-12-04,B011,Central,Generator,153.12,14214.95
F000440,2026-08-07,B020,East,Truck,305.24,28236.31
F000441,2026-10-02,B018,East,Truck,216.98,21073.39
F000442,2026-11-24,B019,Central,Jeep,65.11,5984.37
F000443,2025-09-10,B007,Central,Transport Vehicle,257.95,24864.83
F000444,2025-08-15,B018,East,Helicopter,689.41,67356.92
F000445,2026-03-11,B011,Central,Jeep,100.92,9385.62
F000446,2025-07-09,B004,East,Generator,168.47,16043.66
F000447,2025-03-01,B014,Central,Helicopter,653.65,62192.44
F000448,2025-05-15,B021,South,Helicopter,571.23,57024.33
F000449,2026-02-06,B019,Central,Transport Vehicle,300.58,29807.47
F000450,2025-03-04,B027,West,Jeep,118.12,11445.23
F000451,2025-06-22,B028,West,Generator,118.91,11042.61
F000452,2026-01-15,B013,South,Truck,212.15,20926.12
F000453,2025-02-19,B024,East,Jeep,51.34,4947.59
F000454,2026-01-29,B020,East,Jeep,98.32,9036.03
F000455,2026-06-17,B028,West,Helicopter,522.18,47477.03
