Mission_ID,Mission_Date,Base_ID,Region,Mission_Type,Priority,Weather,Duration_Hours,Personnel_Deployed,Budget_INR,Mission_Status
MIS000130,2025-05-02,B028,West,Training Exercise,Medium,Clear,62,234,1956388.24,Completed
MIS000131,2025-01-03,B025,West,Training Exercise,Medium,Snow,9,364,2228547.27,Cancelled
MIS000132,2025-04-11,B024,East,Disaster Relief,High,Rain,60,64,1974363.35,Completed
MIS000133,2025-04-07,B030,East,Equipment Transport,High,Storm,59,134,577471.12,Cancelled
MIS000134,2026-11-01,B024,East,Surveillance,Medium,Clear,45,50,643075.64,Completed
MIS000135,2025-08-12,B023,North,Disaster Relief,Low,Fog,8,202,3701207.7,Completed
MIS000136,2026-03-06,B028,West,Medical Support,High,Fog,36,85,1477625.52,Completed
MIS000137,2025-12-29,B017,East,Border Patrol,Low,Storm,26,133,3411519.87,Completed
MIS000138,2026-06-06,B016,West,Surveillance,Medium,Fog,39,295,3206120.97,Completed
MIS000139,2025-06-30,B010,North,Reconnaissance,Low,Fog,19,301,189517.9,Completed
MIS000140,2026-07-01,B030,East,Disaster Relief,High,Fog,18,174,2977515.33,Completed
MIS000141,2025-09-23,B022,Central,Training Exercise,Medium,Clear,41,72,4004881.07,Completed
MIS000142,2026-10-27,B007,Central,Border Patrol,High,Clear,57,133,101138.71,Delayed
MIS000143,2026-10-01,B027,West,Supply Delivery,High,Fog,50,75,4283104.96,Completed
MIS000144,2025-04-10,B006,West,Equipment Transport,Medium,Fog,29,331,3054914.09,Completed
MIS000145,2025-12-19,B021,South,Supply Delivery,High,Fog,12,232,894474.3,Completed
MIS000146,2025-05-14,B023,North,Training Exercise,Critical,Fog,57,336,3505256.09,Completed
MIS000147,2026-12-25,B010,North,Equipment Transport,Medium,Rain,44,394,3791502.82,Delayed
MIS000148,2026-03-12,B013,South,Border Patrol,Medium,Rain,65,346,975662.69,Completed
MIS000149,2026-09-07,B028,West,Disaster Relief,Low,Storm,33,202,3104538.41,Completed
MIS000150,2025-12-11,B011,Central,Training Exercise,Critical,Rain,47,59,4285374.4,Completed
MIS000151,2025-07-25,B024,East,Training Exercise,Low,Clear,41,330,653465.31,Completed
MIS000152,2025-06-26,B008,East,Border Patrol,High,Fog,48,298,1279891.02,Completed
MIS000153,2026-08-24,B002,North,Disaster Relief,Low,Clear,9,93,1921172.34,Completed
MIS000154,2026-03-07,B003,East,Equipment Transport,Critical,Rain,61,96,3787378.62,Delayed
MIS000155,2025-07-21,B022,Central,Equipment Transport,Critical,Snow,31,389,463592.95,Completed
MIS000156,2025-03-28,B011,Central,Surveillance,Critical,Rain,20,149,3424261.78,Completed
MIS000157,2025-07-13,B021,South,Supply Delivery,High,Fog,55,301,282071.86,Completed
MIS000158,2025-01-10,B015,South,Supply Delivery,High,Storm,15,164,978235.3,Completed
MIS000159,2026-05-27,B011,Central,Supply Delivery,High,Clear,63,205,2686131.88,Completed
MIS000160,2026-01-20,B013,South,Border Patrol,Medium,Rain,62,306,1663881.16,Completed
MIS000161,2026-06-23,B019,Central,Surveillance,High,Clear,23,276,2079334.26,Completed
MIS000162,2026-01-11,B020,East,Supply Delivery,Critical,Fog,21,103,2600821.92,Delayed
MIS000163,2025-08-30,B016,West,Surveillance,Medium,Fog,52,61,1234739.28,Completed
MIS000164,2026-05-12,B016,West,Supply Delivery,High,Snow,13,224,2878810.42,Delayed
MIS000165,2025-08-26,B022,Central,Surveillance,Medium,Storm,56,380,340785.79,Completed
MIS000166,2026-04-13,B016,West,Training Exercise,Critical,Clear,59,281,1885173.81,Completed
MIS000167,2026-02-08,B007,Central,Supply Delivery,High,Fog,51,385,3963479.88,Completed
MIS000168,2026-12-04,B014,Central,Surveillance,Medium,Rain,45,272,3587842.78,Completed
MIS000169,2026-09-16,B025,West,Equipment Transport,Low,Storm,60,155,200111.82,Delayed
MIS000170,2026-07-26,B010,North,Supply Delivery,Medium,Snow,33,270,3554924.7,Completed
MIS000171,2025-07-22,B006,West,Surveillance,Medium,Storm,61,342,988369.32,Completed
MIS000172,2025-01-01,B013,South,Medical Support,High,Rain,41,93,3592689.43,Completed
MIS000173,2026-04-30,B011,Central,Reconnaissance,High,Storm,27,298,990354.68,Delayed
MIS000174,2026-07-21,B001,Central,Equipment Transport,Critical,Storm,47,386,4759535.37,Delayed
MIS000175,2026-12-14,B003,East,Medical Support,Critical,Snow,51,140,3624559.81,Delayed
MIS000176,2025-02-24,B010,North,Disaster Relief,Medium,Rain,32,325,3639391.71,Completed
MIS000177,2025-12-05,B024,East,Supply Delivery,Low,Storm,69,262,3998930.7,Completed
MIS000178,2026-09-06,B020,East,Reconnaissance,Critical,Clear,22,257,3575385.56,Completed
MIS000179,2025-12-16,B001,Central,Reconnaissance,Low,Clear,32,350,1910200.82,Completed
MIS000180,2025-12-09,B022,Central,Training Exercise,Medium,Storm,48,223,1990728.44,Completed
MIS000181,2026-08-28,B026,South,Disaster Relief,High,Clear,65,93,2544609.43,Cancelled
MIS000182,2025-05-18,B023,North,Border Patrol,Critical,Storm,28,87,2276855.06,Completed
MIS000183,2026-09-17,B005,East,Reconnaissance,Medium,Rain,68,45,3090987.05,Delayed
MIS000184,2025-04-03,B019,Central,Medical Support,Medium,Clear,31,274,4650723.94,Completed
MIS000185,2025-08-17,B020,East,Disaster Relief,Low,Snow,4,271,3947552.9,Completed
MIS000186,2026-11-27,B021,South,Training Exercise,Medium,Rain,28,162,2854089.39,Delayed
MIS000187,2025-07-24,B016,West,Medical Support,Critical,Rain,33,231,1526367.52,Completed
MIS000188,2026-01-07,B007,Central,Supply Delivery,High,Rain,49,338,4035585.61,Delayed
MIS000189,2025-05-15,B010,North,Equipment Transport,High,Storm,57,108,4038396.95,Delayed
MIS000190,2025-04-24,B023,North,Reconnaissance,Low,Storm,23,83,2723357.78,Completed
MIS000191,2025-01-17,B017,East,Equipment Transport,Medium,Clear,46,352,4743703.66,Completed
MIS000192,2026-08-22,B021,South,Surveillance,Medium,Rain,71,329,513156.68,Completed
MIS000193,2025-10-05,B004,East,Reconnaissance,High,Snow,31,373,1844598.81,Completed
MIS000194,2025-11-11,B005,East,Equipment Transport,Low,Clear,29,326,3453332.49,Completed
MIS000195,2025-05-08,B005,East,Surveillance,Medium,Clear,5,269,3887205.63,Delayed
MIS000196,2026-02-12,B001,Central,Disaster Relief,Low,Storm,22,83,830677.89,Completed
MIS000197,2025-03-19,B023,North,Reconnaissance,Medium,Fog,21,217,696791.52,Completed
MIS000198,2025-05-20,B019,Central,Reconnaissance,Critical,Snow,38,168,2286183.75,Completed
MIS000199,2026-02-20,B008,East,Medical Support,Critical,Storm,12,189,2144640.37,Delayed
MIS000200,2026-03-06,B001,Central,Border Patrol,Critical,Clear,25,144,1686806.9,Delayed
MIS000201,2026-07-12,B022,Central,Supply Delivery,Medium,Storm,65,207,1666059.11,Completed
MIS000202,2025-10-20,B028,West,Medical Support,Low,Clear,62,288,1840017.08,Completed
MIS000203,2025-08-19,B022,Central,Supply Delivery,Low,Clear,41,278,3475842.28,Completed
MIS000204,2025-10-14,B001,Central,Reconnaissance,Low,Fog,59,45,2492827.99,Completed
MIS000205,2026-09-23,B005,East,Supply Delivery,Medium,Fog,4,175,3616832.82,Completed
MIS000206,2025-01-01,B010,North,Surveillance,Medium,Fog,13,347,1513925.43,Completed
MIS000207,2026-06-12,B014,Central,Surveillance,High,Clear,54,258,3798128.41,Completed
MIS000208,2026-02-09,B025,West,Reconnaissance,Critical,Snow,52,394,4070432.54,Completed
MIS000209,2026-01-26,B027,West,Training Exercise,Critical,Clear,6,125,1625806.31,Completed
MIS000210,2025-03-21,B023,North,Medical Support,Medium,Storm,69,390,4487989.3,Completed
MIS000211,2025-08-08,B020,East,Disaster Relief,Medium,Fog,13,63,3577861.61,Completed
MIS000212,2026-07-20,B002,North,Border Patrol,High,Rain,31,118,3344615.55,Completed
MIS000213,2026-05-21,B020,East,Reconnaissance,High,Snow,12,170,3361858.08,Completed
MIS000214,2025-04-07,B027,West,Supply Delivery,Medium,Snow,39,269,4660395.57,Completed
MIS000215,2025-04-09,B010,North,Disaster Relief,High,Rain,67,48,597286.24,Completed
MIS000216,2025-12-24,B008,East,Reconnaissance,Medium,Clear,70,384,2447093.39,Completed
MIS000217,2026-10-26,B016,West,Disaster Relief,Medium,Snow,71,136,2484466.46,Completed
MIS000218,2025-06-04,B012,South,Training Exercise,Medium,Storm,72,126,1567418.18,Delayed
MIS000219,2025-06-25,B018,East,Disaster Relief,Medium,Fog,23,160,816810.56,Completed
MIS000220,2025-08-20,B003,East,Disaster Relief,High,Snow,18,240,4853070.65,Delayed
MIS000221,2026-11-10,B011,Central,Reconnaissance,High,Clear,71,101,1781993.25,Delayed
MIS000222,2025-04-26,B010,North,Medical Support,High,Storm,65,265,1894994.3,Delayed
MIS000223,2026-10-31,B027,West,Medical Support,High,Rain,35,67,3985462.47,Completed
MIS000224,2026-11-19,B005,East,Supply Delivery,Medium,Clear,15,149,4992773.47,Completed
MIS000225,2025-12-16,B015,South,Supply Delivery,High,Fog,60,256,4848943.88,Completed
MIS000226,2026-05-09,B029,South,Reconnaissance,Medium,Fog,36,396,691245.77,Cancelled
MIS000227,2026-12-04,B011,Central,Training Exercise,High,Rain,58,271,737009.28,Completed
MIS000228,2026-01-16,B021,South,Supply Delivery,Medium,Clear,63,99,3686787.02,Completed
MIS000229,2025-04-15,B005,East,Medical Support,Critical,Fog,41,139,4223298.23,Completed
MIS000230,2026-09-13,B008,East,Supply Delivery,Medium,Snow,49,288,2693276.44,Completed
MIS000231,2026-10-24,B030,East,Supply Delivery,Medium,Storm,22,220,2850190.97,Completed
MIS000232,2025-02-08,B025,West,Reconnaissance,Critical,Snow,49,54,1360765.81,Delayed
MIS000233,2025-07-29,B024,East,Reconnaissance,Medium,Clear,34,232,4406357.61,Completed
MIS000234,2025-10-25,B001,Central,Equipment Transport,Low,Fog,17,209,4993123.68,Completed
MIS000235,2025-03-27,B007,Central,Border Patrol,High,Rain,32,208,2618066.18,Cancelled
MIS000236,2026-06-05,B008,East,Border Patrol,Medium,Clear,62,400,3885816.04,Completed
MIS000237,2026-01-29,B012,South,Equipment Transport,Medium,Clear,38,399,4352753.15,Cancelled
MIS000238,2026-07-01,B029,South,Surveillance,Critical,Storm,10,225,581308.19,Completed
MIS000239,2025-06-20,B026,South,Disaster Relief,High,Snow,53,259,2402402.31,Completed
MIS000240,2026-04-25,B002,North,Equipment Transport,Medium,Fog,12,31,1373525.91,Completed
MIS000241,2026-08-05,B025,West,Disaster Relief,High,Storm,26,91,835670.47,Delayed
MIS000242,2025-10-20,B005,East,Medical Support,Medium,Fog,51,382,3777596.93,Delayed
MIS000243,2026-08-27,B022,Central,Reconnaissance,High,Snow,35,342,3045000.46,Delayed
MIS000244,2026-10-06,B002,North,Disaster Relief,Medium,Storm,60,298,3862500.09,Delayed
MIS000245,2025-12-22,B014,Central,Reconnaissance,Medium,Snow,40,276,1516331.72,Completed
MIS000246,2026-07-19,B020,East,Training Exercise,Medium,Fog,34,132,2556210.07,Completed
MIS000247,2025-07-20,B018,East,Border Patrol,Medium,Clear,45,269,3004151.9,Completed
MIS000248,2025-08-26,B028,West,Equipment Transport,High,Clear,66,281,3162509.5,Completed
MIS000249,2026-09-25,B022,Central,Supply Delivery,Medium,Rain,5,214,3314699.85,Delayed
MIS000250,2025-09-18,B010,North,Supply Delivery,Critical,Snow,47,110,4416251.58,Completed
MIS000251,2025-05-06,B003,East,Supply Delivery,High,Clear,59,169,4120240.85,Completed
MIS000252,2026-02-17,B003,East,Reconnaissance,Medium,Clear,34,395,941541.18,Delayed
MIS000253,2025-07-15,B020,East,Equipment Transport,Low,Fog,13,349,1909649.44,Completed
MIS000254,2025-08-26,B013,South,Training Exercise,High,Clear,12,70,666892.53,Completed
MIS000255,2026-09-12,B027,West,Training Exercise,Medium,Snow,46,298,1874677.33,Completed
MIS000256,2025-10-14,B004,East,Training Exercise,Critical,Snow,26,191,1470486.96,Delayed
MIS000257,2025-11-01,B005,East,Surveillance,Medium,Clear,47,267,3633692.05,Completed
MIS000258,2026-07-21,B021,South,Surveillance,Medium,Rain,53,314,3330149.15,Completed
MIS000259,2026-07-11,B004,East,Reconnaissance,Medium,Fog,72,178,2207633.93,Completed
MIS000260,2025-05-16,B007,Central,Medical Support,Medium,Clear,55,66,1268924.04,Completed
MIS000261,2026-12-27,B008,East,Reconnaissance,Medium,Snow,10,258,913871.52,Completed
MIS000262,2025-06-30,B022,Central,Border Patrol,Low,Fog,21,345,569149.12,Delayed
MIS000263,2025-02-20,B020,East,Disaster Relief,High,Snow,61,100,3026357.3,Completed
MIS000264,2026-03-01,B026,South,Reconnaissance,Critical,Storm,53,195,3701579.82,Completed
MIS000265,2025-08-24,B006,West,Reconnaissance,Low,Storm,21,63,3404488.81,Completed
MIS000266,2026-07-22,B008,East,Disaster Relief,High,Clear,65,197,647562.96,Completed
MIS000267,2026-05-14,B005,East,Medical Support,High,Clear,57,398,4872427.87,Completed
MIS000268,2026-11-27,B030,East,Surveillance,Medium,Rain,63,44,3536282.18,Delayed
MIS000269,2025-02-05,B029,South,Equipment Transport,High,Snow,66,366,972212.91,Completed
MIS000270,2025-09-05,B013,South,Medical Support,Critical,Rain,63,99,3306094.52,Completed
MIS000271,2025-05-04,B016,West,Supply Delivery,Medium,Fog,49,356,395843.64,Completed
MIS000272,2025-10-29,B003,East,Surveillance,Medium,Rain,36,246,1188544.37,Completed
MIS000273,2025-11-16,B023,North,Training Exercise,Low,Rain,54,240,1460293.81,Completed
MIS000274,2025-11-15,B020,East,Disaster Relief,Critical,Clear,25,331,4481053.87,Completed
MIS000275,2026-05-08,B009,South,Supply Delivery,Low,Storm,63,340,1189240.66,Delayed
MIS000276,2026-04-04,B028,West,Surveillance,High,Clear,28,395,4960692.32,Completed
MIS000277,2025-04-13,B017,East,Equipment Transport,Low,Storm,56,359,3182915.93,Completed
MIS000278,2025-03-04,B007,Central,Training Exercise,Medium,Fog,64,113,2573810.04,Completed
MIS000279,2026-12-13,B023,North,Training Exercise,Medium,Clear,29,293,797107.95,Completed
MIS000280,2025-10-20,B018,East,Supply Delivery,Critical,Snow,33,341,4303960.46,Completed
MIS000281,2025-02-03,B010,North,Reconnaissance,High,Fog,43,167,4529683.1,Completed
MIS000282,2026-06-15,B010,North,Border Patrol,High,Clear,40,280,4719445.09,Completed
MIS000283,2025-01-25,B021,South,Training Exercise,Low,Rain,43,252,2438155.38,Completed
MIS000284,2025-11-02,B011,Central,Disaster Relief,High,Storm,59,281,269420.43,Delayed
MIS000285,2025-09-30,B017,East,Border Patrol,Medium,Snow,68,187,3562518.46,Cancelled
MIS000286,2026-01-06,B012,South,Reconnaissance,Low,Fog,44,250,2118947.66,Completed
MIS000287,2026-11-16,B019,Central,Medical Support,High,Clear,63,109,2655961.5,Delayed
MIS000288,2025-02-24,B025,West,Reconnaissance,Medium,Clear,49,101,2028824.44,Completed
MIS000289,2025-09-01,B014,Central,Medical Support,High,Storm,5,177,4411310.97,Cancelled
MIS000290,2025-04-17,B012,South,Disaster Relief,High,Snow,5,35,709419.34,Delayed
MIS000291,2026-07-04,B011,Central,Surveillance,High,Storm,41,209,1654675.96,Completed
MIS000292,2025-04-13,B003,East,Medical Support,Medium,Clear,46,152,962225.14,Completed
MIS000293,2026-04-06,B025,West,Supply Delivery,Low,Rain,44,335,3376241.81,Completed
MIS000294,2025-05-31,B007,Central,Medical Support,Medium,Clear,67,100,246466.42,Completed
MIS000295,2025-07-04,B019,Central,Disaster Relief,Medium,Snow,36,339,4769378.14,Cancelled
