Inventory_ID,Base_ID,Equipment_ID,Quantity,Available,Reorder_Level,Inventory_Status
INV000131,B009,EQ00293,43,30,19,Healthy
INV000132,B022,EQ04617,28,22,15,Healthy
INV000133,B025,EQ01894,72,66,12,Healthy
INV000134,B003,EQ02497,29,6,13,Low Stock
INV000135,B007,EQ04931,47,43,23,Healthy
INV000136,B001,EQ01319,91,3,18,Low Stock
INV000137,B014,EQ01844,93,7,5,Medium Stock
INV000138,B003,EQ00172,32,10,26,Low Stock
INV000139,B020,EQ02787,68,64,9,Healthy
INV000140,B016,EQ04740,60,55,15,Healthy
INV000141,B027,EQ02222,40,36,8,Healthy
INV000142,B010,EQ03055,30,25,7,Healthy
INV000143,B030,EQ00490,73,37,24,Healthy
INV000144,B004,EQ01632,28,27,25,Healthy
INV000145,B029,EQ04028,25,10,16,Low Stock
INV000146,B029,EQ01343,99,58,19,Healthy
INV000147,B029,EQ03752,66,13,20,Low Stock
INV000148,B010,EQ03978,72,64,20,Healthy
INV000149,B002,EQ04795,50,47,20,Healthy
INV000150,B001,EQ04619,22,13,6,Healthy
INV000151,B018,EQ03551,95,63,22,Healthy
INV000152,B019,EQ04646,10,6,30,Low Stock
INV000153,B004,EQ03472,87,21,25,Low Stock
INV000154,B010,EQ03760,49,34,10,Healthy
INV000155,B003,EQ01580,26,19,30,Low Stock
INV000156,B019,EQ01571,24,18,12,Healthy
INV000157,B009,EQ04817,99,28,11,Medium Stock
INV000158,B015,EQ00210,66,36,12,Healthy
INV000159,B013,EQ01176,56,47,27,Healthy
INV000160,B020,EQ01338,60,28,12,Medium Stock
INV000161,B001,EQ01748,54,20,26,Low Stock
INV000162,B014,EQ03025,22,10,17,Low Stock
INV000163,B008,EQ00677,55,36,26,Healthy
INV000164,B025,EQ00815,36,2,27,Low Stock
INV000165,B002,EQ00906,53,26,9,Medium Stock
INV000166,B009,EQ01894,84,63,13,Healthy
INV000167,B024,EQ04454,85,23,16,Medium Stock
INV000168,B023,EQ00623,71,33,18,Medium Stock
INV000169,B029,EQ01213,5,2,21,Low Stock
INV000170,B008,EQ02024,19,17,19,Low Stock
INV000171,B013,EQ02624,56,40,12,Healthy
INV000172,B022,EQ02633,89,46,19,Healthy
INV000173,B021,EQ02295,63,59,14,Healthy
INV000174,B029,EQ03025,69,21,26,Low Stock
INV000175,B021,EQ01658,7,6,15,Low Stock
INV000176,B008,EQ02601,90,56,27,Healthy
INV000177,B026,EQ01204,55,53,22,Healthy
INV000178,B030,EQ01925,63,4,16,Low Stock
INV000179,B015,EQ02743,97,7,21,Low Stock
INV000180,B019,EQ00682,17,15,6,Healthy
INV000181,B008,EQ03594,77,6,18,Low Stock
INV000182,B015,EQ00585,33,4,20,Low Stock
INV000183,B008,EQ02495,33,7,18,Low Stock
INV000184,B013,EQ00179,82,32,28,Medium Stock
INV000185,B013,EQ03732,29,22,22,Low Stock
INV000186,B022,EQ04559,30,24,24,Low Stock
INV000187,B026,EQ00337,48,7,6,Medium Stock
INV000188,B006,EQ02714,19,0,25,Low Stock
INV000189,B019,EQ01666,59,12,21,Low Stock
INV000190,B021,EQ02150,93,0,8,Low Stock
INV000191,B022,EQ01711,50,32,22,Healthy
INV000192,B018,EQ00983,87,11,25,Low Stock
INV000193,B007,EQ03903,78,42,10,Healthy
INV000194,B018,EQ03386,5,4,9,Low Stock
INV000195,B025,EQ00833,30,17,25,Low Stock
INV000196,B011,EQ00215,79,66,30,Healthy
INV000197,B012,EQ04275,8,8,18,Low Stock
INV000198,B025,EQ01493,66,12,18,Low Stock
INV000199,B010,EQ03168,69,67,27,Healthy
INV000200,B026,EQ02156,92,51,30,Healthy
INV000201,B030,EQ02643,53,9,24,Low Stock
INV000202,B018,EQ04069,86,27,22,Medium Stock
INV000203,B020,EQ04770,19,2,24,Low Stock
INV000204,B001,EQ04180,47,25,24,Healthy
INV000205,B006,EQ01871,31,18,30,Low Stock
INV000206,B016,EQ02625,15,4,10,Low Stock
INV000207,B016,EQ01302,21,9,20,Low Stock
INV000208,B016,EQ04590,42,33,19,Healthy
INV000209,B022,EQ00863,76,40,21,Healthy
INV000210,B030,EQ01612,94,13,20,Low Stock
INV000211,B008,EQ03771,36,28,24,Healthy
INV000212,B020,EQ02636,34,32,24,Healthy
INV000213,B030,EQ03449,47,13,23,Low Stock
INV000214,B030,EQ02244,17,13,15,Low Stock
INV000215,B007,EQ03740,43,35,12,Healthy
INV000216,B030,EQ04116,15,14,11,Healthy
INV000217,B004,EQ00190,5,2,5,Low Stock
INV000218,B026,EQ04981,48,36,13,Healthy
INV000219,B018,EQ02173,74,72,8,Healthy
INV000220,B020,EQ02125,99,93,10,Healthy
INV000221,B025,EQ01121,72,49,22,Healthy
INV000222,B029,EQ04774,89,30,23,Medium Stock
INV000223,B029,EQ02739,68,60,27,Healthy
INV000224,B029,EQ02831,100,10,25,Low Stock
INV000225,B024,EQ02662,68,60,18,Healthy
INV000226,B014,EQ04821,73,73,28,Healthy
INV000227,B024,EQ02856,60,37,15,Healthy
INV000228,B009,EQ04075,90,63,19,Healthy
INV000229,B006,EQ01917,11,2,16,Low Stock
INV000230,B018,EQ00510,71,70,13,Healthy
INV000231,B010,EQ04112,30,23,18,Healthy
INV000232,B015,EQ03574,13,9,8,Healthy
INV000233,B017,EQ03870,51,48,14,Healthy
INV000234,B001,EQ00838,89,33,20,Medium Stock
INV000235,B019,EQ04098,52,38,5,Healthy
INV000236,B019,EQ02542,94,6,5,Medium Stock
INV000237,B001,EQ02093,22,10,15,Low Stock
INV000238,B003,EQ02049,20,4,27,Low Stock
INV000239,B019,EQ01957,27,12,27,Low Stock
INV000240,B018,EQ02531,57,56,14,Healthy
INV000241,B026,EQ04645,87,1,26,Low Stock
INV000242,B015,EQ03645,71,66,18,Healthy
INV000243,B025,EQ00577,6,6,7,Low Stock
INV000244,B023,EQ00288,49,23,25,Low Stock
INV000245,B016,EQ04742,65,11,8,Medium Stock
INV000246,B027,EQ00981,16,7,8,Low Stock
INV000247,B016,EQ03874,84,25,22,Medium Stock
INV000248,B017,EQ04406,12,5,14,Low Stock
INV000249,B003,EQ03954,61,7,26,Low Stock
INV000250,B004,EQ02829,35,25,19,Healthy
INV000251,B019,EQ04746,61,15,29,Low Stock
INV000252,B022,EQ03410,13,3,10,Low Stock
INV000253,B018,EQ03720,94,43,18,Medium Stock
INV000254,B012,EQ01741,6,5,21,Low Stock
INV000255,B015,EQ02890,51,32,11,Healthy
INV000256,B028,EQ00650,52,49,17,Healthy
INV000257,B008,EQ04169,90,41,14,Medium Stock
INV000258,B009,EQ01555,91,26,15,Medium Stock
INV000259,B014,EQ00467,36,33,6,Healthy
INV000260,B006,EQ03571,24,15,14,Healthy
INV000261,B013,EQ00053,74,43,15,Healthy
INV000262,B007,EQ00469,32,13,25,Low Stock
INV000263,B006,EQ01743,12,11,18,Low Stock
INV000264,B019,EQ04570,37,18,17,Medium Stock
INV000265,B027,EQ04848,44,37,28,Healthy
INV000266,B018,EQ03342,100,1,12,Low Stock
INV000267,B001,EQ04306,11,1,5,Low Stock
INV000268,B016,EQ03046,90,0,18,Low Stock
INV000269,B017,EQ01542,12,3,8,Low Stock
INV000270,B014,EQ02954,56,53,18,Healthy
INV000271,B022,EQ02674,73,25,19,Medium Stock
INV000272,B012,EQ04212,38,18,17,Medium Stock
INV000273,B027,EQ03732,33,20,29,Low Stock
INV000274,B007,EQ04173,17,11,24,Low Stock
INV000275,B029,EQ01344,45,12,28,Low Stock
INV000276,B008,EQ03828,61,60,27,Healthy
INV000277,B011,EQ04608,72,0,12,Low Stock
INV000278,B024,EQ02050,53,1,7,Low Stock
INV000279,B017,EQ02497,47,46,5,Healthy
INV000280,B016,EQ02568,42,22,27,Low Stock
INV000281,B002,EQ00284,12,5,27,Low Stock
INV000282,B030,EQ01339,74,31,10,Medium Stock
INV000283,B022,EQ02055,84,30,11,Medium Stock
INV000284,B016,EQ02013,84,74,7,Healthy
INV000285,B018,EQ04146,72,9,27,Low Stock
INV000286,B018,EQ04083,43,22,11,Healthy
INV000287,B023,EQ02634,45,24,9,Healthy
INV000288,B011,EQ01816,54,3,24,Low Stock
INV000289,B028,EQ03854,58,36,25,Healthy
INV000290,B010,EQ01609,40,30,26,Healthy
INV000291,B004,EQ00285,20,20,17,Healthy
INV000292,B015,EQ02863,10,6,19,Low Stock
INV000293,B015,EQ02046,37,34,29,Healthy
INV000294,B006,EQ02340,81,28,5,Medium Stock
INV000295,B024,EQ03646,34,22,22,Low Stock
INV000296,B013,EQ02191,55,55,27,Healthy
INV000297,B024,EQ01682,99,47,25,Medium Stock
INV000298,B017,EQ00809,37,29,16,Healthy
INV000299,B007,EQ04053,21,21,27,Low Stock
INV000300,B014,EQ01226,38,24,24,Low Stock
INV000301,B020,EQ01727,23,22,17,Healthy
INV000302,B008,EQ03222,73,4,11,Low Stock
INV000303,B020,EQ02110,85,10,17,Low Stock
INV000304,B002,EQ00760,16,6,18,Low Stock
INV000305,B027,EQ01312,76,59,22,Healthy
INV000306,B015,EQ02623,89,29,22,Medium Stock
INV000307,B025,EQ00209,36,23,17,Healthy
INV000308,B022,EQ04112,12,7,26,Low Stock
INV000309,B026,EQ02165,93,23,6,Medium Stock
INV000310,B016,EQ01369,80,58,11,Healthy
INV000311,B018,EQ03278,61,57,10,Healthy
INV000312,B021,EQ01081,13,11,11,Low Stock
INV000313,B016,EQ02461,16,6,23,Low Stock
INV000314,B029,EQ02085,57,44,16,Healthy
INV000315,B011,EQ00258,97,85,13,Healthy
INV000316,B021,EQ01288,79,15,20,Low Stock
INV000317,B013,EQ01781,68,39,22,Healthy
INV000318,B029,EQ03686,45,26,30,Low Stock
INV000319,B016,EQ00448,97,17,7,Medium Stock
INV000320,B030,EQ00683,67,60,13,Healthy
INV000321,B010,EQ00665,15,8,18,Low Stock
INV000322,B005,EQ01390,65,34,11,Healthy
INV000323,B025,EQ00856,90,85,22,Healthy
INV000324,B001,EQ03442,18,15,23,Low Stock
INV000325,B013,EQ00502,73,65,24,Healthy
INV000326,B011,EQ02045,95,35,13,Medium Stock
INV000327,B002,EQ00950,40,22,17,Healthy
INV000328,B020,EQ02867,10,9,12,Low Stock
INV000329,B001,EQ00671,59,51,18,Healthy
INV000330,B009,EQ04720,71,40,21,Healthy
INV000331,B028,EQ00393,37,21,7,Healthy
INV000332,B018,EQ01365,25,16,14,Healthy
INV000333,B003,EQ01829,51,30,13,Healthy
INV000334,B008,EQ00703,10,4,18,Low Stock
INV000335,B027,EQ01171,56,32,20,Healthy
INV000336,B016,EQ00011,16,6,26,Low Stock
INV000337,B029,EQ04050,99,47,9,Medium Stock
INV000338,B022,EQ01750,69,43,25,Healthy
INV000339,B021,EQ04472,46,8,5,Medium Stock
INV000340,B014,EQ04009,53,46,12,Healthy
INV000341,B008,EQ01064,66,29,29,Low Stock
INV000342,B022,EQ03004,87,33,9,Medium Stock
INV000343,B024,EQ02132,10,3,13,Low Stock
INV000344,B029,EQ02178,56,50,29,Healthy
INV000345,B022,EQ00826,67,9,24,Low Stock
INV000346,B012,EQ02644,94,57,18,Healthy
INV000347,B026,EQ00154,74,47,5,Healthy
INV000348,B012,EQ00890,60,38,26,Healthy
INV000349,B008,EQ02797,9,6,28,Low Stock
INV000350,B020,EQ03826,20,5,29,Low Stock
INV000351,B030,EQ00087,57,44,24,Healthy
INV000352,B030,EQ02728,86,16,11,Medium Stock
INV000353,B005,EQ02667,78,78,25,Healthy
INV000354,B028,EQ00548,77,14,29,Low Stock
INV000355,B026,EQ04209,16,2,9,Low Stock
INV000356,B010,EQ03752,83,59,29,Healthy
INV000357,B007,EQ02141,28,22,7,Healthy
INV000358,B025,EQ04472,82,22,25,Low Stock
INV000359,B030,EQ04783,62,38,15,Healthy
INV000360,B030,EQ02058,54,4,13,Low Stock
INV000361,B022,EQ02182,62,4,10,Low Stock
INV000362,B011,EQ02587,68,23,30,Low Stock
INV000363,B014,EQ01247,52,36,7,Healthy
INV000364,B016,EQ03789,48,44,9,Healthy
INV000365,B022,EQ03090,53,40,6,Healthy
INV000366,B002,EQ01826,85,7,15,Low Stock
INV000367,B025,EQ00938,67,21,6,Medium Stock
INV000368,B009,EQ01663,54,39,20,Healthy
INV000369,B005,EQ01031,85,18,19,Low Stock
INV000370,B003,EQ00446,70,65,19,Healthy
INV000371,B003,EQ04226,34,32,13,Healthy
INV000372,B004,EQ04067,88,70,26,Healthy
INV000373,B028,EQ03982,61,6,20,Low Stock
INV000374,B023,EQ02038,62,11,26,Low Stock
INV000375,B021,EQ00369,22,2,9,Low Stock
INV000376,B029,EQ03080,35,15,12,Medium Stock
INV000377,B022,EQ02289,81,45,13,Healthy
INV000378,B007,EQ04612,97,0,6,Low Stock
INV000379,B013,EQ04234,67,66,18,Healthy
INV000380,B024,EQ04739,83,9,18,Low Stock
INV000381,B022,EQ03020,51,38,8,Healthy
INV000382,B019,EQ00086,71,65,22,Healthy
INV000383,B001,EQ04244,77,33,12,Medium Stock
INV000384,B006,EQ00746,32,31,5,Healthy
INV000385,B027,EQ04580,92,3,26,Low Stock
INV000386,B003,EQ03205,22,5,29,Low Stock
INV000387,B012,EQ02035,100,44,10,Medium Stock
INV000388,B029,EQ03870,50,22,10,Medium Stock
INV000389,B027,EQ04105,9,2,16,Low Stock
INV000390,B024,EQ02533,54,11,15,Low Stock
INV000391,B002,EQ03182,66,44,7,Healthy
INV000392,B004,EQ03498,96,34,6,Medium Stock
INV000393,B010,EQ03291,43,31,19,Healthy
INV000394,B023,EQ04386,16,9,15,Low Stock
INV000395,B021,EQ04549,57,19,19,Low Stock
INV000396,B024,EQ02531,35,19,9,Healthy
INV000397,B003,EQ03346,11,1,20,Low Stock
INV000398,B001,EQ04863,35,14,29,Low Stock
INV000399,B005,EQ02405,94,78,20,Healthy
INV000400,B025,EQ02456,30,17,19,Low Stock
INV000401,B018,EQ04098,92,26,8,Medium Stock
INV000402,B016,EQ00138,96,2,17,Low Stock
INV000403,B024,EQ04578,28,26,7,Healthy
INV000404,B001,EQ03772,52,19,25,Low Stock
INV000405,B026,EQ00174,23,5,21,Low Stock
INV000406,B011,EQ04435,67,35,23,Healthy
INV000407,B018,EQ02392,33,32,13,Healthy
INV000408,B010,EQ03816,45,24,24,Low Stock
INV000409,B008,EQ03366,56,34,16,Healthy
INV000410,B021,EQ04806,67,25,23,Medium Stock
INV000411,B014,EQ01836,56,13,13,Low Stock
INV000412,B018,EQ03372,95,75,11,Healthy
INV000413,B023,EQ02695,43,19,12,Medium Stock
INV000414,B007,EQ00045,24,19,27,Low Stock
INV000415,B030,EQ03518,83,25,25,Low Stock
INV000416,B012,EQ01755,65,21,23,Low Stock
INV000417,B004,EQ03015,9,3,5,Low Stock
INV000418,B019,EQ03684,22,19,5,Healthy
INV000419,B029,EQ02526,84,57,9,Healthy
INV000420,B013,EQ00723,95,63,30,Healthy
INV000421,B021,EQ01718,82,10,15,Low Stock
INV000422,B014,EQ04722,40,8,20,Low Stock
INV000423,B008,EQ01284,63,41,27,Healthy
INV000424,B026,EQ01154,89,86,15,Healthy
INV000425,B027,EQ01181,79,36,12,Medium Stock
INV000426,B030,EQ03598,22,19,27,Low Stock
INV000427,B020,EQ01651,58,5,16,Low Stock
INV000428,B008,EQ04570,55,19,10,Medium Stock
INV000429,B016,EQ00021,92,10,30,Low Stock
INV000430,B030,EQ02412,50,26,17,Healthy
INV000431,B022,EQ02354,43,21,15,Medium Stock
INV000432,B016,EQ00592,61,59,25,Healthy
INV000433,B007,EQ00089,76,76,29,Healthy
INV000434,B016,EQ00534,92,91,13,Healthy
INV000435,B030,EQ00232,84,14,13,Medium Stock
INV000436,B025,EQ03330,67,52,7,Healthy
INV000437,B026,EQ01500,68,41,22,Healthy
INV000438,B002,EQ02703,50,18,21,Low Stock
INV000439,B004,EQ00932,43,40,5,Healthy
INV000440,B015,EQ04098,71,10,9,Medium Stock
INV000441,B010,EQ01476,67,11,17,Low Stock
INV000442,B023,EQ03306,97,86,28,Healthy
INV000443,B009,EQ02529,5,5,25,Low Stock
INV000444,B019,EQ00927,65,24,6,Medium Stock
INV000445,B027,EQ02818,33,13,27,Low Stock
INV000446,B005,EQ02786,55,11,16,Low Stock
INV000447,B007,EQ03158,60,55,26,Healthy
INV000448,B026,EQ03567,49,14,28,Low Stock
INV000449,B017,EQ00933,27,17,26,Low Stock
INV000450,B008,EQ01846,32,2,6,Low Stock
INV000451,B007,EQ00977,24,17,6,Healthy
INV000452,B026,EQ01640,67,0,20,Low Stock
INV000453,B021,EQ02132,67,35,16,Healthy
INV000454,B001,EQ04632,36,25,30,Low Stock
INV000455,B026,EQ04923,85,61,20,Healthy
INV000456,B030,EQ04468,45,20,7,Medium Stock
INV000457,B030,EQ04378,100,71,25,Healthy
INV000458,B006,EQ02665,65,11,6,Medium Stock
INV000459,B025,EQ00872,77,2,15,Low Stock
INV000460,B001,EQ03091,66,15,18,Low Stock
INV000461,B007,EQ00534,61,36,5,Healthy
INV000462,B027,EQ04892,74,20,9,Medium Stock
INV000463,B004,EQ04799,45,21,22,Low Stock
INV000464,B009,EQ04058,19,4,30,Low Stock
INV000465,B010,EQ02135,93,59,20,Healthy
INV000466,B020,EQ01035,40,11,10,Medium Stock
INV000467,B015,EQ01895,21,21,16,Healthy
INV000468,B006,EQ04664,75,17,24,Low Stock
INV000469,B028,EQ00438,38,0,17,Low Stock
INV000470,B004,EQ00233,29,11,29,Low Stock
INV000471,B011,EQ03218,91,24,28,Low Stock
INV000472,B027,EQ02186,38,19,18,Medium Stock
INV000473,B024,EQ02032,74,63,22,Healthy
INV000474,B019,EQ01406,80,24,26,Low Stock
INV000475,B030,EQ02054,87,35,10,Medium Stock
INV000476,B012,EQ00129,53,1,21,Low Stock
INV000477,B009,EQ03657,41,19,6,Medium Stock
INV000478,B013,EQ04063,64,59,26,Healthy
INV000479,B007,EQ03288,6,6,10,Low Stock
INV000480,B002,EQ03358,33,27,6,Healthy
INV000481,B003,EQ02886,8,7,25,Low Stock
INV000482,B011,EQ01964,98,80,20,Healthy
INV000483,B019,EQ00104,45,41,21,Healthy
INV000484,B019,EQ02889,11,2,13,Low Stock
INV000485,B015,EQ03684,59,1,16,Low Stock
INV000486,B018,EQ01296,98,32,18,Medium Stock
INV000487,B007,EQ01917,24,22,20,Healthy
INV000488,B024,EQ02528,64,28,27,Medium Stock
INV000489,B028,EQ02846,59,0,12,Low Stock
INV000490,B020,EQ01012,9,5,29,Low Stock
INV000491,B008,EQ02468,37,6,20,Low Stock
INV000492,B030,EQ03284,11,11,14,Low Stock
INV000493,B010,EQ00189,97,48,6,Medium Stock
INV000494,B021,EQ04288,23,14,16,Low Stock
INV000495,B008,EQ02552,18,14,14,Low Stock
INV000496,B028,EQ04939,89,15,26,Low Stock
INV000497,B021,EQ02560,26,22,6,Healthy
INV000498,B009,EQ04490,28,17,11,Healthy
INV000499,B011,EQ01834,24,17,14,Healthy
INV000500,B020,EQ02590,73,35,21,Medium Stock
INV000501,B029,EQ01121,73,41,26,Healthy
INV000502,B024,EQ04761,71,39,22,Healthy
INV000503,B017,EQ02366,96,5,24,Low Stock
INV000504,B010,EQ03512,95,56,25,Healthy
INV000505,B020,EQ04257,97,49,14,Healthy
INV000506,B011,EQ03777,69,0,23,Low Stock
INV000507,B021,EQ02251,66,10,20,Low Stock
INV000508,B013,EQ03712,47,35,16,Healthy
INV000509,B003,EQ01225,95,9,19,Low Stock
INV000510,B009,EQ04023,64,7,9,Low Stock
INV000511,B007,EQ02552,73,72,17,Healthy
INV000512,B026,EQ01984,40,25,15,Healthy
INV000513,B024,EQ00325,61,10,21,Low Stock
INV000514,B022,EQ01714,71,25,22,Medium Stock
INV000515,B018,EQ00352,76,21,21,Low Stock
INV000516,B014,EQ02006,83,81,30,Healthy
INV000517,B013,EQ03669,53,34,17,Healthy
INV000518,B028,EQ04711,7,3,16,Low Stock
INV000519,B003,EQ00797,87,8,18,Low Stock
INV000520,B005,EQ01174,26,1,11,Low Stock
INV000521,B011,EQ04189,16,5,10,Low Stock
INV000522,B021,EQ03229,97,72,19,Healthy
INV000523,B023,EQ01613,6,1,16,Low Stock
INV000524,B003,EQ04852,80,77,26,Healthy
INV000525,B008,EQ02907,100,46,30,Medium Stock
INV000526,B006,EQ01039,16,1,11,Low Stock
INV000527,B014,EQ02632,18,9,30,Low Stock
INV000528,B004,EQ01206,48,18,24,Low Stock
INV000529,B026,EQ01913,49,16,28,Low Stock
INV000530,B003,EQ00166,31,27,10,Healthy
INV000531,B029,EQ04638,9,4,6,Low Stock
INV000532,B027,EQ03779,10,6,26,Low Stock
INV000533,B014,EQ02710,68,37,27,Healthy
INV000534,B024,EQ01700,16,5,22,Low Stock
INV000535,B007,EQ02507,91,89,21,Healthy
INV000536,B005,EQ04606,88,6,27,Low Stock
INV000537,B006,EQ00123,40,20,16,Medium Stock
INV000538,B022,EQ01255,58,32,19,Healthy
INV000539,B001,EQ04169,68,13,6,Medium Stock
